지역,시군구,기관,주소
충남,충청남도 태안군,백화노인복지관,충남 태안군 태안읍 백화로 13 백화노인복지관
충남,충청남도 태안군,은혜요양원,충남 태안군 원북면 반계길 85 은혜요양원
충남,충청남도 태안군,백석요양원2관,충남 태안군 태안읍 동백로 1993층
충남,충청남도 태안군,벧엘요양원,충남 태안군 소원면 서해로 119-30벧엘요양원
충남,충청남도 태안군,태안한마음요양원,"충청남도 태안군 태안읍 환동로 823층, 301호"
충남,충청남도 태안군,효림요양원,충청남도 태안군 태안읍 군청8길42-7
충남,충청남도 태안군,태안시니어클럽,충남 태안군 태안읍 환동로 463층
충남,충청남도 태안군,태현식품,충청남도 태안군 태안읍 안면대로208-53
충남,충청남도 태안군,태안요양원,충청남도 태안군 태안읍 군청6길12-1
충남,충청남도 태안군,태안군성인권상담센터,충청남도 태안군 태안읍 서문4길31-6
충남,충청남도 태안군,사회복지법인 태양어린이집,충청남도 태안군 태안읍 재경미길27-12
충남,충청남도 태안군,태안지역아동센터,충청남도 태안군 태안읍 동문리 299-1 3층
충남,충청남도 태안군,태안군다문화가족지원센터,충남 태안군 태안읍 백화로 180교육문화센터 1층
충남,충청남도 태안군,희망터전,충청남도 태안군 원북면 옥파로 16
충남,충청남도 태안군,중증장애인요양원 아이원,충청남도 태안군 태안읍 안면대로208-53
충남,충청남도 태안군,새롬요양원,충남 태안군 근흥면마금리2구 280
충남,충청남도 태안군,태안군장애인종합복지관,충남 태안군 태안읍 남문리711-6
충남,충청남도 태안군,태안농업협동조합,충남 태안군 태안읍 남문리 1구 501-1
충남,충청남도 태안군,태안노인복지관,충청남도 태안군 태안읍 후곡로79
충남,충청남도 태안군,태안군사회복지협의회,충청남도 태안군 태안읍 동문6길 3(2층)
