지역,시군구,기관,주소
충북,충청북도 영동군,수가성종합노인복지센터,충북 영동군 영동읍 오정1길 16수가성종합노인복지센터
충북,충청북도 영동군,부모사랑요양원,충북 영동군 영동읍 계산로3길 10부모사랑요양원
충북,충청북도 영동군,밝은세상요양원,충북 영동군 영동읍 오정길 316-3밝은세상요양원
충북,충청북도 영동군,갈마루공부방지역아동센터,충청북도 영동군 상촌면 임산길 44
충북,충청북도 영동군,영동가정폭력성폭력통합상담소,충청북도 영동군 영동읍 회동로212-1
충북,충청북도 영동군,꿈이있는지역아동센터,충청북도 영동군 영동읍 동정로2길15
충북,충청북도 영동군,늘편한노인전문요양원,충청북도 영동군 영동읍 오정길311
충북,충청북도 영동군,로뎀나무요양원,충청북도 영동군 영동읍 오정1길12
충북,충청북도 영동군,어깨동무지역아동센터,충청북도 영동군 영동읍 구교2길2
충북,충청북도 영동군,영동군노인복지관,충청북도 영동군 영동읍 매천리 442-1
충북,충청북도 영동군,영동수가성요양원,충북 영동군 영동읍 오정1길 16영동수가성요양원
충북,충청북도 영동군,영동군장애인복지관,충청북도 영동군 영동읍 반곡동길 17영동군장애인복지관
충북,충청북도 영동군,영동군립노인전문병원,충북 영동군 영동읍설계리대학로290번지
충북,충청북도 영동군,사회복지법인 수가성재단,충청북도 영동군 영동읍 오정1길16
충북,충청북도 영동군,영동군사회복지협의회,충청북도 영동군 영동읍 눈어치1로 71사원@상가 1층
