지역,시군구,기관,주소
충북,충청북도 음성군,(주)음성노인복지센터,충북 음성군 음성읍 덕생로 1028(주)음성노인복지센터
충북,충청북도 음성군,음성군장애인복지관 주간보호센터,충북 음성군 금왕읍 무극로309번길 43-6주간보호센터
충북,충청북도 음성군,복된해피스쿨지역아동센터,충청북도 음성군 금왕읍 응천서길 259
충북,충청북도 음성군,사회복지법인 한빛어린이집,충청북도 음성군 금왕읍 백야로40-10
충북,충청북도 음성군,(재)예수의꽃동네유지재단음성꽃동네노숙인재활원,충청북도 음성군 꽃동네길40-55
충북,충청북도 음성군,(재)예수의꽃동네유지재단 꽃동네믿음의집,충청북도 음성군 꽃동네길133
충북,충청북도 음성군,청보리지역아동센터,충청북도 음성군 음성읍 평곡리 964-1
충북,충청북도 음성군,음성꽃동네생명의집노인요양원,충청북도 음성군 맹동면 인곡리 음성꽃동네47-63
충북,충청북도 음성군,양지요양원,충북 음성군 감곡면왕장리 106-1
충북,충청북도 음성군,혜성요양원,충북 음성군 생극면팔성리 14-1
충북,충청북도 음성군,재)예수의꽃동네유지재단 꽃동네 천사의집,충북 음성군 맹동면 꽃동네길 12-47천사의집
충북,충청북도 음성군,KTC평생교육원,충북 음성군 대소면 대동로 8652층
충북,충청북도 음성군,부윤지역아동센터,충북 음성군 대소면부윤리145-2
충북,충청북도 음성군,음성군노인복지관,충청북도 음성군 금왕읍백야로 14 음성군노인복지관
충북,충청북도 음성군,음성꽃동네아동복지시설,충청북도 음성군 덕금로 340-1음성꽃동네아동복지시설
충북,충청북도 음성군,행복의집 소망노인요양원,충청북도 청원군 현도면상삼리 360
충북,충청북도 음성군,음성군정신건강복지센터,충청북도 음성군 금왕읍금석로 74
충북,충청북도 음성군,한국소비자원,충청북도 음성군 맹동면 용두로54 한국소비자원
충북,충청북도 음성군,음성카리타스노인요양원,충북 음성군 음성읍 읍내리897번지
충북,충청북도 음성군,사회복지법인 음성향애원,충청북도 음성군 음성읍 용광로48번길11
충북,충청북도 음성군,음성꽃동네부활의집노인요양원,충청북도 음성군 꽃동네길39-34 꽃동네 노인전문요양원
충북,충청북도 음성군,예수의꽃동네유지재단인곡자애병원,충북 음성군 맹동면 음성꽃동네꽃동네길 37 인곡자애병원
충북,충청북도 음성군,음성군장애인복지관,충북 음성군 금왕읍 무극리 343-7
충북,충청북도 음성군,음성꽃동네정신요양원,충청북도 음성군 맹동면 꽃동네길 22꽃동네정신요양원(환희의 집 복지행정)
충북,충청북도 음성군,음성꽃동네 노숙인요양원,충북 음성군 맹동면 꽃동네길 39-16꽃동네노숙인요양원
충북,충청북도 음성군,(재)음성꽃동네심신장애인요양시설,충북 음성군 음성읍동음리 산 127-20
충북,충청북도 음성군,음성꽃동네 노인요양원,충청북도 음성군 꽃동네길 39-43음성꽃동네노인요양원
충북,충청북도 음성군,음성군사회복지협의회,충북 음성군 음성읍읍내리 시장로 90 음성새마을금고 4층
충북,충청북도 음성군,음성사랑나눔공동체,충북 음성군 음성읍 읍내리 348-15 중앙빌딩 4층
충북,충청북도 음성군,홍복양로원,충북 음성군 생극면 팔성리14-1
