,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,성동구,자원봉사자를 모집합니다,성동구립 사근동데이케어센터,2019-08-01 ~ 2019-08-31
1,서울특별시,성동구,8월 성인 자원봉사기본교육,성동구자원봉사센터,2019-08-21 ~ 2019-08-21
2,서울특별시,성동구,3분기 직장인 자원봉사 기본교육 실시,성동구자원봉사센터,2019-08-22 ~ 2019-08-22
3,서울특별시,성동구,성동외국인근로자센터 아장아장 놀이기구 청소 및 소독하실 봉사자를 모집합니다.,서울특별시 성동외국인노동자센터,2019-08-20 ~ 2019-11-20
4,서울특별시,성동구,버려지는 전기전자제품 해체를 통한 전자쓰레기 자원순환 환경보호활동,(주) 에코시티서울,2019-07-05 ~ 2019-08-30
5,서울특별시,성동구,살곶이물놀이장 안전지킴이 활동,성동구민종합체육센터,2019-06-22 ~ 2019-08-25
6,서울특별시,성동구,살곶이물놀이장 안전지킴이 활동,성동구민종합체육센터,2019-06-22 ~ 2019-08-25
7,서울특별시,성동구,성동구민종합체육센터 안전지킴이 활동,성동구민종합체육센터,2019-08-01 ~ 2019-08-31
8,서울특별시,성동구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
9,서울특별시,성동구,"경로식당 전처리 보조 및 설거지, 청소 활동",시립성동노인종합복지관,2019-08-01 ~ 2019-08-31
0,서울특별시,성동구,예방교육진행 및 말벗서비스 가정방문 봉사자 모집,옥수종합사회복지관,2019-07-17 ~ 2019-08-30
1,서울특별시,성동구,자원봉사자 모집합니다.,성동구립사근동 노인복지센터,2019-08-01 ~ 2019-08-30
2,서울특별시,성동구,자원봉사자 모집합니다.,성동구립사근동 노인복지센터,2019-08-01 ~ 2019-08-30
3,서울특별시,성동구,성동구립도서관 여름 [오전 9:00~12:00]자원봉사-OT 선이수 필수,성동구립도서관,2019-06-01 ~ 2019-08-31
4,서울특별시,성동구,2019 하나의 성동 숲속의 오케스트라 성동구립 꿈의 오케스트라 야외음악회 행사보조 인력,성동문화재단,2019-09-07 ~ 2019-09-07
5,서울특별시,성동구,수도권 유아환경교육관 상시교육 자원봉사활동,환경보전협회,2019-06-10 ~ 2019-09-09
6,서울특별시,성동구,"2019년 2학기 재미난교실 영어, 뷰티 가르쳐줄 봉사자 모집",서울특별시 성동외국인노동자센터,2019-09-15 ~ 2019-11-24
7,서울특별시,성동구,세빛섬 신진작가와 미술영재 작품 전시회 운영 지원 자원봉사자 모집,서울특별시한강사업본부,2019-09-21 ~ 2019-09-22
8,서울특별시,성동구,세빛섬 신진작가와 미술영재 작품 전시회 운영 지원 자원봉사자 모집,서울특별시한강사업본부,2019-09-21 ~ 2019-09-22
9,서울특별시,성동구,서울교통공사 디지털 시민안전체험·홍보관 운영보조 및 안전캠페인 활동,서울교통공사,2019-06-21 ~ 2019-09-20
0,서울특별시,성동구,성동구보건소,서울특별시 성동구,2019-08-14 ~ 2019-09-25
1,서울특별시,성동구,서울새활용플라자 주말시민행사 운영보조 자원봉사자 모집,서울새활용플라자,2019-07-06 ~ 2019-09-22
2,서울특별시,성동구,스트링아트 프로그램 참여,성모주간보호센터,2019-07-12 ~ 2019-09-27
3,서울특별시,성동구,[서울새활용플라자] 소재은행 폐자원 소재화 자원봉사자 모집,서울새활용플라자,2019-07-20 ~ 2019-09-28
4,서울특별시,성동구,[서울새활용플라자] 소재은행 폐자원 소재화 자원봉사자 모집,서울새활용플라자,2019-08-10 ~ 2019-09-29
5,서울특별시,성동구,[성수데이케어센터] 어르신들 식사보조 및 말벗 활동,성수데이케어센터,2019-07-01 ~ 2019-09-30
6,서울특별시,성동구,성동구 평생학습관 자원 봉사 활동,독서당 인문아카데미센터,2019-07-01 ~ 2019-09-30
7,서울특별시,성동구,[성수데이케어센터] 어르신들 프로그램 보조 및 환경 개선,성수데이케어센터,2019-07-01 ~ 2019-09-30
8,서울특별시,성동구,서울하수도과학관 [장영실 체험마당]프로그램 운영,서울시중랑물재생센터(서울하수도과학관),2019-07-01 ~ 2019-09-30
9,서울특별시,성동구,토탈공예 프로그램 봉사,성모주간보호센터,2019-08-05 ~ 2019-10-28
0,서울특별시,성동구,[성수데이케어센터] 재능기부활동,성수데이케어센터,2019-07-01 ~ 2019-09-30
1,서울특별시,성동구,마장축산물시장 물청소 보조,마장축산물시장상점가진흥사업협동조합,2019-07-09 ~ 2019-10-08
2,서울특별시,성동구,[옥수종합사회복지관] 경로식당 자원봉사자 모집,옥수종합사회복지관,2019-08-13 ~ 2019-10-12
3,서울특별시,성동구,"영유아와 놀이 및 담임교사 보조, 환경정화 활동",구립성원어린이집,2019-07-17 ~ 2019-10-16
4,서울특별시,성동구,"영유아와 놀이 및 담임교사 보조 , 환경정화 활동",구립성원어린이집,2019-07-17 ~ 2019-10-16
5,서울특별시,성동구,아름다운가게장한평점 매장관리운영전반 오전타임,아름다운가게장한평점,2019-08-01 ~ 2019-10-31
6,서울특별시,성동구,아름다운가게장한평점 매장관리운영전반 오후타임,아름다운가게장한평점,2019-08-01 ~ 2019-10-31
7,서울특별시,성동구,금호무지개노인복지센터에서 자원봉사자를 모집합니다.,금호무지개노인복지센터,2019-08-08 ~ 2019-11-07
8,서울특별시,성동구,금호무지개노인복지센터에서 자원봉사자를 모집합니다.,금호무지개노인복지센터,2019-08-08 ~ 2019-11-07
