,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,용산구,2019년 한국철도공사 서울역 철도 안전 지킴이 양성,한국철도공사 서울역,2019-08-23 ~ 2019-08-23
1,서울특별시,용산구,서울역 노숙인과 쪽방촌 어르신들을 위한 무료급식의 조리보조 및 청소.,사랑실천공동체,2019-05-31 ~ 2019-08-23
2,서울특별시,용산구,용산구청소년상담복지센터 위대한 함성 학습멘토지원단 15기 자원봉사자 선발,용산청소년상담복지센터,2019-09-07 ~ 2019-11-30
3,서울특별시,용산구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
4,서울특별시,용산구,"위기청소년 발굴 및 상담, 홍보를 진행하실 활동가를 모집합니다.",서울시립용산청소년일시쉼터,2019-08-27 ~ 2019-10-29
5,서울특별시,용산구,서울역 쪽방촌 어르신들과 노숙인을 위한 자활프로그램 지원,사랑실천공동체,2019-05-30 ~ 2019-08-29
6,서울특별시,용산구,[용산청소년수련관] 지역사회공헌활동 장애청소년 댄스 멘토링활동,용산청소년수련관,2019-09-06 ~ 2019-09-06
7,서울특별시,용산구,'갈월 소극장' 재능기부 자원봉사자 모집,구립갈월데이케어센터,2019-06-05 ~ 2019-08-30
8,서울특별시,용산구,'19 용산구 사회복지·자원봉사 박람회 자원봉사자 모집,서울특별시 용산구,2019-09-06 ~ 2019-09-06
9,서울특별시,용산구,'19 용산구 사회복지·자원봉사 박람회 자원봉사자 모집,서울특별시 용산구,2019-09-06 ~ 2019-09-06
0,서울특별시,용산구,용산구립장애인주간보호센터 요일별로 진행되는 프로그램을 보조해 주실 봉사자 여러분을 모집합니다. ^^,용산구립장애인주간보호센터,2019-08-01 ~ 2019-08-31
1,서울특별시,용산구,경로당 말벗 및 프로그램 지원,용산구청 어르신청소년과,2019-08-01 ~ 2019-08-31
2,서울특별시,용산구,홀몸어르신 밑반찬 배달 정기 자원봉사자를 모집합니다.,용산희망나눔센터,2019-08-22 ~ 2019-11-21
3,서울특별시,용산구,한국혈액암협회/ 울산 지역봉사자 모집/9월5일 오전9시30분- 오후5시,(사)한국혈액암협회,2019-09-05 ~ 2019-09-05
4,서울특별시,용산구,2019년 용산구 책축제 자원봉사자 모집,용산구청 인재양성과,2019-09-28 ~ 2019-09-28
5,서울특별시,용산구,한국장애인직업재활시설협회 행정지원 자원봉사자 모집,사)한국장애인직업재활시설협회,2019-07-29 ~ 2019-09-30
6,서울특별시,용산구,"구립한남노인요양원 어르신 식사보조, 청소 및 말벗서비스 등 자원봉사자 모집",구립한남노인요양원,2019-07-01 ~ 2019-09-30
7,서울특별시,용산구,용산서당 초등학생반 운영 보조 자원봉사자 모집,용산구청 인재양성과,2019-07-02 ~ 2019-09-26
8,서울특별시,용산구,"구립한남노인요양원 어르신 식사보조, 청소 및 말벗서비스 등 자원봉사자 모집",구립한남노인요양원,2019-07-01 ~ 2019-09-30
9,서울특별시,용산구,백송어린이집 자원봉사 모집 안내,용산구 백송어린이집,2019-07-01 ~ 2019-09-30
0,서울특별시,용산구,용산푸드마켓/뱅크에서 자원봉사자 모집,용산사랑나눔푸드마켓/뱅크,2019-07-01 ~ 2019-09-30
1,서울특별시,용산구,용산푸드마켓/뱅크에서 자원봉사자 모집,용산사랑나눔푸드마켓/뱅크,2019-07-01 ~ 2019-09-30
2,서울특별시,용산구,[갈월데이케어센터] 미술활동 등 프로그램 재능기부자 모집,구립갈월데이케어센터,2019-07-01 ~ 2019-09-30
3,서울특별시,용산구,[갈월데이케어센터]프로그램 피아노반주 및 배식봉사,구립갈월데이케어센터,2019-07-01 ~ 2019-09-30
4,서울특별시,용산구,[갈월데이케어센터] 갈월소극장 재능기부 봉사활동,구립갈월데이케어센터,2019-07-25 ~ 2019-09-30
5,서울특별시,용산구,[행복한 동화나라] 자원봉사자 모집 공고,용산도서관,2019-08-03 ~ 2019-11-03
6,서울특별시,용산구,2019 이태원지구촌축제 봉사활동,사단법인 이태원관광특구연합회,2019-10-12 ~ 2019-10-13
7,서울특별시,용산구,민주인권기념관 방문자 대상 전시 시설 안내 및 운영지원 자원봉사,민주인권기념관,2019-09-03 ~ 2019-10-31
8,서울특별시,용산구,2019 한국혈액암협회 사무보조 봉사자 모집/서울역14번출구/평일,(사)한국혈액암협회,2019-07-08 ~ 2019-10-08
9,서울특별시,용산구,서울 시각장애인 연합회 용산지회 사무보조및 업무지원할 봉사요원구함,한국시각장애인 연합회 서울지부 용산지회,2019-07-18 ~ 2019-10-17
0,서울특별시,용산구,공동작업장 작업활동지원 봉사활동,(사)대한노인회용산구지회,2019-08-01 ~ 2019-10-31
1,서울특별시,용산구,공동작업장 작업활동지원 봉사활동,(사)대한노인회용산구지회,2019-08-01 ~ 2019-10-31
2,서울특별시,용산구,공동작업장 작업활동지원 봉사활동,(사)대한노인회용산구지회,2019-08-09 ~ 2019-10-31
3,서울특별시,용산구,[갈월데이케어센터]  프로그램 및 식사 배식 보조,구립갈월데이케어센터,2019-08-05 ~ 2019-10-29
4,서울특별시,용산구,[갈월데이케어센터] 프로그램 보조 및 청소 봉사,구립갈월데이케어센터,2019-08-12 ~ 2019-10-31
5,서울특별시,용산구,[갈월데이케어센터]갈월소극장 재능기부 봉사활동,구립갈월데이케어센터,2019-08-01 ~ 2019-10-31
6,서울특별시,용산구,[갈월데이케어센터]  프로그램 및 식사배식 보조,구립갈월데이케어센터,2019-08-01 ~ 2019-11-01
7,서울특별시,용산구,용산구립장애인보호작업장 근로장애인 작업활동 보조,용산구립장애인보호작업장,2019-08-07 ~ 2019-11-07
8,서울특별시,용산구,용산구립장애인보호작업장 근로장애인 작업활동 보조,용산구립장애인보호작업장,2019-08-07 ~ 2019-11-07
9,서울특별시,용산구,한국혈액암협회 월간지 '희망' 병원배포 '대학생'자원봉사자 모집,(사)한국혈액암협회,2019-08-12 ~ 2019-11-12
