,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,종로구,[종로]종로구 이화동 주민센터 방문 선별검진 기본정보조사 및 검진장소 안내 봉사활동,종로구치매안심센터,2019-08-05 ~ 2019-08-26
1,서울특별시,종로구,에너지의 날 체험 부스 운영 자원봉사,서울환경운동연합,2019-08-22 ~ 2019-08-22
2,서울특별시,종로구,친환경산해진미 탐험대 캠프 물품 준비 자원봉사,서울환경운동연합,2019-08-22 ~ 2019-08-22
3,서울특별시,종로구,[종로]종로구 혜화동 주민센터 방문 선별검진 기본정보조사 및 검진장소 안내 봉사활동,종로구치매안심센터,2019-08-07 ~ 2019-08-28
4,서울특별시,종로구,국제구호협력기구 더프라미스 캠페인 키트 포장 작업 자원봉사,더프라미스,2019-08-23 ~ 2019-08-23
5,서울특별시,종로구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
6,서울특별시,종로구,연동복지재단 실버아카데미 보조강사 및 봉사자,사회복지법인 연동복지재단,2019-05-29 ~ 2019-08-28
7,서울특별시,종로구,[오전] 종로구립 박노수미술관 자원봉사,구립 박노수미술관,2019-08-29 ~ 2019-08-29
8,서울특별시,종로구,[오후] 종로구립 박노수미술관 자원봉사,구립 박노수미술관,2019-08-29 ~ 2019-08-29
9,서울특별시,종로구,[평화삼천] 우편발송 봉사활동,사단법인 평화삼천,2019-08-29 ~ 2019-08-29
0,서울특별시,종로구,[2019년 8월31일 잠실한강공원 나무심기 행사 지원],서울환경운동연합,2019-08-31 ~ 2019-08-31
1,서울특별시,종로구,[12:30~16:30] 국립어린이과학관 8월 오후 청소년 자원봉사자 모집,국립어린이과학관,2019-06-01 ~ 2019-08-31
2,서울특별시,종로구,[9:00~13:00] 국립어린이과학관 8월 오전 청소년 자원봉사자 모집,국립어린이과학관,2019-07-06 ~ 2019-08-31
3,서울특별시,종로구,"[서울대학교치과병원]내원객 안내 및 무인수납기 사용 안내, 동행서비스 등",서울대학교치과병원,2019-07-29 ~ 2019-10-28
4,서울특별시,종로구,"[서울대학교치과병원] 내원객 안내 및 무인수납기 사용 안내, 동행서비스 등",서울대학교치과병원,2019-07-29 ~ 2019-10-28
5,서울특별시,종로구,종로구립합창단 감성문화콘서트 행사보조,종로문화재단(본부),2019-08-31 ~ 2019-08-31
6,서울특별시,종로구,할아버님및남녀노소대상 점심무료급식을 위한 준비밎배식활동,탑골공원 원각사 보궁 무료급식소,2019-06-01 ~ 2019-08-31
7,서울특별시,종로구,"아름다운실버홈에서 국악, 노래, 연주, 레크레이션 등의 공연봉사",아름다운실버홈,2019-06-01 ~ 2019-08-31
8,서울특별시,종로구,[종로문화재단 무계원] 환경 정비 봉사활동 14:00~16:00,무계원(종로문화재단),2019-08-01 ~ 2019-08-31
9,서울특별시,종로구,노숙인 및 저소득노인 무료급식 봉사,사회복지원각,2019-08-15 ~ 2019-08-31
0,서울특별시,종로구,2019 환기미술관 특별기획전 [직관과 교감]전 _ 미술관 내 전시작품 및 관람자 안전관리 업무 보조,환기미술관,2019-07-20 ~ 2019-09-01
1,서울특별시,종로구,이소선 어머니 추도식 자원봉사,사단법인 전태일기념사업회,2019-09-03 ~ 2019-09-03
2,서울특별시,종로구,은빛샘과 함께하는 취약계층 어르신 이미용 및 의료봉사 보조 봉사자,은빛샘,2019-06-08 ~ 2019-09-07
3,서울특별시,종로구,서예체험행사 업무지원-인사동-,(사)한국예술문화원,2019-07-02 ~ 2019-09-24
4,서울특별시,종로구,종로도서관 봉사,종로도서관,2019-07-01 ~ 2019-09-30
5,서울특별시,종로구,"정독도서관 어문학족보실 자원봉사활동-도서정리,서가배열 및 환경정리",정독도서관,2019-07-01 ~ 2019-09-30
6,서울특별시,종로구,"정독도서관 인문사회자연과학실 자원봉사활동 - 도서정리, 서가배열 및 환경정리",정독도서관,2019-07-01 ~ 2019-09-30
7,서울특별시,종로구,아름꿈도서관 봉사활동,아름꿈도서관(종로문화재단),2019-07-01 ~ 2019-09-30
8,서울특별시,종로구,아름꿈도서관 봉사활동,아름꿈도서관(종로문화재단),2019-07-01 ~ 2019-09-30
9,서울특별시,종로구,실버영화관 자리안내봉사활동,(주)허리우드극장,2019-07-01 ~ 2019-09-30
0,서울특별시,종로구,컴퓨터및 행정제반업무,NK.C에바다선교회,2019-07-01 ~ 2019-09-30
