,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,중구,2019 여름 에너지 붕어빵 캠프,서울시청 에너지시민협력과,2019-08-05 ~ 2019-08-23
1,서울특별시,중구,캠프 진행 보조,구립중림장애인주간보호센터,2019-08-21 ~ 2019-08-23
2,서울특별시,중구,제148기 자원봉사자 기본교육,중구자원봉사센터,2019-08-22 ~ 2019-08-22
3,서울특별시,중구,[한국자살예방협회] 2019년 자살예방종합학술대회 사진촬영봉사,한국자살예방협회,2019-08-27 ~ 2019-08-28
4,서울특별시,중구,소식지 발송 행정업무 보조,열매나눔재단,2019-08-26 ~ 2019-08-27
5,서울특별시,중구,사무보조 봉사,(사)건강사회운동본부,2019-08-16 ~ 2019-08-23
6,서울특별시,중구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
7,서울특별시,중구,한국소아암재단 홈페이지 프로그램 전산작업 지원,(재)한국소아암재단,2019-06-10 ~ 2019-08-28
8,서울특별시,중구,"레인보우합창단 단원돌봄, 연습실 환경미화 업무",사단법인한국다문화센터,2019-08-07 ~ 2019-08-28
9,서울특별시,중구,유쾌 · 상쾌 · 통쾌 신당5동 신명나는 여름축제 행사진행 보조,신당5동주민센터,2019-08-31 ~ 2019-08-31
0,서울특별시,중구,센터 소식지 작업,서울중구건강가정지원센터,2019-08-27 ~ 2019-08-27
1,서울특별시,중구,서울시 시민참여예산학교 교육 지원 자원봉사 모집,서울시청 시민참여예산담당관,2019-08-05 ~ 2019-09-05
2,서울특별시,중구,[국토발전전시관] 8월 청소년 자원봉사,국토발전전시관,2019-08-03 ~ 2019-08-31
3,서울특별시,중구,중앙자살예방센터 행정지원 자원봉사,중앙자살예방센터,2019-09-02 ~ 2019-09-05
4,서울특별시,중구,서울애니메이션센터 문화시민시설 운영 보조,서울산업진흥원(서울애니메이션센터),2019-08-02 ~ 2019-08-31
5,서울특별시,중구,자살유발정보 모니터링단 지켜줌인 봉사,중앙자살예방센터,2019-06-01 ~ 2019-08-31
6,서울특별시,중구,노숙인 독거노인 등 무료급식에 따른 배식봉사,(사)참좋은친구들,2019-08-04 ~ 2019-08-31
7,서울특별시,중구,노숙인 독거노인 등 무료급식에 따른 배식봉사,(사)참좋은친구들,2019-08-04 ~ 2019-08-31
8,서울특별시,중구,2019 전통놀이강습회,중구체육회,2019-09-06 ~ 2019-09-06
9,서울특별시,중구,2019 전통놀이강습회,중구체육회,2019-09-10 ~ 2019-09-10
0,서울특별시,중구,장애인과 함께하는 단순작업 프로그램 보조,(사)한국장애인문인복지후원회,2019-07-22 ~ 2019-09-30
1,서울특별시,중구,자료실 대출 및 도서정리,한국도박문제관리센터,2019-08-01 ~ 2019-09-30
2,서울특별시,중구,다산어린이집 급식 지원 봉사,다산어린이집,2019-09-02 ~ 2019-09-30
3,서울특별시,중구,장애인과 함께하는 단순작업 프로그램 보조,(사)한국장애인문인복지후원회,2019-07-29 ~ 2019-09-30
4,서울특별시,중구,무연고 사망자를 위한 장례의전 지원,사단법인 예지원,2019-07-01 ~ 2019-10-01
5,서울특별시,중구,서울스마트 불편신고 접수 및 모니터링 활동,서울시청 공간정보담당관,2019-07-17 ~ 2019-10-16
6,서울특별시,중구,에너지교육 + 나눔봉사활동,서울시청 에너지시민협력과,2019-08-01 ~ 2019-10-31
7,서울특별시,중구,저소득층 무릎인공관절 수술비지원사업 행정보조,재단법인 노인의료나눔재단,2019-08-01 ~ 2019-10-31
8,서울특별시,중구,한국도박문제관리센터 서울북부센터 도박문제 예방 캠페인,한국도박문제관리센터,2019-08-23 ~ 2019-11-23
9,서울특별시,중구,[중구] 어린이 건강체험관 환경정리 및 안전보조,중구보건소,2019-08-19 ~ 2019-11-18
0,서울특별시,중구,어르신 말벗 및 활동보조 편의지원,인애데이케어센터,2019-08-17 ~ 2019-11-16
1,서울특별시,중구,서울시녹색장난감도서관 장난감 세척,서울특별시육아종합지원센터,2019-09-04 ~ 2019-11-28
