,지역,시군구,제목,모집기관,봉사기간
0,경기도,남양주시,시민 대상 스트레스 검진 및 혈관 노화도 검사 업무보조,남양주시정신건강복지센터,2019-08-29 ~ 2019-09-25
1,경기도,남양주시,남양주시사회복지관 북부희망케어센터 멘토링 봉사자 모집,북부희망케어센터,2019-08-12 ~ 2019-08-23
2,경기도,남양주시,요양원 어르신 생활편의 자원 봉사자를 모집합니다.,남양주보은요양원,2019-06-01 ~ 2019-08-31
3,경기도,남양주시,요양원 어르신 생활편의 자원 봉사자를 모집합니다.,남양주보은요양원,2019-06-01 ~ 2019-08-31
4,경기도,남양주시,재능기부  봉사자 모집,남양주보은요양원,2019-06-01 ~ 2019-08-31
5,경기도,남양주시,"[청소년, 진접읍] 청소년과 함께하는 지역안전 캠페인 활동",진접파출소,2019-08-24 ~ 2019-08-24
6,경기도,남양주시,이미용 자원봉사자 모집,효드림요양센터,2019-06-05 ~ 2019-08-28
7,경기도,남양주시,어르신을 위한 문화공연 자원봉사자 모집,효드림요양센터,2019-06-05 ~ 2019-08-28
8,경기도,남양주시,평내동 대한노인복지센터 활동보조,대한노인복지센터,2019-08-01 ~ 2019-08-30
9,경기도,남양주시,대한주간보호센터 어르신활동보조,대한노인복지센터,2019-08-01 ~ 2019-08-30
0,경기도,남양주시,행복한요양원 19년도 8월 오전 자원봉사 모집,행복한요양원,2019-08-01 ~ 2019-08-31
1,경기도,남양주시,해피실버노인복지센터 어르신 자원봉사자 모집,해피실버노인복지센터,2019-08-01 ~ 2019-08-31
2,경기도,남양주시,해피실버노인복지센터 어르신 자원봉사자 모집,해피실버노인복지센터,2019-08-01 ~ 2019-08-31
3,경기도,남양주시,대한주간보호센터 오전 자원봉사자 모집,대한노인복지센터,2019-08-03 ~ 2019-08-31
4,경기도,남양주시,대한주간보호센터  오후 자원봉사자 모집,대한노인복지센터,2019-08-03 ~ 2019-08-31
5,경기도,남양주시,시설 청결지원 및 어르신 수발 보조 봉사자 모집,요한이네요양원,2019-08-01 ~ 2019-08-31
6,경기도,남양주시,밑반찬 배송 봉사자 모집,동부희망케어센터,2019-09-12 ~ 2019-12-12
7,경기도,남양주시,[별내면 별내면사무소] 하천아놀자-착한흙공만들기 및 환경정화활동,(사)남양주시자원봉사센터,2019-09-07 ~ 2019-09-07
8,경기도,남양주시,"[다산2동, 다산2동행정복지센터]하천아놀자, 환경정화활동",(사)남양주시자원봉사센터,2019-09-07 ~ 2019-09-07
9,경기도,남양주시,"[진건읍,진건행정복지센터 야외공연장]하천아놀자, 환경정화활동",(사)남양주시자원봉사센터,2019-09-07 ~ 2019-09-07
0,경기도,남양주시,"[화도읍,마석로터리 광장]하천아놀자 환경정화 자원봉사 활동",(사)남양주시자원봉사센터,2019-09-07 ~ 2019-09-07
1,경기도,남양주시,"[화도읍,천마중학교] 하천아놀자 환경정화 자원봉사 활동",(사)남양주시자원봉사센터,2019-09-07 ~ 2019-09-07
2,경기도,남양주시,"[화도읍,창현6호공원] 하천아놀자 환경정화 자원봉사 활동",(사)남양주시자원봉사센터,2019-09-07 ~ 2019-09-07
3,경기도,남양주시,정약용 문예대회 시험 감독 및 행사지원,남양주시문화원,2019-10-11 ~ 2019-10-11
4,경기도,남양주시,정약용 문예대회 시험 감독 및 행사지원 자원봉사,남양주시문화원,2019-10-11 ~ 2019-10-11
5,경기도,남양주시,성인-진접노인복지센터 자원봉사 모집,진접노인복지센터,2019-07-01 ~ 2019-09-30
6,경기도,남양주시,청소년-진접노인복지센터 자원봉사 모집,진접노인복지센터,2019-07-01 ~ 2019-09-30
7,경기도,남양주시,행복한요양원 19년도 9월 오후 자원봉사 모집,행복한요양원,2019-09-01 ~ 2019-09-29
8,경기도,남양주시,행복한요양원 19년도 9월 오전 자원봉사 모집,행복한요양원,2019-09-01 ~ 2019-09-30
9,경기도,남양주시,치매예방 해피서포터즈 활동자 모집,해피누리노인복지관,2019-07-01 ~ 2019-09-30
0,경기도,남양주시,초등학생대상 학습지도 봉사활동,은광지역아동센터,2019-07-01 ~ 2019-09-30
1,경기도,남양주시,해피누리노인복지관 경로식당 배식봉사 모집,해피누리노인복지관,2019-08-16 ~ 2019-09-30
2,경기도,남양주시,이.미용봉사,효마을실버빌,2019-07-01 ~ 2019-09-30
3,경기도,남양주시,공연활동,효마을실버빌,2019-08-01 ~ 2019-10-31
4,경기도,남양주시,주방보조,효마을실버빌,2019-08-19 ~ 2019-11-18
5,경기도,남양주시,해피누리복지관 경증치매어르신 활동보조,해피누리노인복지관,2019-09-03 ~ 2019-11-30
