,지역,시군구,제목,모집기관,봉사기간
0,경기도,용인시,보바스어린이의원 입원장애 아동을 위한 놀이 및 학습활동,보바스어린이의원,2019-05-22 ~ 2019-08-22
1,경기도,용인시,보바스어린이의원 입원장애 아동을 위한 놀이 및 학습활동,보바스어린이의원,2019-05-22 ~ 2019-08-22
2,경기도,용인시,지역아동센터 고등학생대상 학습지도 봉사활동,상하지역아동센터,2019-08-14 ~ 2019-10-11
3,경기도,용인시,구갈희망누리도서관 서가정리 및 청결지원,구갈희망누리도서관,2019-09-02 ~ 2019-09-30
4,경기도,용인시,구갈희망누리도서관 서가정리 및 청결지원,구갈희망누리도서관,2019-09-02 ~ 2019-09-30
5,경기도,용인시,성복동 현장민원실 업무지원,수지구청 민원봉사과,2019-08-26 ~ 2019-09-11
6,경기도,용인시,성복동 현장민원실 업무지원,수지구청 민원봉사과,2019-08-26 ~ 2019-09-11
7,경기도,용인시,"흥덕도서관 9월 성인 서가정리, 도서관관리 보조봉사",용인 흥덕도서관,2019-09-02 ~ 2019-09-30
8,경기도,용인시,"흥덕도서관 9월 성인 서가정리, 도서관관리 보조봉사",용인 흥덕도서관,2019-09-02 ~ 2019-09-30
9,경기도,용인시,안전의식 캠페인 및 지역 환경 정화 활동,용인시어린이안전학교,2019-08-24 ~ 2019-08-24
0,경기도,용인시,수지도서관 성인 9월 오전 서가정리 자원봉사 활동,수지도서관,2019-09-01 ~ 2019-09-30
1,경기도,용인시,수지도서관 성인 9월 서가정리 자원봉사 활동,수지도서관,2019-09-01 ~ 2019-09-30
2,경기도,용인시,수지도서관 성인 9월 서가정리 자원봉사 활동,수지도서관,2019-09-01 ~ 2019-09-29
3,경기도,용인시,죽전도서관 9월 성인 서가정리 봉사활동,죽전도서관,2019-09-01 ~ 2019-09-30
4,경기도,용인시,죽전도서관 9월 성인 서가정리 봉사활동,죽전도서관,2019-09-01 ~ 2019-09-30
5,경기도,용인시,죽전도서관 9월 성인 서가정리 봉사활동,죽전도서관,2019-09-01 ~ 2019-09-30
