,지역,시군구,제목,모집기관,봉사기간
0,대구광역시,달서구,어르신행복교실 컴퓨터 및 스마트폰 교육 자원봉사자 모집,대구광역시,2019-09-03 ~ 2019-12-20
1,대구광역시,달서구,백향목장애인주간보호센터 종이접기 및 네일아트 자원봉사자 모집,달서구자원봉사센터,2019-05-30 ~ 2019-08-29
2,대구광역시,달서구,"[8월]사랑해밥차 ""찾아가는 반찬도시락-똑똑, 희망배달"" 배달 자원봉사자 모집",사단법인 사랑해밥차,2019-08-01 ~ 2019-08-31
3,대구광역시,달서구,상록수기억학교 프로그램 진행 보조 자원봉사자 모집,달서구자원봉사센터,2019-07-18 ~ 2019-08-30
4,대구광역시,달서구,드림작은도서관 도서관 정리 및 도서대출,달서구자원봉사센터,2019-08-12 ~ 2019-08-30
5,대구광역시,달서구,나눔공동체우리집 배식봉사 및 식기세척 자원봉사자 모집,달서구자원봉사센터,2019-06-01 ~ 2019-08-31
6,대구광역시,달서구,마음다해요양타운 어르신 케어 자원봉사자 모집,달서구자원봉사센터,2019-06-03 ~ 2019-08-30
7,대구광역시,달서구,부모님재가복지센터 이미용 자원봉사자 모집,달서구자원봉사센터,2019-06-01 ~ 2019-08-31
8,대구광역시,달서구,[8월] 사랑해밥차 화/목/금 무료급식 자원봉사자 모집,사단법인 사랑해밥차,2019-08-06 ~ 2019-08-30
9,대구광역시,달서구,대구다운협회 장애인보호작업장 일손돕기,사단법인 대구다운협회,2019-06-03 ~ 2019-08-30
0,대구광역시,달서구,유아체험프로그램 보조활동,달서구청소년수련관,2019-09-03 ~ 2019-10-22
1,대구광역시,달서구,2019 대구청년주간 자원봉사자 모집,대구광역시,2019-09-06 ~ 2019-09-08
2,대구광역시,달서구,달서구노인종합복지관 문화교실 접수지원 자원봉사자 모집,달서구자원봉사센터,2019-09-05 ~ 2019-09-06
3,대구광역시,달서구,2019 세계자살예방의 날 기념 생명사랑 시민강좌 자원봉사자 모집,대구광역시,2019-09-10 ~ 2019-09-10
4,대구광역시,달서구,청소년 숲체험프로그램 보조인솔,달서구청소년수련관,2019-09-07 ~ 2019-11-30
5,대구광역시,달서구,달서구노인종합복지관 프로그램 참여 활동 자원봉사자 모집,달서구자원봉사센터,2019-07-31 ~ 2019-09-18
6,대구광역시,달서구,두류도서관 환경정비 및 시설유지 보조 봉사,대구광역시립두류도서관,2019-08-23 ~ 2019-09-30
7,대구광역시,달서구,"""나만믿고 따라와, 달서투어""에 함께할 자원봉사자를 모집합니다.",학산보호작업장,2019-07-05 ~ 2019-10-05
8,대구광역시,달서구,미래재가 노인복지센터 프로그램진행 보조 자원봉사자 모집,달서구자원봉사센터,2019-08-01 ~ 2019-09-24
9,대구광역시,달서구,2019년 대구재능자원봉사단 신규 모집,대구광역시,2019-07-01 ~ 2019-09-30
0,대구광역시,달서구,대구청사관리소 주차 안내 자원봉사자 모집,달서구자원봉사센터,2019-07-08 ~ 2019-09-30
1,대구광역시,달서구,행복요양병원 이미용 자원봉사자 모집,달서구자원봉사센터,2019-07-08 ~ 2019-09-30
2,대구광역시,달서구,달서구 청소년 끼흥 한마당 행사보조 및 안전관리,달서구청소년수련관,2019-09-28 ~ 2019-09-28
3,대구광역시,달서구,대구시설공단 승마힐링센터 재활승마 보조,대구시설공단 KRA대구승마힐링센터,2019-07-01 ~ 2019-09-30
4,대구광역시,달서구,!워드입력 자원봉사자 모집합니다!,대구점자도서관,2019-07-01 ~ 2019-09-30
5,대구광역시,달서구,달서구노인종합복지관 프로그램 보조 활동 자원봉사자 모집,달서구자원봉사센터,2019-08-01 ~ 2019-10-31
6,대구광역시,달서구,"주간보호에서 어르신 말벗,프로그램 보조, 주변정돈 봉사하실 분들을 모집합니다.",효백세재가복지센터,2019-07-17 ~ 2019-10-16
7,대구광역시,달서구,달서구청 청소과 쓰레기 취약지 청소 자원봉사자 모집,달서구자원봉사센터,2019-09-07 ~ 2019-10-19
8,대구광역시,달서구,성심사랑마을 프로그램 진행 자원봉사자를 모집합니다.,성심사랑마을,2019-08-19 ~ 2019-11-19
9,대구광역시,달서구,"대구내당초등학교 도서대출, 반납 장기자원봉사자 모집",달서구자원봉사센터,2019-09-02 ~ 2019-11-29
0,대구광역시,달서구,마음다해요양타운 어르신 케어 자원봉사자 모집,성서마음다해요양타운,2019-09-01 ~ 2019-11-30
1,대구광역시,달서구,"""나만믿고 따라와, 달서투어""에 참가할 자원봉사자를 모집합니다",학산보호작업장,2019-10-18 ~ 2019-11-29
