,지역,시군구,제목,모집기관,봉사기간
0,대구광역시,북구,북구자원봉사센터 텃밭활동 봉사자 모집합니다.,대구북구자원봉사센터,2019-08-22 ~ 2019-08-23
1,대구광역시,북구,가족자원봉사체험스쿨 봉사자 모집,대구북구자원봉사센터,2019-08-31 ~ 2019-08-31
2,대구광역시,북구,어르신행복교실 컴퓨터 및 스마트폰 교육 자원봉사자 모집,대구광역시,2019-09-03 ~ 2019-12-20
3,대구광역시,북구,목욕봉사할 여자봉사자님 모집합니다- 가정북구노인복지센터,대구북구자원봉사센터,2019-06-01 ~ 2019-08-31
4,대구광역시,북구,2019년 하반기 경로당 회장단간담회 행사보조 자원봉사자 모집,가정종합사회복지관,2019-08-27 ~ 2019-08-28
5,대구광역시,북구,북구자원봉사센터 하반기 가족봉사단 모집,대구북구자원봉사센터,2019-08-17 ~ 2019-11-16
6,대구광역시,북구,2019 대구청년주간 자원봉사자 모집,대구광역시,2019-09-06 ~ 2019-09-08
7,대구광역시,북구,제3회 도전! 5G 과학 독서 골든벨 행사 운영 지원,대구광역시립북부도서관,2019-09-04 ~ 2019-09-04
8,대구광역시,북구,2019 세계자살예방의 날 기념 생명사랑 시민강좌 자원봉사자 모집,대구광역시,2019-09-10 ~ 2019-09-10
9,대구광역시,북구,인문학 강의 참가 및 글짓기 창작활동 멘토,제일평화의집,2019-08-21 ~ 2019-10-31
0,대구광역시,북구,2019년 대구재능자원봉사단 신규 모집,대구광역시,2019-07-01 ~ 2019-09-30
1,대구광역시,북구,발달장애아동을 위한 놀이활동 프로그램 활동보조 봉사자를 모집합니다-가치발달놀이센터,대구북구자원봉사센터,2019-07-01 ~ 2019-09-30
2,대구광역시,북구,효성기억학교 프로그램 보조 및 자원 봉사자 모집,효성기억학교,2019-07-01 ~ 2019-09-30
3,대구광역시,북구,효성주간보호센터에서 봉사자를 모집합니다,대구북구자원봉사센터,2019-07-05 ~ 2019-09-30
4,대구광역시,북구,선린종합사회복지관-대학생 서포터즈 행사참여 및 홍보,선린종합사회복지관,2019-08-01 ~ 2019-10-31
5,대구광역시,북구,대구실내빙상장에서 자원봉사자 모집합니다.,대구북구자원봉사센터,2019-08-01 ~ 2019-10-31
6,대구광역시,북구,대구실내빙상장에서 자원봉사자 모집합니다.,대구북구자원봉사센터,2019-08-01 ~ 2019-10-31
7,대구광역시,북구,치매예방 걷기행사 지원해주실봉사자 모집합니다 - 북구보건소 치매안심센터,대구북구자원봉사센터,2019-09-04 ~ 2019-10-30
8,대구광역시,북구,치매예방 걷기행사 지원해주실봉사자 모집합니다 - 북구보건소 치매안심센터,대구북구자원봉사센터,2019-09-04 ~ 2019-10-30
9,대구광역시,북구,꿈가득작은도서관에서 도서관업무지원 봉사자 모집합니다,대구북구자원봉사센터,2019-08-01 ~ 2019-10-31
0,대구광역시,북구,희망장애인주간보호센터 프로그램 활동 봉사자 모집,희망장애인 주간보호센터,2019-08-08 ~ 2019-10-31
1,대구광역시,북구,희망장애인주간보호센터 화요일 미술프로그램 봉사자 모집,희망장애인 주간보호센터,2019-08-08 ~ 2019-10-31
2,대구광역시,북구,강북노인복지센터에서 자원봉사자를 모집합니다.,강북노인복지센터,2019-08-06 ~ 2019-11-05
3,대구광역시,북구,강북노인복지센터에서 자원봉사자를 모집합니다.,강북노인복지센터,2019-08-06 ~ 2019-11-05
4,대구광역시,북구,이미용 봉사자 모집합니다 - 청춘주간보호센터,대구광역시 북구,2019-09-01 ~ 2019-11-30
