,지역,시군구,제목,모집기관,봉사기간
0,부산광역시,남구,[내용필독]에너지의 날 행사 도우미,(사)부산녹색연합,2019-08-22 ~ 2019-08-22
1,부산광역시,남구,나들이 장애인 활동 보조 선생님을 보조합니다.,꿈터장애인주간보호센터,2019-08-22 ~ 2019-08-22
2,부산광역시,남구,백운포 어린이 야외물놀이장 주차 및 주변시설 안내 봉사자 모집,부산광역시 남구자원봉사센터,2019-08-01 ~ 2019-08-25
3,부산광역시,남구,백운포 어린이 야외물놀이장 주차 및 주변시설 안내,부산광역시 남구자원봉사센터,2019-08-01 ~ 2019-08-25
4,부산광역시,남구,"「제9회 TPO 총회 」국제행사 보조 자원봉사자를 모집합니다. ★이메일 접수 신청, 아래사항 참고 후 신청바람★",부산광역시,2019-09-24 ~ 2019-09-24
5,부산광역시,남구,이그나이트 V-Korea X 부산 행사지원 대학생 자원봉사자 모집,부산광역시,2019-08-29 ~ 2019-08-29
6,부산광역시,남구,장애인 활동 보조 선생님을 모집합니다.,꿈터장애인주간보호센터,2019-08-23 ~ 2019-08-30
7,부산광역시,남구,장애인 활동 보조 선생님을 모집합니다.,꿈터장애인주간보호센터,2019-08-23 ~ 2019-08-30
8,부산광역시,남구,[내용필독:중학생 신청불가]평화공원 물놀이장 운영 안전관리 봉사자 모집,부산광역시 남구자원봉사센터,2019-08-05 ~ 2019-09-01
9,부산광역시,남구,[내용필독:중학생신청불가]평화공원 물놀이장 운영 안전관리 봉사자 모집,부산광역시 남구자원봉사센터,2019-08-05 ~ 2019-09-01
0,부산광역시,남구,[내용필독:중학생 신청불가]평화공원 물놀이장 운영 안전관리 봉사자 모집,부산광역시 남구자원봉사센터,2019-08-05 ~ 2019-09-01
1,부산광역시,남구,[내용필독:청소년신청불가]청소년상담복지센터 학습지도 봉사자 모집,부산광역시 남구자원봉사센터,2019-08-12 ~ 2019-08-30
2,부산광역시,남구,[봉사내용필독]디어프렌드_북한과 제3세계 친구에게 평화파우치 나눔 및 홍보캠페인,부산광역시 남구자원봉사센터,2019-08-07 ~ 2019-08-31
3,부산광역시,남구,[1부] 분포도서관 어린이자료실 도서 및 서가 정리,부산광역시남구도서관,2019-07-02 ~ 2019-08-31
4,부산광역시,남구,[2부] 분포도서관 어린이자료실 도서 및 서가 정리,부산광역시남구도서관,2019-07-02 ~ 2019-08-31
5,부산광역시,남구,2019유엔평화프로그램 -  최빈국 및 참전국 지원봉사활동,(사)한국대학문화연합회,2019-06-22 ~ 2019-09-20
6,부산광역시,남구,밥퍼사랑나눔텃밭가꾸기 활동,(사)부산밥퍼나눔공동체,2019-07-01 ~ 2019-09-30
7,부산광역시,남구,[중고등학생 신청불가]길고양이들 급식봉사,부산광역시 남구,2019-07-06 ~ 2019-09-30
8,부산광역시,남구,도로교통공단 남부운전면허시험장 민원안내 업무보조,도로교통공단 남부운전면허시험장,2019-07-01 ~ 2019-09-30
9,부산광역시,남구,도로교통공단 남부운전면허시험장 민원안내 업무보조,도로교통공단 남부운전면허시험장,2019-07-01 ~ 2019-09-30
0,부산광역시,남구,남구도서관 어린이자료실 도서 및 서가 정리,부산광역시남구도서관,2019-08-01 ~ 2019-09-30
1,부산광역시,남구,[내용필독]제6회 남구 평생학습박람회 자원봉사자 모집,남구청 평생교육과,2019-10-19 ~ 2019-10-20
2,부산광역시,남구,[내용필독]제6회 남구 평생학습박람회 자원봉사자 모집,남구청 평생교육과,2019-10-19 ~ 2019-10-20
3,부산광역시,남구,1부 남구빙상장 스케이팅 안전요원 보조 봉사자 모집합니다,부산광역시 남구자원봉사센터,2019-08-01 ~ 2019-10-31
4,부산광역시,남구,2부 남구빙상장 스케이팅 안전요원 보조 봉사자 모집,부산광역시 남구자원봉사센터,2019-08-01 ~ 2019-10-31
5,부산광역시,남구,2019 국립일제강제동원역사관 고객만족도조사 자원봉사자 모집,일제강제동원역사관,2019-09-02 ~ 2019-10-31
6,부산광역시,남구,2019 국립일제강제동원역사관 고객만족도조사 자원봉사자 모집,일제강제동원역사관,2019-09-02 ~ 2019-10-31
