,지역,시군구,제목,모집기관,봉사기간
0,부산광역시,동구,[부산지적발달장애인복지협회]열린음악회 장애인보조,부산지적장애인자립지원센터,2019-08-21 ~ 2019-08-21
1,부산광역시,동구,동구 안전한 통학로 모니터링 대학생멘토 활동,부산YMCA,2019-08-22 ~ 2019-08-24
2,부산광역시,동구,동구 안전한 통학로 모니터링활동,부산YMCA,2019-08-22 ~ 2019-08-24
3,부산광역시,동구,'나는 너에게...'-반려동물전 전시행사활동보조,동구자원봉사센터,2019-06-21 ~ 2019-08-25
4,부산광역시,동구,"「제9회 TPO 총회 」국제행사 보조 자원봉사자를 모집합니다. ★이메일 접수 신청, 아래사항 참고 후 신청바람★",부산광역시,2019-09-24 ~ 2019-09-24
5,부산광역시,동구,2019 동구 드림백 페스티벌 참가 활동,동구자원봉사센터,2019-08-25 ~ 2019-08-25
6,부산광역시,동구,이그나이트 V-Korea X 부산 행사지원 대학생 자원봉사자 모집,부산광역시,2019-08-29 ~ 2019-08-29
7,부산광역시,동구,2019 비장애청소년 장애이해교육,부산광역시장애인가족지원센터,2019-08-17 ~ 2019-08-31
8,부산광역시,동구,"""동구 어르신품위유지비 지급""추진업무보조활동",동구청,2019-08-16 ~ 2019-08-30
9,부산광역시,동구,"""동구 어르신품위유지비 지급""추진 업무 지원활동",동구청,2019-08-16 ~ 2019-08-30
0,부산광역시,동구,"""동구 어르신품위유지비 지급""추진 업무지원활동",동구청,2019-08-16 ~ 2019-08-30
1,부산광역시,동구,"""동구 어르신 품위유지비 지급""추진 업무 지원활동",동구청,2019-08-16 ~ 2019-08-30
2,부산광역시,동구,"""동구 어르신품위유지비 지급""추진 업무지원활동",동구청,2019-08-16 ~ 2019-08-30
3,부산광역시,동구,"""동구 어르신 품위유지비 지급""추진 업무지원활동",동구청,2019-08-16 ~ 2019-08-30
4,부산광역시,동구,"""동구 어르신품위유지비 지급""추진 업무지원활동",동구청,2019-08-16 ~ 2019-08-30
5,부산광역시,동구,"""동구 어르신품위유지비 지급""추진 업무지원활동",동구청,2019-08-16 ~ 2019-08-30
6,부산광역시,동구,"""동구 어르신품위유지비 지급""추진 업무지원활동",동구청,2019-08-16 ~ 2019-08-30
7,부산광역시,동구,"""동구 어르신품위유지비 지급""추진 업무지원활동",동구청,2019-08-16 ~ 2019-08-30
8,부산광역시,동구,야외 물놀이장 이용객 안내 및 관리요원 활동,동구청,2019-07-19 ~ 2019-09-01
9,부산광역시,동구,야외 물놀이장 이용객 안내 및 관리요원 활동,동구청,2019-07-19 ~ 2019-09-01
0,부산광역시,동구,**********장산대천공원 숲해설 및 환경정화***********,사단법인숲해설가협회부경협회,2019-07-01 ~ 2019-09-21
1,부산광역시,동구,**********몰운대 숲해설 및 환경정화***********,사단법인숲해설가협회부경협회,2019-07-01 ~ 2019-09-21
2,부산광역시,동구,************금강공원 숲해설 및 환경정화*****************,사단법인숲해설가협회부경협회,2019-07-01 ~ 2019-09-21
3,부산광역시,동구,************이기대 숲해설 및 환경정화*****************,사단법인숲해설가협회부경협회,2019-07-01 ~ 2019-09-21
4,부산광역시,동구,"-수제쿠키,천연비누,가죽공예제작봉사활동-사회적소외계층아동지원-재료비있음",오픈더퓨처 부산동구지부,2019-08-03 ~ 2019-09-29
5,부산광역시,동구,-팝업북 유아책 완제품 제작봉사활동-사회적소외계층아동지원-재료비있음,오픈더퓨처 부산동구지부,2019-08-05 ~ 2019-09-29
6,부산광역시,동구,[부산광역시 지적발달장애인복지협회] 발달장애인 댄스교실,부산지적장애인자립지원센터,2019-07-18 ~ 2019-10-03
7,부산광역시,동구,[수요일엔 바다톡톡]해양강연 진행보조,부산과학기술협의회,2019-08-07 ~ 2019-10-23
