,지역,시군구,제목,모집기관,봉사기간
0,부산광역시,연제구,"「제9회 TPO 총회 」국제행사 보조 자원봉사자를 모집합니다. ★이메일 접수 신청, 아래사항 참고 후 신청바람★",부산광역시,2019-09-24 ~ 2019-09-24
1,부산광역시,연제구,『주민과 함께하는 '어울림 도보 순찰』- 생활안전계,연제경찰서,2019-07-27 ~ 2019-08-24
2,부산광역시,연제구,이그나이트 V-Korea X 부산 행사지원 대학생 자원봉사자 모집,부산광역시,2019-08-29 ~ 2019-08-29
3,부산광역시,연제구,아름다운가게 부산되살림터 자원활동가 모집,아름다운가게,2019-06-03 ~ 2019-08-30
4,부산광역시,연제구,매일매일즐거워 발달장애 아동 프로그램 1:1활동보조 지원,협동조합매일매일즐거워,2019-07-22 ~ 2019-08-30
5,부산광역시,연제구,장애인 일손돕기,부산직업재활원,2019-08-05 ~ 2019-08-30
6,부산광역시,연제구,장애인 일손돕기,부산직업재활원,2019-08-05 ~ 2019-08-30
7,부산광역시,연제구,"""자원순환의 날"" 행사를 함께할 자원활동가 모집합니다.",아름다운가게,2019-09-06 ~ 2019-09-06
8,부산광역시,연제구,2019 연제구 취업박람회 행사 지원 - 연제구 국민체육센터,연제구청,2019-09-23 ~ 2019-09-23
9,부산광역시,연제구,제2회 연제고분판타지축제 행사 지원 - 연제구청문화체육과,연제구청 문화체육과,2019-09-27 ~ 2019-09-29
0,부산광역시,연제구,제2회 연제고분판타지축제 행사 지원 - 연제구청문화체육과,연제구청 문화체육과,2019-09-27 ~ 2019-09-29
1,부산광역시,연제구,제2회 연제고분판타지축제 행렬단 행사 지원 - 연제구청 문화체육과,연제구청 문화체육과,2019-09-28 ~ 2019-09-28
2,부산광역시,연제구,제2회 연제고분판타지축제 행렬단 행사 지원 - 연제구청 문화체육과,연제구청 문화체육과,2019-09-29 ~ 2019-09-29
3,부산광역시,연제구,초등학생 학습 멘토링 [매주/1회/1시간이상/대학생 이상],연제구드림스타트,2019-07-02 ~ 2019-09-30
4,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
5,부산광역시,연제구,경로당방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
6,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
7,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
8,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
9,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
0,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
1,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
2,부산광역시,연제구,경로당 방문의 나,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
3,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
4,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
5,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
6,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
7,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
8,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
9,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
0,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
1,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
2,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
3,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
4,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
5,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
6,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
7,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
8,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
9,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
0,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
1,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
2,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
3,부산광역시,연제구,경로당 방문의 날 경로당),부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
4,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
5,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
6,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
7,부산광역시,연제구,경로당 방문의 날 경로당),부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
8,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
9,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
0,부산광역시,연제구,경로당 방문의 날 경로당),부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
1,부산광역시,연제구,경로당 방문의 날 경로당),부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
2,부산광역시,연제구,경로당 방문의 날 경로당),부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
3,부산광역시,연제구,경로당 방문의 날,부산광역시경로당광역지원센터,2019-08-03 ~ 2019-10-26
4,부산광역시,연제구,반려동물복지문화센터내 봉사활동,반려동물복지문화센터(부산시청농축산유통과),2019-08-01 ~ 2019-10-31
5,부산광역시,연제구,반려동물복지문화센터내 자원봉사활동,반려동물복지문화센터(부산시청농축산유통과),2019-08-01 ~ 2019-10-31
