,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,서대문구,자원봉사 기본/환경교육 및 스칸디아모스 액자 만들기 활동,서대문구자원봉사센터,2019-08-21 ~ 2019-08-21
1,서울특별시,서대문구,재능기부: 음악 교사,새로핌지역아동센터,2019-05-21 ~ 2019-08-21
2,서울특별시,서대문구,중학교 요리체험 보조 봉사활동,서울시립서대문청소년수련관,2019-08-22 ~ 2019-10-24
3,서울특별시,서대문구,2019 추석맞이 직거래장터 운영지원,서대문구청,2019-09-03 ~ 2019-09-04
4,서울특별시,서대문구,2019 추석맞이 직거래장터 행사장 지원,서대문구청,2019-09-03 ~ 2019-09-04
5,서울특별시,서대문구,중학교 요리체험 보조 봉사활동,서울시립서대문청소년수련관,2019-08-19 ~ 2019-10-14
6,서울특별시,서대문구,[2019안전365] 어린이 안전교육 보조,사단법인 세이프 키즈 코리아,2019-09-11 ~ 2019-09-11
7,서울특별시,서대문구,마을활력소 나비울카페 운영 도우미,북가좌1동캠프,2019-08-01 ~ 2019-08-31
8,서울특별시,서대문구,데이케어센터 시설 어르신을 위한 미용 재능기부,문화촌데이케어센터,2019-08-26 ~ 2019-09-11
9,서울특별시,서대문구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
0,서울특별시,서대문구,재사용 나눔가게 운영지원,아름다운가게서대문가재울점,2019-06-10 ~ 2019-08-31
1,서울특별시,서대문구,재사용 나눔가게 운영지원 오후,아름다운가게서대문가재울점,2019-06-10 ~ 2019-08-31
2,서울특별시,서대문구,서대문키즈헬스케어센터 토요일 자원봉사[안내 및 관람질서 유지 등]활동,서대문문화체육회관,2019-06-01 ~ 2019-08-31
3,서울특별시,서대문구,청소년셔틀버스 승하차 안전 및 교통지도,서울시립서대문청소년수련관,2019-08-02 ~ 2019-08-31
4,서울특별시,서대문구,시설 어르신을위한 프로그램활동지도,문화촌데이케어센터,2019-08-12 ~ 2019-11-12
5,서울특별시,서대문구,우리동네 안심귀가 파수꾼 봉사 활동,남가좌1동주민센터,2019-09-02 ~ 2019-09-27
6,서울특별시,서대문구,"센터 내,외  활동시 놀이지도와 안전지도 보조 활동",북가좌동우리동네키움센터친구랑,2019-09-02 ~ 2019-09-04
7,서울특별시,서대문구,"홍제천 폭포마당 행사장 정리, 관리 질서유지 및 안내 등",문화촌캠프,2019-09-07 ~ 2019-09-07
8,서울특별시,서대문구,"홍제천 폭포장 행사장 정리, 관리 질서유지 및 안내 등",문화촌캠프,2019-09-07 ~ 2019-09-07
9,서울특별시,서대문구,"홍제천 폭포장 행사장 정리, 관리 질서유지 및 안내 등",문화촌캠프,2019-09-07 ~ 2019-09-07
0,서울특별시,서대문구,여성노숙인 일시보호시설 디딤센터 및 공동작업장 내 봉사활동,(사)열린복지 디딤센터,2019-06-20 ~ 2019-09-19
1,서울특별시,서대문구,[평일오전] 대여 놀잇감 세척 정리 및 열린육아방 운영지원,서대문구육아종합지원센터,2019-07-01 ~ 2019-09-30
2,서울특별시,서대문구,[평일오후] 대여 놀잇감 세척 정리 및 열린육아방 운영지원,서대문구육아종합지원센터,2019-07-01 ~ 2019-09-30
3,서울특별시,서대문구,취업센터 홍보 및 업무보조,(사)대한노인회서대문구지회,2019-07-01 ~ 2019-09-30
4,서울특별시,서대문구,도서정리 및 배열,서대문도서관,2019-07-01 ~ 2019-09-30
5,서울특별시,서대문구,"중학생/고등학생 영어,수학 학습지도",구립홍은청소년공부방,2019-07-01 ~ 2019-10-01
6,서울특별시,서대문구,사랑의 이미용 봉사활동,북가좌1동주민센터,2019-07-01 ~ 2019-09-30
7,서울특별시,서대문구,"광화랑 ""동해독도지도전"" 전시장 안내",독도체험관,2019-07-10 ~ 2019-09-30
8,서울특별시,서대문구,의료 소외계층 및 주거 소외계층 대상 서울역 무료진료소 의과 진료 봉사,프리메드,2019-07-01 ~ 2019-09-30
9,서울특별시,서대문구,의료 소외계층 및 주거 소외계층 대상 서울역 무료진료소 한의과 진료 봉사,프리메드,2019-07-01 ~ 2019-09-30
0,서울특별시,서대문구,의료 소외계층 및 주거 소외계층 대상 서울역 무료진료소 복약지도 봉사,프리메드,2019-07-01 ~ 2019-09-30
1,서울특별시,서대문구,장애인직업재활 보조,늘품보호작업장,2019-07-01 ~ 2019-09-30
2,서울특별시,서대문구,남북청소년중앙연맹 통일사료 20년사 발간 사무보조,사단법인 남북청소년중앙연맹,2019-08-08 ~ 2019-11-07
3,서울특별시,서대문구,남북청소년중앙연맹 SNK방송 영상편집 보조,사단법인 남북청소년중앙연맹,2019-08-22 ~ 2019-11-07
4,서울특별시,서대문구,교실 및 교구장 청소 및 정리정돈,꿈빛나무어린이집,2019-09-01 ~ 2019-09-30
5,서울특별시,서대문구,사무도우미,(사)스파인2000,2019-07-07 ~ 2019-10-06
6,서울특별시,서대문구,학습지도  교사 자원봉사,새로핌지역아동센터,2019-07-01 ~ 2019-10-01
7,서울특별시,서대문구,성인발달장애인 미술활동 보조 및 게시판꾸미기,다솜장애인주간보호센터,2019-07-08 ~ 2019-10-08
8,서울특별시,서대문구,성인발달장애인 활동보조,다솜장애인주간보호센터,2019-07-03 ~ 2019-10-03
9,서울특별시,서대문구,성인발달장애인 보건/의료 건강관리 지원 봉사,다솜장애인주간보호센터,2019-07-04 ~ 2019-10-04
0,서울특별시,서대문구,시설내 발달장애인을 위한 공연 봉사활동,다솜장애인주간보호센터,2019-07-04 ~ 2019-10-04
1,서울특별시,서대문구,사무도우미,(사)스파인2000,2019-07-08 ~ 2019-10-07
2,서울특별시,서대문구,사무도우미,(사)스파인2000,2019-07-10 ~ 2019-10-09
3,서울특별시,서대문구,평화의 공원 그림대회 행사진행 및 장애인보조 자원봉사,(사)스파인2000,2019-10-09 ~ 2019-10-09
4,서울특별시,서대문구,평화의 공원 그림대회 행사진행 및 장애인보조 자원봉사,(사)스파인2000,2019-10-09 ~ 2019-10-09
5,서울특별시,서대문구,DMC실버케어 주간보호센터 어르신을 위한 생활 보조,디엠씨실버케어(DMC실버케어),2019-07-11 ~ 2019-10-10
6,서울특별시,서대문구,DMC실버케어 주간보호센터 어르신을 위한 공연 자원봉사 활동,디엠씨실버케어(DMC실버케어),2019-07-15 ~ 2019-10-15
7,서울특별시,서대문구,장애아동과 함께 하는 초등전환교육 프로그램 지도,서대문장애인종합복지관,2019-07-16 ~ 2019-10-16
8,서울특별시,서대문구,"발달장애 청,장년과 함께 하는 자유여행 활동 지원",서대문장애인종합복지관,2019-07-16 ~ 2019-10-16
9,서울특별시,서대문구,장애아동과 함께 하는 평생교육프로그램 활동 '스포츠교실' 보조 봉사,서대문장애인종합복지관,2019-07-16 ~ 2019-10-16
0,서울특별시,서대문구,서대문키즈헬스케어센터 토요일 자원봉사[안내 및 관람질서 유지 등]활동,서대문문화체육회관,2019-09-07 ~ 2019-11-30
