,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,서초구,유해성약물 오남용 예방 및 제도 개선을 위한 정책토론회 자원봉사자 모집안내,서울시마약퇴치운동본부,2019-08-23 ~ 2019-08-23
1,서울특별시,서초구,방배육아지원센터 일손 돕기 1명 모집 [9월평일 오후],서초구육아종합지원센터,2019-09-02 ~ 2019-09-28
2,서울특별시,서초구,내곡육아지원센터 일손 돕기 2명 모집 [9월평일 오후],서초구육아종합지원센터,2019-09-02 ~ 2019-09-28
3,서울특별시,서초구,서리풀육아지원센터 일손 돕기 2명 모집 [9월평일 오후],서초구육아종합지원센터,2019-09-02 ~ 2019-09-28
4,서울특별시,서초구,매헌윤봉길의사기념관 체험교구재 파악 및 정리 모집,사단법인 매헌윤봉길의사기념사업회,2019-08-23 ~ 2019-08-23
5,서울특별시,서초구,국공립어린이집 자원봉사활동 모집,서초구립 도구머리어린이집,2019-07-22 ~ 2019-08-30
6,서울특별시,서초구,가족들의V타임 공원 내 안부 묻기 프로젝트,서울특별시 서초구,2019-08-24 ~ 2019-08-24
7,서울특별시,서초구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
8,서울특별시,서초구,가죽공예 재능기부 봉사자 모집- 시간 조율 가능,여성장학클럽 홀씨,2019-05-27 ~ 2019-08-27
9,서울특별시,서초구,한국동요음악협회 대학생 자원활동가를 모집합니다.,한국동요음악협회,2019-08-28 ~ 2019-08-28
0,서울특별시,서초구,신재생에너지 교구 만들기,(사)한국환경교육협회,2019-08-05 ~ 2019-08-30
1,서울특별시,서초구,교육부와 함께하는 청소년 진로체험 지원 사업 행정업무 보조,(사)한국자원봉사문화,2019-08-05 ~ 2019-08-28
2,서울특별시,서초구,"환경캠페인 물품 준비, 정리 등 업무지원",사)환경실천연합회,2019-06-01 ~ 2019-08-30
3,서울특별시,서초구,서래글로벌빌리지센터 아이돌보미 봉사활동,서래글로벌빌리지센터,2019-08-30 ~ 2019-08-30
4,서울특별시,서초구,디어프렌드_통일한국 세계 평화의 중심에 서다_평화파우치를 통한 sns홍보캠페인,통일교육문화원,2019-07-06 ~ 2019-08-31
5,서울특별시,서초구,디어프렌드_통일한국 세계 평화의 중심에 서다_평화파우치를 통한 sns홍보캠페인,통일교육문화원,2019-07-13 ~ 2019-08-31
