,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,송파구,아프리카 아동 교육 지원을 위한 '꿈을 그리는 크레파스' 캠페인,사단법인 하트-하트재단 인터내셔널,2019-07-29 ~ 2019-08-23
1,서울특별시,송파구,아프리카 아동 교육 지원을 위한 '꿈을 그리는 크레파스' 캠페인,사단법인 하트-하트재단 인터내셔널,2019-07-29 ~ 2019-08-23
2,서울특별시,송파구,아프리카 아동 교육 지원을 위한 '꿈을 그리는 크레파스' 캠페인,사단법인 하트-하트재단 인터내셔널,2019-07-29 ~ 2019-08-23
3,서울특별시,송파구,아프리카 아동 교육 지원을 위한 '꿈을 그리는 크레파스' 캠페인,사단법인 하트-하트재단 인터내셔널,2019-07-29 ~ 2019-08-23
4,서울특별시,송파구,제1회 송파 쌤 교육한마당 행사보조,송파구청교육협력과,2019-09-06 ~ 2019-09-07
5,서울특별시,송파구,제1회 송파 쌤 교육한마당 행사보조,송파구청교육협력과,2019-09-06 ~ 2019-09-07
6,서울특별시,송파구,"환경교육, EM 발효액 제조 및 실생활 활용법",송파1동주민센터 자원봉사캠프,2019-08-23 ~ 2019-08-23
7,서울특별시,송파구,올림픽공원 내 봉사활동,한국체육산업개발(주),2019-08-20 ~ 2019-08-21
8,서울특별시,송파구,한성백제문화제 자원봉사,송파구청문화체육과,2019-09-27 ~ 2019-09-27
9,서울특별시,송파구,한성백제문화제 자원봉사,송파구청문화체육과,2019-09-27 ~ 2019-09-27
0,서울특별시,송파구,잠실4동 새마을문고 도서대출 및 도서정리,잠실4동주민센터,2019-08-06 ~ 2019-11-06
1,서울특별시,송파구,주거취약계층 주거환경개선 봉사,위례시민연대,2019-08-24 ~ 2019-08-24
2,서울특별시,송파구,서울이랜드FC 홈경기 환경정화활동 '에코필더',(주)이랜드스포츠(서울이랜드FC프로축구단),2019-08-24 ~ 2019-08-24
3,서울특별시,송파구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
4,서울특별시,송파구,"환경교육, 복지시설 전달할 수세미 뜨개활동, 환경 캠페인",장지동주민센터 자원봉사캠프,2019-08-28 ~ 2019-08-28
5,서울특별시,송파구,실내 단순포장 자원봉사,행복보호작업장,2019-05-27 ~ 2019-08-27
6,서울특별시,송파구,장애인 임가공 작업 지원,동안제일복지센터,2019-08-01 ~ 2019-08-30
7,서울특별시,송파구,[송파구방이복지관] 직장인 대상 청장년 장애인과 함께하는 취미갖기 프로그램,송파구방이복지관,2019-08-31 ~ 2019-08-31
