,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,은평구,[발달지원팀] 새순교실 봉사자 모집,서부장애인종합복지관,2019-08-13 ~ 2019-10-31
1,서울특별시,은평구,[성인] 8월 자원봉사 기본교육,은평구자원봉사센터,2019-08-23 ~ 2019-08-23
2,서울특별시,은평구,여름캠프차량운전,성모의집,2019-08-24 ~ 2019-08-25
3,서울특별시,은평구,치매안심마을 자원봉사,은평구보건소,2019-08-22 ~ 2019-08-23
4,서울특별시,은평구,다문화가족 농촌체험 나들이 진행보조,은평구건강가정다문화가족지원센터,2019-08-24 ~ 2019-08-24
5,서울특별시,은평구,옮김 비누 재가공 활동,옮김,2019-08-24 ~ 2019-08-24
6,서울특별시,은평구,생활편의지원-청소보조,구립구산어린이집,2019-08-12 ~ 2019-08-23
7,서울특별시,은평구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
8,서울특별시,은평구,야생동물구조대 자원활동 모집,물푸레생태교육센터,2019-09-01 ~ 2019-09-29
9,서울특별시,은평구,[서울특별시립 은혜로운집] 목욕 봉사 / 매주 월요일 또는 목요일 정기봉사 모집,서을특별시립은혜로운집,2019-06-03 ~ 2019-08-30
0,서울특별시,은평구,갈현청소년센터 SNS홍보활동,갈현청소년문화의집,2019-08-05 ~ 2019-09-06
1,서울특별시,은평구,장애인 소모임과 함께하는 비즈악세사리수업 지원봉사자 구합니다,사단법인 초록,2019-09-02 ~ 2019-09-30
2,서울특별시,은평구,[아름다운가게 연신내점] 화요일 오전 봉사자 모집,아름다운가게연신내점,2019-09-03 ~ 2019-11-12
3,서울특별시,은평구,[아름다운가게 연신내점] 화요일 오후  봉사자 모집,아름다운가게연신내점,2019-09-03 ~ 2019-11-05
4,서울특별시,은평구,은평 한문화체험시설 성인 자원봉사자 모집,은평역사한옥박물관,2019-06-05 ~ 2019-08-31
5,서울특별시,은평구,서울시 어르신돌봄종사자 종합지원센터 행정보조,서울시어르신돌봄종사자종합지원센터,2019-06-17 ~ 2019-09-16
6,서울특별시,은평구,[토정골 사랑방] 주민커뮤니티 공간 운영 자원봉사,은평구마을공동체지원센터,2019-06-01 ~ 2019-08-31
7,서울특별시,은평구,어린이집 영유아랑 함께 놀아주기-보건증필요,구립꼬마대통령어린이집,2019-07-19 ~ 2019-08-31
8,서울특별시,은평구,굿윌스토어 오전 자원봉사자,굿윌스토어 은평점,2019-07-18 ~ 2019-08-31
9,서울특별시,은평구,노블케어스 요양원 어르신 식사 수발 평일 자원봉사자 모집,노블케어스 요양원,2019-08-01 ~ 2019-08-31
0,서울특별시,은평구,노블케어스 요양원 자원봉사자 모집,노블케어스 요양원,2019-08-01 ~ 2019-08-31
1,서울특별시,은평구,마추미실버케어[응암점] 요양원 평일 자원봉사자 모집,마추미실버케어응암점,2019-08-01 ~ 2019-08-31
2,서울특별시,은평구,[서울시지역상생교류사업단] 긍정적이고 적극적인 자원활동가님을 모집합니다,슬로푸드문화원,2019-09-05 ~ 2019-09-28
3,서울특별시,은평구,초등학생 한글공부 멘토,꿈이있는푸른학교지역아동센터,2019-08-15 ~ 2019-11-15
4,서울특별시,은평구,[서울은빛유치원] 장애아동 활동지원 자원봉사자 모집,서울은빛유치원,2019-08-22 ~ 2019-11-22
5,서울특별시,은평구,갈현2동 주민자치회 자원봉사자 모집,갈현2동캠프,2019-09-07 ~ 2019-09-07
6,서울특별시,은평구,[발달지원팀] ‘마음을 그리다’ 봉사자 모집,서부장애인종합복지관,2019-09-09 ~ 2019-11-25
7,서울특별시,은평구,세로토닌문화 행사 및 사무지원,(사)세로토닌문화,2019-07-04 ~ 2019-09-09
8,서울특별시,은평구,"굿윌스토어 은평점 매장 정리 및 판매 보조, 기증품 분류 작업, 의류 선별 작업, 수선, 출고 작업 지원",굿윌스토어 은평점,2019-06-14 ~ 2019-09-13
9,서울특별시,은평구,[은평여자일시청소년쉼터] 자원활동가 모집,갈현청소년문화의집,2019-06-14 ~ 2019-09-13
0,서울특별시,은평구,교육 자원봉사자를 대안학교에서 모집합니다.,동방학교,2019-06-17 ~ 2019-09-16
1,서울특별시,은평구,[발달지원팀] 희망교실3 봉사자 모집,서부장애인종합복지관,2019-09-04 ~ 2019-11-06
2,서울특별시,은평구,"[발달지원팀] 아이마루놀이터 ""놀이교실"" 프로그램 지원 봉사자 모집",서부장애인종합복지관,2019-08-27 ~ 2019-11-19
3,서울특별시,은평구,[발달지원팀] 필라테스 봉사자 모집,서부장애인종합복지관,2019-08-23 ~ 2019-11-22
4,서울특별시,은평구,"[발달지원팀] 아이마루놀이터 ""예능교실1"" 프로그램 지원 봉사자 모집",서부장애인종합복지관,2019-08-21 ~ 2019-11-19
5,서울특별시,은평구,[발달지원팀] 희망교실1 봉사자 모집,서부장애인종합복지관,2019-09-03 ~ 2019-12-03
6,서울특별시,은평구,비장애인의 장애체험 봉사자 모집합니다.,사단법인 초록,2019-09-02 ~ 2019-09-30
7,서울특별시,은평구,비장애인의 장애체험 봉사자 모집합니다.,사단법인 초록,2019-09-26 ~ 2019-09-26
8,서울특별시,은평구,비장애인의 장애체험 봉사자 모집합니다.,사단법인 초록,2019-09-26 ~ 2019-09-26
9,서울특별시,은평구,은평구 보건소 방문간호 사업 보조,은평구보건소,2019-06-27 ~ 2019-09-27
0,서울특별시,은평구,희망장난감도서관 운영지원 봉사자 모집,은평구 육아종합지원센터,2019-09-01 ~ 2019-09-30
1,서울특별시,은평구,청소년환경정화 활동,갈현2동캠프,2019-07-01 ~ 2019-09-30
2,서울특별시,은평구,환경정화 활동,갈현2동캠프,2019-07-01 ~ 2019-09-30
3,서울특별시,은평구,[서울특별시립은혜로운집] 이미용봉사,서을특별시립은혜로운집,2019-07-01 ~ 2019-09-30
4,서울특별시,은평구,"말벗,프로그램진행 및 보조,식사수발, 이.미용,음악봉사,미술치료,독서봉사,청소 등",하나효요양병원,2019-07-01 ~ 2019-09-30
5,서울특별시,은평구,직업재활시설 프로그램 보조,빛나눔보호작업장,2019-07-01 ~ 2019-09-30
6,서울특별시,은평구,[대학생/성인] 도서관 대출 및 서가정리 봉사자를 모집합니다.,서울특별시서북병원,2019-09-01 ~ 2019-11-30
7,서울특별시,은평구,[대학생/성인] 서북병원내 민원안내,서울특별시서북병원,2019-09-01 ~ 2019-11-30
8,서울특별시,은평구,[발달지원팀] ‘무용교실’ 봉사자 모집,서부장애인종합복지관,2019-10-10 ~ 2019-12-12
9,서울특별시,은평구,"어르신을 대상으로 일상생화지원, 여가활동지원 등의 자원봉사자를 모집합니다.",에이스종합복지센터,2019-07-20 ~ 2019-10-19
0,서울특별시,은평구,방과후 돌봄 자원봉사자분들을 모집합니다.,대조제일교회방과후교실,2019-08-05 ~ 2019-10-31
1,서울특별시,은평구,방과후 교실 재능기부자분들을 모집합니다.,대조제일교회방과후교실,2019-08-05 ~ 2019-10-31
2,서울특별시,은평구,[주말정기] 토요일에 탁구를 함께 즐겨주실 자원봉사자 모집합니다.,서을특별시립은혜로운집,2019-08-01 ~ 2019-10-31
3,서울특별시,은평구,서울시립은평중장기청소년쉼터 전산회계 자격증 취득 지원 봉사자모집,서울시립은평여자중장기청소년쉼터,2019-08-20 ~ 2019-10-31
