,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,종로구,37.5696602,126.9748903,여의도샛강생태공원 생태교란 식물 관리,사회적협동조합 한강,대한민국 서울특별시 종로구 사직동 새문안로 92 1803호,2019-08-24 ~ 2019-08-24
1,종로구,37.575711,126.9853626,하반기 치매전문요양보호사 교육 진행보조,(사)한국여가문화지도자연합회,대한민국 서울특별시 종로구 경운동 삼일대로 461,2019-08-24 ~ 2019-08-31
2,종로구,37.575711,126.9853626,데이케어센타 위문공연활동,(사)한국여가문화지도자연합회,대한민국 서울특별시 종로구 경운동 삼일대로 461,2019-08-27 ~ 2019-08-27
3,종로구,37.5703734,126.9722532,취약계층을 위한 온라인 모금 활동,사단법인 뉴솔루션,대한민국 서울특별시 종로구 사직동 새문안로 69 801호,2019-08-28 ~ 2019-09-13
4,종로구,37.5729503,126.9793579,"[종로]종로구치매안심센터 ""기억다방"" 행사 및 홍보부스 운영 보조 봉사활동",종로구치매안심센터,대한민국 서울특별시 종로구,2019-08-23 ~ 2019-08-23
5,종로구,37.5722444,126.9722071,자료정리 봉사자를 모집,한국생태관광협회,대한민국 서울특별시 종로구 사직동 새문안로3길 23 802호,2019-08-22 ~ 2019-08-22
6,종로구,37.5812815,126.9668035,[오전] 종로구립 박노수미술관 안내 자원봉사,구립 박노수미술관,대한민국 서울특별시 종로구 청운효자동 옥인1길 34,2019-08-20 ~ 2019-08-25
7,종로구,,,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,,2019-09-02 ~ 2019-09-06
8,종로구,37.5777954,127.0156168,"""제3회 동망봉 백일홍 축제"" 행사 보조활동",숭인1동주민센터,대한민국 서울특별시 종로구 숭인동 지봉로 86,2019-08-30 ~ 2019-08-30
9,종로구,37.5738297,127.0013212,연동복지재단 실버아카데미 보조강사 및 봉사자,사회복지법인 연동복지재단,대한민국 서울특별시 종로구 연지동 대학로3길 9 303호,2019-05-29 ~ 2019-08-28
0,종로구,37.5812815,126.9668035,[오전] 종로구립 박노수미술관 자원봉사,구립 박노수미술관,대한민국 서울특별시 종로구 청운효자동 옥인1길 34,2019-08-29 ~ 2019-08-29
