,지역,시군구,제목,모집기관,봉사기간
0,울산광역시,동구,8월 신바람 나는 자원봉사 - 오늘은 맑음 어때요?,울산광역시 동구,2019-08-28 ~ 2019-08-28
1,울산광역시,동구,[대왕별아이누리] 8월 오전 어린이놀이안전관리 자원봉사자를 모집합니다.,울산시설공단 대왕별 아이누리,2019-06-01 ~ 2019-08-31
2,울산광역시,동구,[대왕별아이누리] 6-8월 오후 어린이놀이안전 자원봉사자 모집합니다.,울산시설공단 대왕별 아이누리,2019-06-01 ~ 2019-08-31
3,울산광역시,동구,[대왕별아이누리] 6-8월 재능기부자원봉사자를 모집합니다.,울산시설공단 대왕별 아이누리,2019-06-01 ~ 2019-08-31
4,울산광역시,동구,재가노인복지센터 자원봉사,울산동구종합사회복지관 부설 재가노인복지센터,2019-07-01 ~ 2019-08-31
5,울산광역시,동구,"[울산광역시육아종합지원센터] 장난감도서관, 그림책도서관 업무지원",울산광역시육아종합지원센터,2019-07-01 ~ 2019-09-30
6,울산광역시,동구,"[울산광역시육아종합지원센터] 장난감도서관, 그림책도서관 업무지원",울산광역시육아종합지원센터,2019-07-01 ~ 2019-09-30
7,울산광역시,동구,명덕이음작은도서관 평일: 오후4시40분~7시 봉사자 모집,명덕이음작은도서관,2019-08-05 ~ 2019-11-01
8,울산광역시,동구,명덕이음작은도서관   평일 11시40분부터 봉사자 모집,명덕이음작은도서관,2019-08-05 ~ 2019-11-01
9,울산광역시,동구,대왕별아이누리 9~10월 오후 자원봉사자를 모집합니다.,울산시설공단 대왕별 아이누리,2019-09-01 ~ 2019-10-31
0,울산광역시,동구,대왕별아이누리 9~10월 오전 자원봉사자를 모집합니다.,울산시설공단 대왕별 아이누리,2019-09-01 ~ 2019-10-31
1,울산광역시,동구,[드림재가노인복지센터] 어르신 활동 보조 및 청소하실 자원봉사자 모집합니다.,드림재가노인복지센터,2019-08-01 ~ 2019-10-31
