,지역,시군구,제목,모집기관,봉사기간
0,전라남도,목포시,목포해상케이블카개통 관광객맞이 활어회 무료시식회 안내,목포시보건소,2019-08-10 ~ 2019-08-24
1,전라남도,목포시,"Wee센터 프로그램 물품 제작 및 정리 , *신청 전 전화 필수",목포시교육청,2019-08-23 ~ 2019-08-23
2,전라남도,목포시,2019 목포세계마당페스티벌 행사보조활동,사단법인 세계마당아트진흥회,2019-08-29 ~ 2019-09-01
3,전라남도,목포시,어린이바다과학관 실내 및 야외 환경정비,목포어린이바다과학관,2019-07-01 ~ 2019-08-31
4,전라남도,목포시,2019발달장애인가족휴식지원 문경힐링캠프 봉사자 모집,한국장애인부모회목포지부,2019-08-29 ~ 2019-08-31
5,전라남도,목포시,오전봉사/2019 전라남도 마을이야기박람회 목포시 주제관 및 홍보관 운영,목포시문화예술과,2019-08-30 ~ 2019-09-01
6,전라남도,목포시,오후봉사/2019 전라남도 마을이야기 박람회 목포시 주제관 및 홍보관 운영,목포시문화예술과,2019-08-30 ~ 2019-09-01
7,전라남도,목포시,목포세계마당페스티벌 놀이마당 행사,극단아띠,2019-08-31 ~ 2019-09-01
8,전라남도,목포시,노리꿈터 장난감도서관 장난감 소독 봉사,전남육아종합지원센터,2019-06-03 ~ 2019-08-29
9,전라남도,목포시,음악요법,효성요양병원,2019-05-29 ~ 2019-08-29
0,전라남도,목포시,사회적응훈련 및 일상생활 지원,아람그룹홈,2019-06-01 ~ 2019-09-01
1,전라남도,목포시,경로당 DB자료 입력,대한노인회전남경로당공역지원센터,2019-06-03 ~ 2019-08-30
2,전라남도,목포시,여성지적장애인과 함께 사회적응 훈련,아람그룹홈,2019-06-03 ~ 2019-09-02
3,전라남도,목포시,아름다운가게 목포원도심점 매장운영지원,아름다운가게(원도심점),2019-08-01 ~ 2019-08-31
4,전라남도,목포시,국립해양유물전시관 [어린이체험관] 자원봉사자 모집,국립해양문화재연구소,2019-07-27 ~ 2019-08-31
5,전라남도,목포시,국립해양유물전시관 [어린이체험관] 자원봉사자 모집,국립해양문화재연구소,2019-07-27 ~ 2019-08-31
6,전라남도,목포시,제8회 목포인권영화제 자원활동가 모집,목포여성인권지원센터,2019-09-05 ~ 2019-09-07
7,전라남도,목포시,"이,미용봉사",효성요양병원,2019-06-17 ~ 2019-09-17
8,전라남도,목포시,미술교실,효성요양병원,2019-06-17 ~ 2019-09-17
9,전라남도,목포시,2019년 찾아가는 어린이 안전체험교실 자원봉사,목포시청(안전총괄과),2019-09-27 ~ 2019-09-28
0,전라남도,목포시,김대중노벨평화상기념관 실내청소 및 실외 환경정비,김대중노벨평화상기념관,2019-07-01 ~ 2019-09-29
1,전라남도,목포시,고양이 케어 및 쉼터 정리정돈 봉사활동,전남서남권고양이복지협회,2019-07-02 ~ 2019-09-30
2,전라남도,목포시,고양이 케어 및 쉼터 정리정돈 봉사활동,전남서남권고양이복지협회,2019-07-08 ~ 2019-09-30
3,전라남도,목포시,아름다운가게 목포원도심점 매장운영지원,아름다운가게(원도심점),2019-09-01 ~ 2019-09-30
4,전라남도,목포시,지적장애인과 함께하는 사회적응프로그램,실로암그룹홈,2019-07-07 ~ 2019-10-07
5,전라남도,목포시,2019발달장애인가족휴식지원사업 단양테마여행 봉사자 모집,한국장애인부모회목포지부,2019-10-17 ~ 2019-10-19
6,전라남도,목포시,국립해양문화재연구소 전시실 내외 환경정비,국립해양문화재연구소,2019-08-01 ~ 2019-10-31
7,전라남도,목포시,목포시청소년문화센터 안내데스크 안내 및 환경정화 활동,목포YMCA,2019-08-01 ~ 2019-10-31
8,전라남도,목포시,목포시청소년문화센터 안내데스크 안내 및 환경정화 활동,목포YMCA,2019-08-01 ~ 2019-10-31
9,전라남도,목포시,자연사박물관 청소년 자원봉사자 활동,목포자연사박물관,2019-08-16 ~ 2019-11-15
0,전라남도,목포시,전남육아종합지원센터 노리꿈터 장난감도서관 장난감 소독 봉사,전남육아종합지원센터,2019-09-02 ~ 2019-11-28
