,지역,시군구,제목,모집기관,봉사기간
0,충청북도,제천시,자원봉사 기초교육 + 시원한 부채 이웃에 전하기,제천시종합자원봉사센터,2019-08-23 ~ 2019-08-23
1,충청북도,제천시,8월 청소년 자원봉사 활동 - 풍선아트 재능봉사,제천시종합자원봉사센터,2019-08-24 ~ 2019-08-24
2,충청북도,제천시,어르신 일상생활 케어 도움,명암실버타운,2019-05-24 ~ 2019-08-24
3,충청북도,제천시,어르신들을 위한 재능기부,명암실버타운,2019-05-24 ~ 2019-08-24
4,충청북도,제천시,자원봉사박람회 부스운영 지원 봉사활동,제천시종합자원봉사센터,2019-08-31 ~ 2019-08-31
5,충청북도,제천시,어르신활동보조,서울노인요양원,2019-06-03 ~ 2019-08-30
6,충청북도,제천시,옥소 예술제 홍보 및 참여,(사)한국예총 제천지회,2019-08-14 ~ 2019-08-31
7,충청북도,제천시,온라인 자원봉사 기초교육1,제천시종합자원봉사센터,2019-07-01 ~ 2019-09-30
8,충청북도,제천시,온라인 자원봉사 기초교육2,제천시종합자원봉사센터,2019-07-01 ~ 2019-09-30
9,충청북도,제천시,"어르신 말벗 봉사, 활동보조, 프로그램 진행 및 보조",들꽃피는노인요양원,2019-07-01 ~ 2019-09-30
0,충청북도,제천시,노인주간보호센터 재능 기부,제천효마을노인복지센터,2019-07-20 ~ 2019-10-19
1,충청북도,제천시,노인주간보호센터 어르신 일상 생활 보조,제천효마을노인복지센터,2019-07-20 ~ 2019-10-19
2,충청북도,제천시,말벗 봉사활동,늘편한요양원,2019-08-01 ~ 2019-10-31
3,충청북도,제천시,주야간보호센터 어르신 활동보조,하하노인복지센터,2019-08-01 ~ 2019-10-31
4,충청북도,제천시,주야간보호센터 어르신 활동보조,하하노인복지센터,2019-08-01 ~ 2019-10-31
