,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 고양시,,, [굿네이버스 경기서부지부] 좋은이웃가게 캠페인 봉사자 모집,사단법인 굿네이버스 인터내셔날(경기서부)지부,,2019-08-12 2019-12-31
1,경기도 고양시,,, [고양시일산서구]밑반찬 배달 봉사,고양시문촌종합사회복지관,,2019-07-18 2019-12-31
2,경기도 고양시,,, 초 중 고  교육멘토링 선생님 구합니다,그루터기지역아동센터,,2019-07-06 2019-12-31
3,경기도 고양시,,, 평일 토요일 청소 서류 정리 자원봉사자 모십니다,그루터기지역아동센터,,2019-07-06 2019-09-30
4,경기도 고양시,,, 심폐소생술 강의,오손도손복지센터,,2019-07-01 2019-12-31
5,경기도 고양시,,,  소그룹 초등 중등 고등 멘토링 선생님 모집합니다,그루터기지역아동센터,,2019-07-08 2019-12-31
6,경기도 고양시,37.658391,126.7642233, 어르신을 위한 스마트폰 활용안내 프로그램 ,사회복지법인연꽃마을 일산노인종합복지관,대한민국 경기도 고양시 일산동구 장항동 906,2019-06-21 2019-08-30
7,경기도 고양시,,, 목요일(시시) 성인발달장애인 야외활동 자원봉사자모집,고양시장애인주간보호센터,,2019-05-16 2020-12-31
8,경기도 고양시,,, [굿네이버스 경기서부] 성폭력예방인형극 봉사자 모집,사단법인 굿네이버스 인터내셔날(경기서부)지부,,2019-03-27 2019-10-31
9,경기도 고양시,,, [굿네이버스 경기서부지부] 대학생 자원봉사자 모집,사단법인 굿네이버스 인터내셔날(경기서부)지부,,2019-01-30 2019-12-31
10,경기도 고양시,37.658391,126.7642233, 일산노인복지관 경로식당 자원봉사자 모집,사회복지법인연꽃마을 일산노인종합복지관,대한민국 경기도 고양시 일산동구 장항동 906,2018-11-28 2019-12-31
