,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 광명시,37.48085349999999,126.8504556, 지구가족체육대회 운영 보조,광명종합사회복지관,대한민국 경기도 광명시 광명3동 158-970,2019-09-21 2019-09-21
1,경기도 광명시,37.4790855,126.8531226, 시설의 홈페이지 제작,광명사랑터,대한민국 경기도 광명시 광명동 158-823 304호,2019-08-26 2019-08-30
2,경기도 광명시,37.4790251,126.8465456, 유아 취학적응반 외부활동 일일 자원봉사 모집,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-08-28 2019-08-28
3,경기도 광명시,37.4790251,126.8465456, 추석 명절 음식 나누기 배달 일일 자원봉사자 모집,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-09-10 2019-09-10
4,경기도 광명시,37.458962,126.8848069, [하안종합사회복지관] 지역탐방해설가 우리 마을을 소개할 자원봉사자 모집,하안종합사회복지관,대한민국 경기도 광명시 하안동 200,2019-08-13 2019-12-31
5,경기도 광명시,37.4790251,126.8465456, 광명장애인종합복지관 수요일 주방 봉사 모집,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-08-28 2019-12-31
6,경기도 광명시,37.4790251,126.8465456, 유아 미술활동 프로그램 보조,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-08-16 2019-12-31
7,경기도 광명시,37.4790251,126.8465456, 청소년 난타안전지도 및 착석지도,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-08-14 2019-12-31
8,경기도 광명시,37.4790251,126.8465456, 조기교실  유아 취학적응반(수요일),광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-08-14 2019-12-31
9,경기도 광명시,37.4790251,126.8465456, 유아 오감놀이 체육 프로그램 보조,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-08-14 2019-12-31
10,경기도 광명시,37.4790251,126.8465456, 가족문화지원팀  월요일 조기교실 프로그램 보조,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-07-30 2019-12-31
11,경기도 광명시,37.48085349999999,126.8504556, 경로식당 행복밥상 자원봉사자 및 봉사단체모집,광명종합사회복지관,대한민국 경기도 광명시 광명3동 158-970,2019-07-26 2020-12-31
12,경기도 광명시,37.4830403,126.8655483, 우리가족 파이팅 봉사자 모집(하반기),철산종합사회복지관,대한민국 경기도 광명시 철산동 158,2019-07-18 2019-12-21
13,경기도 광명시,37.4790855,126.8531226, 장애인 활동지원,광명사랑터,대한민국 경기도 광명시 광명동 158-823 304호,2019-07-03 2019-12-31
14,경기도 광명시,37.48085349999999,126.8504556, [광명종합사회복지관] 어르신 스마트폰 활용 교육 봉사,광명종합사회복지관,대한민국 경기도 광명시 광명3동 158-970,2019-06-21 2019-11-13
0,경기도 광명시,37.4790251,126.8465456, 이미용 여성 자원봉사자 모집,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-05-21 2019-12-31
1,경기도 광명시,37.4790251,126.8465456, 광명장애인종합복지관 주방 봉사,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-05-20 2019-12-31
2,경기도 광명시,37.4830403,126.8655483, 장애비장애 청소년 통합자원봉사단  신규단원모집,철산종합사회복지관,대한민국 경기도 광명시 철산동 158,2019-03-01 2019-12-31
3,경기도 광명시,37.47334439999999,126.8710298, 보라미 가족봉사단 ,광명시건강가정다문화가족지원센터,대한민국 경기도 광명시 철산동 디지털로 34,2019-01-25 2019-11-16
4,경기도 광명시,37.4790251,126.8465456, 밑반찬 및 명절음식 배달봉사,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2019-01-17 2019-12-26
5,경기도 광명시,37.4830403,126.8655483, [철산종합사회복지관] 경로식당 봉사자 모집,철산종합사회복지관,대한민국 경기도 광명시 철산동 158,2019-01-15 2019-12-17
6,경기도 광명시,37.4163969,126.8863808, 어린이집 보조교사,시립새빛어린이집,대한민국 경기도 광명시 일직동 517 광명역센트럴자이 상가동 1층,2019-02-08 2019-12-31
7,경기도 광명시,37.4163969,126.8863808, 영유아 국악지도,시립새빛어린이집,대한민국 경기도 광명시 일직동 517 광명역센트럴자이 상가동 1층,2019-03-01 2019-12-31
8,경기도 광명시,37.4163969,126.8863808, 조리사 급식 보조 봉사,시립새빛어린이집,대한민국 경기도 광명시 일직동 517 광명역센트럴자이 상가동 1층,2019-02-08 2019-12-31
9,경기도 광명시,37.4790251,126.8465456, 영역별 재능기부,광명장애인종합복지관,대한민국 경기도 광명시 광명동 목감로 120,2018-08-03 2019-08-31
