,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 성남시 분당구,37.3847777,127.1193917, [급구]년 힐링여행 우다다(우리는 다 다르다) 자원봉사자 모집,우리꿈터,대한민국 경기도 성남시 분당구 서현동 황새울로311번길 9 1006호,2019-09-03 2019-09-04
1,경기도 성남시 분당구,37.3586744,127.1124419, [분당노인종합복지관]  (화) 경로식당 배식봉사자 모집,분당노인종합복지관,대한민국 경기도 성남시 분당구 정자동 불정로 50,2019-09-20 2019-09-20
2,경기도 성남시 분당구,37.3905055,127.082868, 독거어르신 지지체계 구축사업 맛있는만남(요리 ) 자원봉사자 모집,판교종합사회복지관,대한민국 경기도 성남시 분당구 운중로,2019-09-02 2019-10-25
3,경기도 성남시 분당구,37.3847777,127.1193917, [급구]년 힐링여행 우다다(우리는 다 다르다) 자원봉사자 모집,우리꿈터,대한민국 경기도 성남시 분당구 서현동 황새울로311번길 9 1006호,2019-09-03 2019-09-04
4,경기도 성남시 분당구,,, [한솔종합사회복지관] 희망메이커스쿨 고등부 교육멘토 모집,한솔종합사회복지관,,2019-08-19 2019-12-31
5,경기도 성남시 분당구,37.3847777,127.1193917, [급구]년 힐링여행 우다다(우리는 다 다르다) 자원봉사자 모집,우리꿈터,대한민국 경기도 성남시 분당구 서현동 황새울로311번길 9 1006호,2019-09-03 2019-09-04
6,경기도 성남시 분당구,,, 장애 비장애아동 통합야구단 베스트원 대학생 자원봉사자 모집,한솔종합사회복지관,,2019-08-27 2019-11-27
7,경기도 성남시 분당구,37.4084543,127.143814, 한마음공방 로고(라벨) 디자인 작업 자원봉사자 모집 ,성남시한마음복지관,대한민국 경기도 성남시 분당구 야탑동 170-1,2019-08-12 2019-12-31
8,경기도 성남시 분당구,,, [한솔종합사회복지관] 희망메이커스쿨 고등부 교육멘토 모집,한솔종합사회복지관,,2019-08-19 2019-12-31
9,경기도 성남시 분당구,37.3541465,127.1110737, 추석맞이 지역주민 어울림 한마당 자원봉사자 모집,청솔종합사회복지관,대한민국 경기도 성남시 분당구 금곡동 126,2019-09-04 2019-09-04
10,경기도 성남시 분당구,37.3586744,127.1124419, [분당노인종합복지관]  교통안전베테랑 나눔 서포터즈 활동보조 봉사자 모집,분당노인종합복지관,대한민국 경기도 성남시 분당구 정자동 불정로 50,2019-08-01 2019-09-30
11,경기도 성남시 분당구,,, 지구촌사회복지재단 홍보봉사단 모집(대학생),지구촌사회복지재단,,2019-08-01 2019-12-31
12,경기도 성남시 분당구,37.3453136,127.1112949, [하얀마을복지회관] 네 마음을 토닭토닭 행사 보조(오후),하얀마을복지회관,대한민국 경기도 성남시 분당구 구미동 금곡로25번길,2019-08-31 2019-08-31
13,경기도 성남시 분당구,37.3453136,127.1112949, [하얀마을복지회관] 네 마음을 토닭토닭 행사 보조(오전),하얀마을복지회관,대한민국 경기도 성남시 분당구 구미동 금곡로25번길,2019-08-31 2019-08-31
14,경기도 성남시 분당구,37.3918506,127.0908622, [분당판교청소년수련관] 기획봉사활동 만원의 마법,분당판교청소년수련관,대한민국 경기도 성남시 분당구 판교동 운중로225번길 37,2019-08-08 2019-08-24
0,경기도 성남시 분당구,37.3455855,127.1118092, 학습지도 자원봉사자 모집(상시),야긴과보아즈지역아동센터,대한민국 경기도 성남시 분당구 구미동 144-4,2019-07-26 2019-12-31
1,경기도 성남시 분당구,,, [경기도 성남시 보바스기념병원] 대학생 자원봉사자 모집,의료법인 미소들의료재단,,2019-07-10 2019-12-31
2,경기도 성남시 분당구,37.3900468,127.1086458, 판교노인종합복지관  도시락배달 운전 자원봉사자 모집,판교노인종합복지관,대한민국 경기도 성남시 분당구 백현동 판교역로 99,2019-06-20 2019-12-31
