,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 용인시 처인구,37.2593842,127.2189401, 식당지원 및 배식봉사 자원봉사자 모집 ),용인시처인장애인복지관,대한민국 경기도 용인시 처인구 고림동 954-1,2019-08-21 2019-12-31
1,경기도 용인시 처인구,37.1693052,127.2398561, 모듬북 동아리 지도,서울시립영보정신요양원,대한민국 경기도 용인시 처인구 이동면 묵리 464,2019-08-18 2019-12-30
2,경기도 용인시 처인구,37.299648,127.0743286, [용인시다문화가족지원센터] 요리교육 보조,용인시다문화가족지원센터,대한민국 경기도 용인시 수지구 상현1동 법조로 230,2019-09-02 2019-10-29
3,경기도 용인시 처인구,37.2593842,127.2189401, 재가장애인 어르신 목욕지원서비스 ,용인시처인장애인복지관,대한민국 경기도 용인시 처인구 고림동 954-1,2019-09-06 2019-09-06
4,경기도 용인시 처인구,37.1638771,127.3594316, 쇼핑백 접기,해든솔직업지원센터,대한민국 경기도 용인시 처인구 백암면 백원로439번길 47-10,2019-08-08 2019-08-31
5,경기도 용인시 처인구,37.2887123,127.2402863, 도시락 배달 주방 봉사 ,인보노인복지센터,대한민국 경기도 용인시 처인구 포곡읍 삼계리 319-7,2019-08-07 2019-12-31
6,경기도 용인시 처인구,37.2593842,127.2189401, 정보화교육 프로그램 보조 자원봉사자 모집),용인시처인장애인복지관,대한민국 경기도 용인시 처인구 고림동 954-1,2019-08-07 2019-12-31
7,경기도 용인시 처인구,37.1213925,127.3655885, (용인처인구)이미용전문자원봉사자를 모집합니다,세광정신요양원(사회복지법인),대한민국 경기도 용인시 처인구 백암면 용천로71번길 54,2019-07-29 2019-12-31
8,경기도 용인시 처인구,37.2346168,127.2032759, 요양시설 자원봉사자 모집,용인삼성노인전문요양원,대한민국 경기도 용인시 처인구 김량장동 금령로 62 901호,2019-07-01 2020-12-31
9,경기도 용인시 처인구,37.2401895,127.1763574, 국가보훈처 보훈테마활동 공모사업 보우하사 대한민국 자원봉사자 모집,용인시청소년수련관,대한민국 경기도 용인시 처인구 삼가동 중부대로 1199 청소년수련관,2019-08-01 2019-09-30
10,경기도 용인시 처인구,37.2593842,127.2189401, 미술프로그램 오감만족 무지개 교실 보조활동,용인시처인장애인복지관,대한민국 경기도 용인시 처인구 고림동 954-1,2019-06-26 2019-12-31
11,경기도 용인시 처인구,37.2593842,127.2189401, 주간보호팀 프로그램 보조 활동 ,용인시처인장애인복지관,대한민국 경기도 용인시 처인구 고림동 954-1,2019-06-12 2019-12-31
12,경기도 용인시 처인구,37.2593842,127.2189401, 튼튼교실(체육)아동반 프로그램 보조활동,용인시처인장애인복지관,대한민국 경기도 용인시 처인구 고림동 954-1,2019-06-10 2019-12-31
13,경기도 용인시 처인구,37.2593842,127.2189401, 장애아동 교육 프로그램 와글와글방과후교실 보조활동 ,용인시처인장애인복지관,대한민국 경기도 용인시 처인구 고림동 954-1,2019-05-31 2019-12-31
14,경기도 용인시 처인구,37.2411614,127.1775148, 용인시처인노인복지관 이미용 봉사자 모집,용인시처인노인복지관,대한민국 경기도 용인시 처인구 삼가동 556,2019-05-24 2019-12-31
0,경기도 용인시 처인구,37.2593842,127.2189401, 와글와글 방과후교실 프로그램 보조활동,용인시처인장애인복지관,대한민국 경기도 용인시 처인구 고림동 954-1,2019-03-26 2019-12-31
1,경기도 용인시 처인구,37.2346168,127.2032759, 재능기부(음악마술장구놀이)봉사자 모집,용인삼성노인전문요양원,대한민국 경기도 용인시 처인구 김량장동 금령로 62 901호,2019-03-22 2020-12-31
