,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,광주광역시 광산구,35.1596001,126.8028558, 야간방임아동 학습지도,송광종합사회복지관,대한민국 광주광역시 광산구 우산동 1603-1,2019-08-20 2019-12-31
1,광주광역시 광산구,35.1677069,126.8044769, 우등지역아동센터 자원봉사자 모집,우등지역아동센터,대한민국 광주광역시 광산구 산정동 970-2,2019-08-19 2019-12-31
2,광주광역시 광산구,,, [아름다운가게 광주첨단점] 정기자원봉사자 모집,아름다운가게 광주전남본부,,2019-08-14 2020-12-31
3,광주광역시 광산구,35.219482,126.842406, 첨단종합사회복지관 이웃손맛반찬 반찬만들기 자원봉사자 구함,광산구첨단종합사회복지관,대한민국 광주광역시 광산구 쌍암동 첨단중앙로 160,2019-08-06 2019-12-03
4,광주광역시 광산구,35.219482,126.842406, 첨단종합사회복지관 학교사회사업 새싹이 톡톡 자원봉사자 모집,광산구첨단종합사회복지관,대한민국 광주광역시 광산구 쌍암동 첨단중앙로 160,2019-08-22 2019-10-24
5,광주광역시 광산구,35.1596001,126.8028558, 거동불편어르신 도시락 배달 및 경로식당 배식지원,송광종합사회복지관,대한민국 광주광역시 광산구 우산동 1603-1,2019-08-01 2019-08-31
6,광주광역시 광산구,,, 월 일(일) 광주평화통일마라톤대회 자원봉사 모집,광주푸른청년회,,2019-07-19 2019-10-02
7,광주광역시 광산구,35.2209175,126.845173, 독거노인 반찬지원 서비스,첨단종합병원,대한민국 광주광역시 광산구 쌍암동 665-1,2019-07-15 2019-10-26
8,광주광역시 광산구,35.1372469,126.7982059, 지역아동센터 학습 활동 행정 환경 정리 청소 등 업무 보조,아름드리지역아동센터,대한민국 광주광역시 광산구 송정동 234-2 2층,2019-07-11 2019-12-31
9,광주광역시 광산구,,, 찾아가는 드림토크콘서트 차 ,어린이재단 광주지역본부,,2019-09-06 2019-09-06
10,광주광역시 광산구,35.155881,126.8144926, 중학생 학습지도,빛과소금지역아동센터,대한민국 광주광역시 광산구 우산동 우산로 130,2019-06-04 2019-12-31
11,광주광역시 광산구,35.1735762,126.8081849, 스마트폰 및 한글기초교육 봉사자모집,무등장애인자립생활센터,대한민국 광주광역시 광산구 월곡동 산정공원로72번길 34,2019-04-22 2019-12-31
