,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,광주광역시 북구,,, 북구 임동 광주천변 쓰레기 수거 및 흙공 만들기 자원봉사 모집,지구시민운동연합,,2019-08-24 2019-08-24
1,광주광역시 북구,35.1857097,126.9007903, 년 하반기 성인 문해교실 자원봉사자 모집,오치종합사회복지관,대한민국 광주광역시 북구 오치동 1003,2019-09-02 2019-12-31
2,광주광역시 북구,35.1874318,126.9059564, 우리이웃 주년 기념식 자원봉사자 모집,우리이웃장애인자립생활센터,대한민국 광주광역시 북구 오치1동 953-5,2019-09-06 2019-09-06
3,광주광역시 북구,35.1874318,126.9059564, 토론회 행사진행 보조 자원봉사자 모집,우리이웃장애인자립생활센터,대한민국 광주광역시 북구 오치1동 953-5,2019-08-29 2019-08-29
4,광주광역시 북구,,, 근육장애인식의날 행사 보조,광주광역시근육장애인협회,,2019-09-05 2019-09-05
5,광주광역시 북구,35.2051533,126.8702837, 지역아동센터 물놀이캠프 아동인솔보조,건국지역아동센터,대한민국 광주광역시 북구 연제동 478-179,2019-08-23 2019-08-23
6,광주광역시 북구,35.1851945,126.8677098, 장애인과 함께하는 작업활동,광주광역시장애인보호작업장,대한민국 광주광역시 북구 동림동 24,2019-08-19 2019-08-30
7,광주광역시 북구,35.1586034,126.906812, 해피뷰병원 요리프로그램 보조,해피뷰병원,대한민국 광주광역시 북구 유동 8-9,2019-09-04 2019-09-04
8,광주광역시 북구,35.1777142,126.919031, 사랑의식당 조리봉사,우산종합사회복지관(대한불교조계종),대한민국 광주광역시 북구 우산동 633-1,2019-08-16 2019-08-31
9,광주광역시 북구,35.1726134,126.867747, 환경정리 및 교육 기타 자원봉사 모집  ,세계로향하는지역아동센터,대한민국 광주광역시 북구 동림동 885-14,2019-08-16 2019-09-16
10,광주광역시 북구,35.1628431,126.9379777, [무등종합사회복지관] 나들이 동행 자원봉사자 모집,무등종합사회복지관,대한민국 광주광역시 북구 두암3동 969-6,2019-08-14 2019-08-26
11,광주광역시 북구,35.1812281,126.8734077, 꽃동산지역아동센터 프로그램 보조 및 환경정리 봉사자 모집 ,꽃동산지역아동센터,대한민국 광주광역시 북구 북문대로,2019-08-23 2019-12-20
12,광주광역시 북구,35.1722981,126.9325898, 년 오방보치아대회 자원봉사자 모집,오방장애인자립생활센터,대한민국 광주광역시 북구 두암동 850-39,2019-08-28 2019-08-28
13,광주광역시 북구,35.1851945,126.8677098, 여성장애인교육지원사업 멘토링 프로그램(드로잉교실) 자원봉사자 모집,광주광역시장애인종합복지관,대한민국 광주광역시 북구 동림동 24,2019-09-01 2019-12-31
14,광주광역시 북구,35.1793247,126.8938466, 아름다운가게 광주역점 자원봉사모집 ,아름다운가게 광주전남본부,대한민국 광주광역시 북구 용봉동 1363-2 1층,2019-08-13 2019-12-31
0,광주광역시 북구,35.1726134,126.867747, 환경 및 교육 기타 자원봉사 모집 ,세계로향하는지역아동센터,대한민국 광주광역시 북구 동림동 885-14,2019-08-09 2019-08-31
1,광주광역시 북구,35.1633517,126.9153233, 음악 등 어르신 여가생활 지원(주간보호센터 ),목화재가노인복지센터,대한민국 광주광역시 북구 중흥동 독립로 367 3층/4층,2019-08-07 2019-11-29
2,광주광역시 북구,35.1719756,126.9049458, 동행재활요양병원 조리 및 배식 봉사자,동행재활요양병원,대한민국 광주광역시 북구 신안동 226-20,2019-08-05 2019-12-31
3,광주광역시 북구,35.1633517,126.9153233, 목화주간보호센터(어르신 말벗식사보조프로그램활동지원 등),목화재가노인복지센터,대한민국 광주광역시 북구 중흥동 독립로 367 3층/4층,2019-08-05 2019-09-30
4,광주광역시 북구,35.1633517,126.9153233, 목화주간보호센터(어르신말벗식사보조이동보조프로그램 보조 등) ,목화재가노인복지센터,대한민국 광주광역시 북구 중흥동 독립로 367 3층/4층,2019-08-05 2019-10-31
5,광주광역시 북구,35.1586034,126.906812, 해피뷰병원 이미용 봉사모집,해피뷰병원,대한민국 광주광역시 북구 유동 8-9,2019-08-05 2020-08-05
6,광주광역시 북구,35.1633517,126.9153233, 주간보호시설 내 어르신 활동보조,목화재가노인복지센터,대한민국 광주광역시 북구 중흥동 독립로 367 3층/4층,2019-08-05 2019-11-30
7,광주광역시 북구,35.1633517,126.9153233, 주간보호센터 어르신 여가 및 활동 지원,목화재가노인복지센터,대한민국 광주광역시 북구 중흥동 독립로 367 3층/4층,2019-08-06 2019-12-31
8,광주광역시 북구,35.1726134,126.867747, 환경 및 교육 기타 자원봉사 모집 ,세계로향하는지역아동센터,대한민국 광주광역시 북구 동림동 885-14,2019-08-02 2019-08-31
9,광주광역시 북구,35.1777142,126.919031, 안부확인 및 말벗 자원봉사 모집,우산종합사회복지관(대한불교조계종),대한민국 광주광역시 북구 우산동 633-1,2019-08-02 2019-12-31
10,광주광역시 북구,,, [광주광역시사회복지협의회] 제회 사회복지의날 홍보단 모집,광주광역시사회복지협의회,,2019-08-01 2019-09-07
11,광주광역시 북구,35.1777142,126.919031, 밑반찬서비스 자원봉사자 모집,우산종합사회복지관(대한불교조계종),대한민국 광주광역시 북구 우산동 633-1,2019-08-01 2019-12-31
12,광주광역시 북구,35.1741445,126.8842146, 초등학생 학습지도 및 놀이,운암지역아동센터,대한민국 광주광역시 북구 운암2동 비엔날레로3번길 21,2019-07-30 2019-12-31
13,광주광역시 북구,35.1997876,126.873491, 남성 지적장애인 거주시설 파인빌 에서 자원봉사자를 모집합니다 ,파인빌,대한민국 광주광역시 북구 양산동 양산신촌길 49,2019-07-01 2019-12-31
14,광주광역시 북구,35.2116491,126.8795457, 사임당지역아동센터 봉사자모집,사임당지역아동센터,대한민국 광주광역시 북구 양산동 705,2019-07-26 2019-12-31
0,광주광역시 북구,35.1719756,126.9049458, 동행재활요양병원 공연 봉사자,동행재활요양병원,대한민국 광주광역시 북구 신안동 226-20,2019-07-24 2019-12-31
1,광주광역시 북구,35.1719756,126.9049458, 동행재활요양병원 목욕보조 식사보조 자원봉사자 모집,동행재활요양병원,대한민국 광주광역시 북구 신안동 226-20,2019-07-24 2019-12-31
2,광주광역시 북구,35.1719756,126.9049458, 동행재활요양병원 프로그램 진행 및 보조,동행재활요양병원,대한민국 광주광역시 북구 신안동 226-20,2019-07-22 2019-12-31
3,광주광역시 북구,35.1719756,126.9049458, 동행재활요양병원 이미용봉사,동행재활요양병원,대한민국 광주광역시 북구 신안동 226-20,2019-07-22 2019-12-31
4,광주광역시 북구,35.1793247,126.8938466, 아름다운가게 광주용봉책방 자원봉사자 모집,아름다운가게 광주전남본부,대한민국 광주광역시 북구 용봉동 1363-2 1층,2019-07-22 2019-12-31
5,광주광역시 북구,35.1726134,126.867747, 환경 및 교육 기타 자원봉사 모집,세계로향하는지역아동센터,대한민국 광주광역시 북구 동림동 885-14,2019-07-19 2019-08-31
6,광주광역시 북구,35.1739618,126.9119854, 함께  행복해요,새롬요양원,대한민국 광주광역시 북구 용봉동 첨단연신로 107번길 45-22,2019-07-15 2020-12-31
7,광주광역시 북구,35.1812281,126.8734077, 꽃동산지역아동센터 프로그램 보조 및 환경정리 봉사자 모집 ,꽃동산지역아동센터,대한민국 광주광역시 북구 북문대로,2019-07-24 2019-08-22
8,광주광역시 북구,35.1646295,126.9357042, 삼정승고을 희망키움 멘토링 사업,두암종합사회복지관,대한민국 광주광역시 북구 두암동 968-1,2019-07-01 2019-12-31
9,광주광역시 북구,,, [광주광역시사회복지협의회] 광역푸드뱅크 자원봉사자 모집,광주광역시사회복지협의회,,2019-06-25 2019-12-31
10,광주광역시 북구,35.1726134,126.867747, 방학중 교육봉사 모집,세계로향하는지역아동센터,대한민국 광주광역시 북구 동림동 885-14,2019-06-21 2019-08-31
11,광주광역시 북구,35.1767002,126.8598585,  각종 프로그램 진행 자원봉사  ,광주연세요양병원,대한민국 광주광역시 북구 동림동 703,2019-06-11 2019-12-31
12,광주광역시 북구,35.1857097,126.9007903, 어려운 가정을 위한 밑반찬 서비스 조리 봉사자 모집,오치종합사회복지관,대한민국 광주광역시 북구 오치동 1003,2019-06-20 2019-12-31
13,광주광역시 북구,35.1659932,126.9217349, 사랑나눔기초푸드뱅크,사랑나눔푸드뱅크,대한민국 광주광역시 북구 풍향동 600-3,2019-06-07 2019-12-31
14,광주광역시 북구,35.1628431,126.9379777, [무등종합사회복지관] 밑반찬 포장 및 전달 봉사 참여자 모집,무등종합사회복지관,대한민국 광주광역시 북구 두암3동 969-6,2019-06-04 2019-12-31
0,광주광역시 북구,35.1793247,126.8938466, 아름다운가게 광주역점 자원봉사 모집 ,아름다운가게 광주전남본부,대한민국 광주광역시 북구 용봉동 1363-2 1층,2019-05-29 2019-10-31
1,광주광역시 북구,35.1817662,126.9263435, 초등학생 학습지도 자원봉사자 모집,대원지역아동센터,대한민국 광주광역시 북구 문흥동 919,2019-05-15 2019-12-31
2,광주광역시 북구,,, 교육지도(학습지도시설봉사),행복꿈터 광주지역아동센터,,2019-05-03 2019-12-31
3,광주광역시 북구,35.206128,126.8719604, 센터 업무보조 및 환경정리,양산공부방,대한민국 광주광역시 북구 양산동 연양로 42 2층,2019-04-25 2019-12-31
4,광주광역시 북구,35.206128,126.8719604, 기초학습지도,양산공부방,대한민국 광주광역시 북구 양산동 연양로 42 2층,2019-04-25 2019-12-31
5,광주광역시 북구,35.1737015,126.8882901, 환경정리 및 학습지도보조 ,다솜지역아동센터,대한민국 광주광역시 북구 운암2동 금호로 53-2 3층,2019-04-01 2019-12-31
6,광주광역시 북구,35.1628431,126.9379777, [무등종합사회복지관] 복지관 환경정리 자원봉사자 모집,무등종합사회복지관,대한민국 광주광역시 북구 두암3동 969-6,2019-03-27 2019-12-31
7,광주광역시 북구,35.2092983,126.8938565, 일곡중앙지역아동센터,일곡중앙지역아동센터,대한민국 광주광역시 북구 일곡동 일곡로49번길 35-1 2층,2019-03-26 2019-12-31
8,광주광역시 북구,35.1673929,126.9342434, 기초학습지도 자원봉사자를 모집합니다,비전지역아동센터,대한민국 광주광역시 북구 두암3동 탁영로15번길 17 3층,2019-03-20 2019-12-31
9,광주광역시 북구,35.2092983,126.8938565, 일곡중앙지역아동센터,일곡중앙지역아동센터,대한민국 광주광역시 북구 일곡동 일곡로49번길 35-1 2층,2019-03-14 2019-12-31
10,광주광역시 북구,35.1695163,126.9095958, 유치 초등 저학년 놀이 선생님,중흥지역아동센터,대한민국 광주광역시 북구 중흥2동 343-13,2019-03-13 2020-02-29
