,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,서울특별시 구로구,37.49777660000001,126.8637523, [구로구치매안심센터]셔틀버스 안내 자원봉사자 모집,구로구치매지원센터,대한민국 고척동 76-160번지 4층 골든타워빌딩 구로구 서울특별시 KR,2019-09-02 2019-09-06
1,서울특별시 구로구,37.485463,126.8924069, [샘복지재단]  조사 및 정리,사단법인샘복지재단,대한민국 서울특별시 구로구 구로동 디지털로31길 53 207호,2019-08-21 2019-08-23
2,서울특별시 구로구,,, 장애인 작업활동 보조 해주실 자원봉사 모집합니다 ,늘푸름보호작업장,,2019-08-22 2019-12-31
3,서울특별시 구로구,37.5051932,126.8905976, (신도림역)구로노인종합복지관 프로그램 보조 자원봉사자 모집,구로노인종합복지관,대한민국 서울특별시 구로구 구로5동 25-1,2019-09-02 2019-11-28
4,서울특별시 구로구,37.49193140000001,126.8849082, 년 학기 대학생 자원봉사자 모집,고려대학교구로병원,대한민국 서울특별시 구로구 구로동 구로동로 148,2019-08-21 2019-12-31
5,서울특별시 구로구,37.4813987,126.8904193, [성프란복지관] 여성장애인 가족나들이 봉사자 모집,성프란치스꼬장애인종합복지관,대한민국 서울특별시 구로구 가리봉동 남부순환로105라길 25-10,2019-09-07 2019-09-07
6,서울특별시 구로구,37.4990453,126.8296042, [궁동종합사회복지관]밑반찬 배달서비스(웰빙밥상) 자원봉사자 모집,궁동종합사회복지관,대한민국 서울특별시 구로구 수궁동 오리로22길 5,2019-08-20 2019-12-31
7,서울특별시 구로구,37.5051932,126.8905976, (신도림역)구로노인종합복지관 스마트폰교육 보조 자원봉사자 모집,구로노인종합복지관,대한민국 서울특별시 구로구 구로5동 25-1,2019-08-20 2019-09-27
8,서울특별시 구로구,,, 어르신송영시 보조탑승 및 기타 봉사,으뜸어르신주야간보호센터,,2019-08-16 2019-12-31
9,서울특별시 구로구,,, 어르신 송영시 보조탑승 및 기타봉사,으뜸어르신주야간보호센터,,2019-08-16 2019-12-31
10,서울특별시 구로구,37.4976578,126.89223, [나눔센터] 장애인인권교육 프로그램 진행보조 봉사자 구함,나눔장애인자립생활센터,대한민국 서울특별시 구로구 구로5동 공원로 3 칼리테스트 인증원,2019-09-06 2019-09-06
11,서울특별시 구로구,37.5051932,126.8905976, 구로노인종합복지관 쾌지나 청춘 자원봉사자 모집,구로노인종합복지관,대한민국 서울특별시 구로구 구로5동 25-1,2019-09-02 2019-11-28
12,서울특별시 구로구,,, 희망마차 특별행사 자원봉사자 모집(),서울특별시사회복지협의회,,2019-08-27 2019-08-27
13,서울특별시 구로구,37.4824954,126.8898602, 예비부부교실 진행 보조 ,구로구건강가정지원센터,"대한민국 서울특별시 구로구 가리봉동 우마2길 35 2,3층",2019-08-31 2019-09-07
14,서울특별시 구로구,37.497684,126.8918441, 발달장애인 롯데월드 동행 봉사자모집,구로장애인자립생활센터,대한민국 서울특별시 구로구 구로5동 가마산로27길 14,2019-09-21 2019-09-21
0,서울특별시 구로구,37.4976578,126.89223, [나눔센터]뷰티봉사 단체 모집,나눔장애인자립생활센터,대한민국 서울특별시 구로구 구로5동 공원로 3 칼리테스트 인증원,2019-08-01 2019-11-23
1,서울특별시 구로구,37.4867825,126.8908157, [구로종합사회복지관] 월 청소년자원봉사학교 참여자 모집,구로종합사회복지관,대한민국 서울특별시 구로구 구로3동 256-7,2019-08-31 2019-08-31
2,서울특별시 구로구,,, [굿네이버스 서울나눔] 가족그림편지쓰기대회 업무보조,사단법인 굿네이버스 인터내셔날 서울본부,,2019-07-30 2019-08-30
3,서울특별시 구로구,37.4976578,126.89223, [나눔센터] 학교모니터링 요원단 모집,나눔장애인자립생활센터,대한민국 서울특별시 구로구 구로5동 공원로 3 칼리테스트 인증원,2019-07-29 2019-11-30
4,서울특별시 구로구,37.486478,126.893699,  프린팅 교육 청각장애인을 위한 타이핑 봉사활동,구로조은장애인자립생활센터,대한민국 서울특별시 구로구 구로동 디지털로31길 38-21 203호,2019-07-23 2019-10-22
5,서울특별시 구로구,37.4976578,126.89223, [나눔센터] 시각장애인  대면 낭독봉사자 모집,나눔장애인자립생활센터,대한민국 서울특별시 구로구 구로5동 공원로 3 칼리테스트 인증원,2019-07-16 2019-12-31
6,서울특별시 구로구,37.4990453,126.8296042, [궁동종합사회복지관] 밑반찬 배달서비스(웰빙밥상) 자원봉사자 모집,궁동종합사회복지관,대한민국 서울특별시 구로구 수궁동 오리로22길 5,2019-07-10 2019-12-31
7,서울특별시 구로구,37.49777660000001,126.8637523, 구로구 치매안심센터에서 재능 기부 봉사자를 모집 합니다 ,구로구치매지원센터,대한민국 고척동 76-160번지 4층 골든타워빌딩 구로구 서울특별시 KR,2019-07-08 2019-11-22
8,서울특별시 구로구,,, [굿네이버스 서울나눔] 가족그림편지쓰기대회 업무보조,사단법인 굿네이버스 인터내셔날 서울본부,,2019-07-05 2019-08-30
9,서울특별시 구로구,37.4894977,126.857006, 꿈의학교 지역아동센터 하반기 자원봉사자를 모집합니다 (학습지도) ,꿈의학교지역아동센터,대한민국 서울특별시 구로구 개봉3동 264-27,2019-09-02 2019-12-31
10,서울특별시 구로구,37.4990453,126.8296042, [궁동종합사회복지관]밑반찬 배달서비스(웰빙밥상) 자원봉사자 모집,궁동종합사회복지관,대한민국 서울특별시 구로구 수궁동 오리로22길 5,2019-07-01 2019-12-31
11,서울특별시 구로구,37.49777660000001,126.8637523, 구로구 치매안심센터에서 재능기부 봉사자를 모집합니다 ,구로구치매지원센터,대한민국 고척동 76-160번지 4층 골든타워빌딩 구로구 서울특별시 KR,2019-07-19 2019-11-22
12,서울특별시 구로구,,, [노원시각] 가치봄(화면해설 및 한글자막 영화관람) 발권업무 자원봉사자 모집,노원시각장애인복지관,,2019-06-18 2019-12-31
13,서울특별시 구로구,37.49193140000001,126.8849082, 고려대구로병원 성인대학생 봉사자 모집(년생부터 년생까지) ,고려대학교구로병원,대한민국 서울특별시 구로구 구로동 구로동로 148,2019-06-17 2020-12-31
