,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,전라북도 전주시 완산구,35.8179347,127.1458038,  생명사랑 밤길걷기 캠페인 ,전주생명의전화,대한민국 전라북도 전주시 완산구 중앙동 전라감영5길 27,2019-09-21 2019-09-21
1,전라북도 전주시 완산구,35.7901693,127.132364, 수학 교육봉사,학산종합사회복지관,대한민국 전라북도 전주시 완산구 평화동2가 292,2019-09-01 2019-12-31
2,전라북도 전주시 완산구,35.7908741,127.1924272, 어르신 산책 동행,기린요양원,대한민국 전라북도 전주시 완산구 색장동 533-5,2019-08-16 2019-12-31
3,전라북도 전주시 완산구,35.7901677,127.1042702, 이 미용자원봉사자 모집,전주신성양로원,대한민국 전라북도 전주시 완산구 삼천동2가 224,2019-08-12 2020-08-12
4,전라북도 전주시 완산구,35.7901693,127.132364, 프로그램 진행 보조,학산종합사회복지관,대한민국 전라북도 전주시 완산구 평화동2가 292,2019-09-02 2020-05-31
5,전라북도 전주시 완산구,35.7901693,127.132364, 노인 돌봄 가족 상담 자원봉사,학산종합사회복지관,대한민국 전라북도 전주시 완산구 평화동2가 292,2019-09-01 2020-05-31
6,전라북도 전주시 완산구,35.7901693,127.132364, 전문 집수리 자원봉사자 모집,학산종합사회복지관,대한민국 전라북도 전주시 완산구 평화동2가 292,2019-09-01 2020-05-31
7,전라북도 전주시 완산구,35.7975219,127.1323459, 주간보호센터 자원봉사자 모집,전주장애인종합복지관주간보호센터,대한민국 전라북도 전주시 완산구 평화2동 백제대로 20-41,2019-07-22 2019-10-09
8,전라북도 전주시 완산구,35.8152909,127.130558, 선너머계절학교 자원봉사자 모집,선너머종합사회복지관,대한민국 전라북도 전주시 완산구 중화산동1가 221-27,2019-07-22 2019-08-22
9,전라북도 전주시 완산구,35.8159,127.1032996, 전주재활,전주재활주야간보호센터,대한민국 전라북도 전주시 완산구 효자4동 홍산남로 11-8,2019-06-17 2019-12-31
10,전라북도 전주시 완산구,35.7908741,127.1924272, 어르신 말벗 및 산책보조,기린요양원,대한민국 전라북도 전주시 완산구 색장동 533-5,2019-05-28 2019-12-31
11,전라북도 전주시 완산구,35.7911136,127.1342527, 꽃밭정이노인복지관 경로식당 배식 자원봉사자 모집,꽃밭정이노인복지관,대한민국 전라북도 전주시 완산구 평화동2가 230-2,2019-04-26 2019-12-28
12,전라북도 전주시 완산구,35.81257,127.1370897, 엠마오사랑병원 식사보조 자원봉사,엠마오사랑병원,대한민국 전라북도 전주시 완산구 중화산동1가 149-1,2019-02-14 2019-12-31
13,전라북도 전주시 완산구,35.7984522,127.1194746, 방문이미용서비스봉사,효경노인복지센터,대한민국 전라북도 전주시 완산구 삼천2동 용리로 88,2019-01-10 2019-12-30
14,전라북도 전주시 완산구,,, 요양원 자원봉사,하늘정원요양원,,2018-05-26 2099-12-31
