,지역,시군구,제목,모집기관,봉사기간
0,강원도,원주시,원주시립도서관 북스타트 자원활동가 모집,원주시립도서관,2019-08-28 ~ 2019-11-27
1,강원도,원주시,마가렛직업재활원 장애인 활동도움 자원봉사자 모집,강원도 원주시,2019-05-23 ~ 2019-08-23
2,강원도,원주시,바른요양병원 어르신 행사도움 자원봉사자 모집,강원도 원주시,2019-08-27 ~ 2019-08-27
3,강원도,원주시,사랑복지센터 어르신 프로그램 운영 자원봉사자 모집,강원도 원주시,2019-05-30 ~ 2019-08-30
4,강원도,원주시,은빛봄날요양원 프로그램 도움 자원봉사자 모집,강원도 원주시,2019-07-08 ~ 2019-08-30
5,강원도,원주시,원주시립중앙도서관 도서정리 및 자료실 지원,원주시립도서관,2019-06-25 ~ 2019-08-30
6,강원도,원주시,강원남부해바라기센터 해바라기서포터즈 자원봉사자 모집,강원도 원주시,2019-09-02 ~ 2019-12-02
7,강원도,원주시,2019 월드비전 지구촌 사랑나눔 그림대회 운영도움 자원봉사자 모집,강원도 원주시,2019-09-03 ~ 2019-09-03
8,강원도,원주시,밥상공동체 노인일터 무료급식 자원봉사자 모집,강원도 원주시,2019-06-10 ~ 2019-09-10
9,강원도,원주시,원주복지관 식사배달 차량운전 자원봉사자 모집,강원도 원주시,2019-06-21 ~ 2019-09-20
0,강원도,원주시,원주복지관 도시락포장 및 경로식당 급식 자원봉사자 모집,강원도 원주시,2019-06-25 ~ 2019-09-24
1,강원도,원주시,사랑나눔경로식당 자원봉사자 모집,강원도 원주시,2019-06-25 ~ 2019-09-25
2,강원도,원주시,소망주기복지센터 토요급식정리 자원봉사자 모집,강원도 원주시,2019-06-29 ~ 2019-09-28
3,강원도,원주시,소망주기복지센터 토요환경정화 자원봉사자 모집,강원도 원주시,2019-06-29 ~ 2019-09-28
4,강원도,원주시,소망주기복지센터 토요무료급식 자원봉사자 모집,강원도 원주시,2019-06-29 ~ 2019-09-28
5,강원도,원주시,노인전문 요양원 이미용봉사자 모집,부승노인전문요양원(학성점),2019-07-09 ~ 2019-10-08
6,강원도,원주시,사회복지법인 해오름어린이집 환경정비 자원봉사자 모집,강원도 원주시,2019-07-03 ~ 2019-10-03
7,강원도,원주시,2019 장애인 한마당 축제 자원봉사자 모집,강원도 원주시,2019-10-11 ~ 2019-10-11
8,강원도,원주시,간현관광지 환경정화 자원봉사자 모집,강원도 원주시,2019-07-16 ~ 2019-10-16
9,강원도,원주시,노인요양센터 산고대 생활지원 자원봉사자 모집,강원도 원주시,2019-07-25 ~ 2019-10-25
0,강원도,원주시,아름다운가게 원주무실점 자원봉사자 모집,강원도 원주시,2019-07-26 ~ 2019-10-25
1,강원도,원주시,장애인 재가 돌봄 자원봉사자 모집,강원도 원주시,2019-08-11 ~ 2019-11-10
2,강원도,원주시,원주소망주기복지센터 반찬도시락 지원 자원봉사자 모집,강원도 원주시,2019-08-22 ~ 2019-11-22
3,강원도,원주시,아름다운가게 원주일산점 자원봉사자 모집,강원도 원주시,2019-08-19 ~ 2019-11-19
4,강원도,원주시,건강가정다문화가족지원센터 결혼이민자 자녀돌봄 자원봉사자 모집,강원도 원주시,2019-08-19 ~ 2019-11-19
5,강원도,원주시,원주나누리 토요급식 및 캠페인 자원봉사자 모집,강원도 원주시,2019-08-24 ~ 2019-11-23
