,지역,시군구,제목,모집기관,봉사기간
0,경기도,고양시,장항습지 환경보전을 위한 그래피티 니팅 가로수길 꾸미기,고양시자원봉사센터,2019-08-14 ~ 2019-08-21
1,경기도,고양시,제11회 DMZ국제다큐멘터리 영화제 자원봉사자 모집,사단법인디엠지국제다큐영화제,2019-09-20 ~ 2019-09-27
2,경기도,고양시,홍애원 장애인보호작업장 임가공 작업활동 보조/환경미화,홍애원,2019-07-22 ~ 2019-08-23
3,경기도,고양시,고양시청문화유산관광과/ 2019 라페스타 비어페스티벌 행사지원 및 주변정리,고양시청문화유산관광과,2019-08-30 ~ 2019-09-01
4,경기도,고양시,고양시덕양노인종합복지관 식당봉사,덕양노인종합복지관,2019-08-06 ~ 2019-08-30
5,경기도,고양시,K3리그 축구경기 자원봉사자 모집,고양시축구협회,2019-08-24 ~ 2019-08-24
6,경기도,고양시,공립다솔유치원 유아현장체험학습 지원활동 봉사 모집,다솔유치원,2019-09-10 ~ 2019-09-10
7,경기도,고양시,성사천 주변 정화활동 및 생태교란종제거작업활동,더불어성사천,2019-08-24 ~ 2019-08-24
8,경기도,고양시,고등학교 3학년 아동의 수학학습지도 봉사자를 모집합니다.,하늘그림지역아동센터,2019-06-18 ~ 2019-09-18
9,경기도,고양시,[아름다운가게 일산주엽점] 재사용자선가게 운영 봉사자 모집,아름다운가게일산주엽점,2019-08-01 ~ 2019-10-31
0,경기도,고양시,[고양시건강가정지원센터-참관진행보조] 자녀문화체험 프로그램,고양시건강가정지원센터,2019-08-26 ~ 2019-08-26
1,경기도,고양시,홍애원 장애인보호작업장 임가공 작업활동 보조/환경미화,홍애원,2019-06-26 ~ 2019-08-30
2,경기도,고양시,[고양시건강가정지원센터] 중년기 부부교육 진행보조,고양시건강가정지원센터,2019-08-31 ~ 2019-08-31
3,경기도,고양시,[굿네이버스 경기2본부] 제 8회 가족그림편지쓰기대회 행정업무보조 자원봉사자 모집,사단법인굿네이버스인터내셔날(경기서부)지부,2019-08-12 ~ 2019-08-30
4,경기도,고양시,공립 다솔유치원 현장체험학습보조 봉사활동 모집,다솔유치원,2019-09-16 ~ 2019-09-16
5,경기도,고양시,어르신들을 위한 식사 준비 보조 및 식사케어,원당효은요양원,2019-06-01 ~ 2019-08-31
6,경기도,고양시,행신역 어르신 이미용 자원봉사자들을 모십니다. 많은 관심과 참여 부탁드립니다.,봄재가노인복지센터,2019-06-01 ~ 2019-08-31
7,경기도,고양시,자원봉사 기초교육 / 청소년 학교 봉사시간 인정불가 / 연1회만 신청가능,고양시자원봉사센터,2019-06-01 ~ 2019-08-31
8,경기도,고양시,"장난감도서관 장난감 소독, 장난감 닦기, 환경 미화, 행정 업무 보조",고양시건강가정지원센터,2019-07-01 ~ 2019-08-31
9,경기도,고양시,"고운맘요양원/어르신 활동보조,이동보조,말벗 자원봉사자를 모집합니다.",고운맘요양원,2019-07-01 ~ 2019-08-31
0,경기도,고양시,목욕봉사,일산복음요양병원,2019-06-17 ~ 2019-09-16
1,경기도,고양시,생신잔치 공연봉사,착한요양원,2019-07-12 ~ 2019-10-11
2,경기도,고양시,어르신 급식 지원 및 말벗 봉사,행복가득요양원,2019-07-01 ~ 2019-08-31
3,경기도,고양시,*어르신 유튜브 크리에이터 양성교육 프로그램 활동보조 자원봉사자 모집!*,일산노인종합복지관,2019-07-23 ~ 2019-09-03
4,경기도,고양시,요양원 노력봉사자를 모집합니다.,나누리요양원,2019-08-01 ~ 2019-08-31
5,경기도,고양시,요양원 음악공연 봉사자를 모집합니다.,나누리요양원,2019-08-01 ~ 2019-08-31
6,경기도,고양시,2019년 8월 주엽어린이도서관 서가정리,고양시립주엽어린이도서관,2019-08-05 ~ 2019-09-01
7,경기도,고양시,2019 고양시 청소년 축제/드론체험 진행보조,사단법인국제문화예능포럼,2019-09-07 ~ 2019-09-07
8,경기도,고양시,"노래, 춤, 악기 등 공연봉사자 모집",하늘꿈요양원,2019-09-06 ~ 2019-09-14
9,경기도,고양시,초등 5학년 수학 심화 학습지도,하늘그림지역아동센터,2019-09-03 ~ 2019-12-03
0,경기도,고양시,서울특별시 고양정신병원 이미용 자원봉사자 모집,서울특별시립고양정신병원,2019-06-09 ~ 2019-09-08
1,경기도,고양시,서울특별시 고양정신병원 자원봉사자 모집,서울특별시립고양정신병원,2019-06-09 ~ 2019-09-08
2,경기도,고양시,숲속요양원 어르신들을 위한 이미용봉사자를 모집합니다~!!,숲속요양원,2019-08-21 ~ 2019-09-11
3,경기도,고양시,중학교 1학년 심화 수학학습지도 봉사자를 모집합니다.,하늘그림지역아동센터,2019-09-03 ~ 2019-12-03
4,경기도,고양시,자원봉사자를 모집합니다.,해누리요양센터,2019-07-01 ~ 2019-09-30
5,경기도,고양시,"밝은아침요양원 /  어르신돌봄,말벗,식사도움, 청소, 환경정리 ,등",밝은아침요양원,2019-07-21 ~ 2019-10-20
6,경기도,고양시,요양병원 어르신들 이미용 봉사를 해주실 봉사자분을 구합니다^^,의료법인두영의료재단정안요양병원,2019-06-18 ~ 2019-09-18
7,경기도,고양시,한국휠체어농구연맹/ 2019 KWBL 휠체어농구리그 보조,고양시자원봉사센터,2019-09-20 ~ 2019-09-20
8,경기도,고양시,한국휠체어농구연맹/ 2019 KWBL 휠체어농구리그 보조,고양시자원봉사센터,2019-09-21 ~ 2019-09-23
9,경기도,고양시,일산동구보건소 제 12회 치매극복의 날 기념행사 운영 보조 자원봉사자 모집,일산동구보건소치매안심센터,2019-09-19 ~ 2019-09-19
0,경기도,고양시,"나눔애요양원 / 악기연주 및 노래, 레크리에이션",나눔애요양원,2019-07-30 ~ 2019-09-30
1,경기도,고양시,"[일산, 호수공원] The 행복한도서관 도서 정리 & 환경정리",The행복한도서관,2019-08-24 ~ 2019-10-12
2,경기도,고양시,어르신활동을 보조하는 봉사,덕양요양원,2019-07-01 ~ 2019-09-30
3,경기도,고양시,고양경찰서 별관 1층 교통민원실 내방민원인 안내 봉사7-9월,고양경찰서,2019-07-01 ~ 2019-09-30
4,경기도,고양시,[일산시티요양원] 어르신 미용봉사자 모집,일산시티요양원,2019-07-01 ~ 2019-09-30
5,경기도,고양시,행신 어르신 활동보조 자원봉사자 모집[고등학생 이상],봄재가노인복지센터,2019-07-01 ~ 2019-09-30
6,경기도,고양시,★고등학생이상★[미소인요양원]어르신 생활편의 지원,미소인요양원,2019-07-01 ~ 2019-09-30
7,경기도,고양시,[고양시덕양행신장애인주간보호센터] 장애인 프로그램 보조,고양시덕양행신장애인주간보호센터,2019-07-15 ~ 2019-09-30
8,경기도,고양시,무료경로식당 식사제작 및 포장 자원봉사자 모집!,고양시원당종합사회복지관,2019-07-17 ~ 2019-09-30
9,경기도,고양시,요양원 노력봉사자를 모집합니다.,나누리요양원,2019-09-01 ~ 2019-09-30
0,경기도,고양시,요양원 음악공연봉사자를 모집합니다.,나누리요양원,2019-09-01 ~ 2019-09-30
1,경기도,고양시,문촌7종합사회복지관 / 기부식품 제공사업 식품수령 및 배분 봉사,고양시문촌7종합사회복지관,2019-08-23 ~ 2019-10-02
2,경기도,고양시,"어르신 활동및 식사보조, 청소보조, 동화책 읽어드리기",일산효노인전문요양원,2019-09-01 ~ 2019-09-30
3,경기도,고양시,*일산노인종합복지관 '저소득 독거 어르신 식사배달 봉사자'를 모집합니다!*,일산노인종합복지관,2019-07-08 ~ 2019-10-04
4,경기도,고양시,*일산노인종합복지관 경로식당 자원봉사자를 모집합니다!!*,일산노인종합복지관,2019-07-08 ~ 2019-10-04
5,경기도,고양시,함께하면아름다운세상/무료급식봉사,(사)장애인권익지원협회고양시지부,2019-07-27 ~ 2019-10-05
6,경기도,고양시,고양문화재단 아람미술관 전시장 안내보조 자원봉사,고양문화재단,2019-07-23 ~ 2019-10-06
7,경기도,고양시,"밝은아침요양원 /  어르신돌봄,말벗,환경정리,청소 ,환경정리,등",밝은아침요양원,2019-07-21 ~ 2019-10-20
8,경기도,고양시,"밝은아침요양원 /  어르신돌봄,말벗,청소,환경정리,등",밝은아침요양원,2019-07-22 ~ 2019-10-21
9,경기도,고양시,대덕작은도서관 오후봉사활동 [14:00-18:00],대덕작은도서관,2019-07-30 ~ 2019-10-30
0,경기도,고양시,[아름다운가게] 일산마두역점 - 매장운영 자원봉사 모집,아름다운가게일산마두역점,2019-08-01 ~ 2019-10-31
1,경기도,고양시,원흥 A+따뜻한요양원 어르신 생활편의 봉사,에이플러스따뜻한요양원,2019-08-01 ~ 2019-10-31
2,경기도,고양시,[행복한요양원 일산본점] 어르신 이동도움 및 활동보조 해주실 봉사자를 모집합니다.,행복한요양원일산본점,2019-08-01 ~ 2019-10-31
3,경기도,고양시,[행복한요양원 일산본점] 어르신 이미용서비스 제공해주실 봉사자를 모집합니다.,행복한요양원일산본점,2019-08-01 ~ 2019-10-31
4,경기도,고양시,[행복한요양원 일산본점] 어르신 서예 프로그램을 지도해주실 봉사자를 모집합니다.,행복한요양원일산본점,2019-08-01 ~ 2019-10-31
5,경기도,고양시,[행복한요양원 일산본점] 어르신들을 위한 공연활동을 해주실 봉사자를 모집합니다.,행복한요양원일산본점,2019-08-01 ~ 2019-10-31
6,경기도,고양시,"정신장애인 말벗 서비스 및 일상생활훈련 중 요리, 빨래, 정리 등 함께 하기",기쁨해,2019-08-04 ~ 2019-10-31
7,경기도,고양시,"장난감도서관 장난감 소독, 장난감 닦기, 환경 미화, 행정 업무 보조",고양시건강가정지원센터,2019-09-01 ~ 2019-10-31
8,경기도,고양시,"장난감도서관 장난감 소독, 장난감 닦기, 환경 미화, 행정 업무 보조",고양시건강가정지원센터,2019-09-01 ~ 2019-10-31
9,경기도,고양시,어르신들을 위한 공연 및 이벤트,일산요양원,2019-08-09 ~ 2019-11-08
0,경기도,고양시,어르신 말벗 및 환경정리 / 09:00~13:00,가좌호수요양원,2019-08-15 ~ 2019-11-15
1,경기도,고양시,어르신 말벗 및 환경정리 / 14:00~18:00,가좌호수요양원,2019-08-15 ~ 2019-11-15
2,경기도,고양시,"**어르신을 위한 스마트폰 활용안내 프로그램 ""스마트폰 꿀팁 저장소"" 자원봉사자 모집**",일산노인종합복지관,2019-09-06 ~ 2019-11-29
3,경기도,고양시,일산한울요양병원 사회복지프로그램 진행보조,일산한울요양병원,2019-08-28 ~ 2019-11-27
