,지역,시군구,제목,모집기관,봉사기간
0,경기도,과천시,[과천시육아종합지원센터] 센터 홍보데이 활동 보조 자원봉사자 모집,과천시육아종합지원센터,2019-08-22 ~ 2019-08-22
1,경기도,과천시,국립현대미술관 어린이미술관 전시안내 및 교구재 정리 봉사,국립현대미술관,2019-06-25 ~ 2019-08-25
2,경기도,과천시,[성인: 주말 오전2시간] 국립현대미술관 어린이미술관 전시안내 및 교구재 정리 봉사,국립현대미술관,2019-06-26 ~ 2019-08-25
3,경기도,과천시,행복한주말자원봉사 활동멘토 모집,과천시종합자원봉사센터,2019-08-24 ~ 2019-08-24
4,경기도,과천시,경기과천교육도서관 자료 정리,경기과천교육도서관,2019-08-01 ~ 2019-08-30
5,경기도,과천시,경기과천교육도서관 자료 정리,경기과천교육도서관,2019-08-01 ~ 2019-08-30
6,경기도,과천시,[과천시노인복지관] 도시락배달 봉사활동,과천시노인복지관,2019-07-29 ~ 2019-08-30
7,경기도,과천시,[과천시노인복지관] 물리치료실 업무보조,과천시노인복지관,2019-08-06 ~ 2019-08-31
8,경기도,과천시,평생학습축제 정신건강캠페인 활동보조 자원봉사자 모집,과천시정신건강복지센터,2019-09-06 ~ 2019-09-07
9,경기도,과천시,[과천시육아종합지원센터]제 4회 행복한 우리아이사진전 행사보조를 모집합니다.,과천시육아종합지원센터,2019-09-20 ~ 2019-09-21
0,경기도,과천시,경기과천교육도서관 자료 정리,경기과천교육도서관,2019-09-03 ~ 2019-09-27
1,경기도,과천시,경기과천교육도서관 자료 정리,경기과천교육도서관,2019-09-03 ~ 2019-09-27
2,경기도,과천시,경기과천교육도서관 자료 정리,경기과천교육도서관,2019-09-03 ~ 2019-09-27
3,경기도,과천시,경기과천교육도서관 자료 정리,경기과천교육도서관,2019-09-01 ~ 2019-09-29
4,경기도,과천시,경기과천교육도서관 자료 정리,경기과천교육도서관,2019-09-01 ~ 2019-09-29
5,경기도,과천시,행정자원봉사자 모집,과천시종합자원봉사센터,2019-08-05 ~ 2019-10-31
6,경기도,과천시,"재능있는 개인, 단체 자원봉사활동",과천시종합자원봉사센터,2019-08-01 ~ 2019-10-31
7,경기도,과천시,"[평일, 대학생&성인]과천시 청소년 전용공간 샛뜨락 자원봉사자 모집",과천시청소년상담복지센터,2019-08-13 ~ 2019-11-13
