,지역,시군구,제목,모집기관,봉사기간
0,경기도,동두천시,"2019 세이브더칠드런 이주아동 가족통합지원사업 프로그램 운영지원-동두천시 소속, 고등학생 이상",사)동두천시종합자원봉사센터,2019-09-28 ~ 2019-09-28
1,경기도,동두천시,"제15회 한미우호축제 행사보조-고등학생 이상, 동두천시소속 봉사자에 한함",사)동두천시종합자원봉사센터,2019-09-28 ~ 2019-09-28
2,경기도,동두천시,"경기북부 어린이박물관 어린이안전지도 및 시설환경정리 봉사활동-경기북부,고1이상~",경기북부어린이박물관,2019-07-01 ~ 2019-09-30
3,경기도,동두천시,"청암요양원 프로그램 활동보조 및 어르신 말벗, 마사지",청암요양원,2019-07-01 ~ 2019-09-30
4,경기도,동두천시,동두천효재활주간보호센터-어르신 말벗 및 프로그램 보조 등,동두천효재활주간보호센터,2019-07-01 ~ 2019-09-30
5,경기도,동두천시,"2019 별자리 과학축제 행사운영 보조-중3이상, 경기북부지역 봉사자에 한함",사회단체어수회,2019-10-12 ~ 2019-10-12
6,경기도,동두천시,"2019 별자리 과학축제 행사운영 보조-중3이상, 동두천시 봉사자에 한함",사회단체어수회,2019-10-12 ~ 2019-10-12
7,경기도,동두천시,동행노인주야간보호센터 어르신 미술치료 활동지도 및 활동보조,동행노인주야간보호센터,2019-07-15 ~ 2019-10-15
8,경기도,동두천시,동행노인주야간보호센터 공연활동,동행노인주야간보호센터,2019-07-15 ~ 2019-10-15
9,경기도,동두천시,동행노인주야간보호센터 노력봉사,동행노인주야간보호센터,2019-07-15 ~ 2019-10-15
0,경기도,동두천시,"2019 세이브더칠드런 이주아동 가족통합지원사업 프로그램 운영지원-동두천시 소속, 고등학생 이상",사)동두천시종합자원봉사센터,2019-08-10 ~ 2019-10-26
1,경기도,동두천시,"2019 세이브더칠드런 이주아동 가족통합지원사업 프로그램 운영지원-동두천시 소속, 고등학생 이상",사)동두천시종합자원봉사센터,2019-10-26 ~ 2019-10-26
2,경기도,동두천시,"세무서 방문민원 안내-오전,대학생 이상 성인, 일주일 이상 활동 가능한 봉사자",포천세무서 동두천지서 민원봉사실,2019-08-12 ~ 2019-11-08
3,경기도,동두천시,"세무서 방문민원 안내-오후,대학생 이상 성인, 일주일 이상 활동 가능한 봉사자",포천세무서 동두천지서 민원봉사실,2019-08-12 ~ 2019-11-08
4,경기도,동두천시,효원 노인주야간 보호센터 어르신을 위한 프로그램 보조 및 정서지원,효원노인주야간보호센터,2019-08-07 ~ 2019-11-07
5,경기도,동두천시,"2019 세이브더칠드런 이주아동 가족통합지원사업 프로그램 운영지원-동두천시 소속, 고등학생 이상",사)동두천시종합자원봉사센터,2019-11-02 ~ 2019-12-07
