,지역,시군구,제목,모집기관,봉사기간
0,경기도,파주시,파주사랑 환경정화 자원봉사자 모집,파주시자원봉사센터,2019-08-24 ~ 2019-08-24
1,경기도,파주시,"어르신 활동보조 및 프로그램보조, 주변환경정리",수호천사노인전문요양원,2019-06-05 ~ 2019-08-31
2,경기도,파주시,디어프렌드_통일한국 세계 평화의 중심에 서다_평화파우치를 통한 SNS홍보캠페인,경기도 파주시,2019-08-05 ~ 2019-08-28
3,경기도,파주시,이미용 자원봉사자,파주개성요양병원,2019-08-30 ~ 2019-08-30
4,경기도,파주시,장애인 식사보조 및 주거환경 정화,파주자유로장애인자립생활센터,2019-07-01 ~ 2019-08-30
5,경기도,파주시,장애인돕기,에덴하우스,2019-07-15 ~ 2019-08-30
6,경기도,파주시,[파주시노인복지관] 이용중단자 관리 보조 봉사자 모집,파주시노인복지관,2019-08-05 ~ 2019-08-30
7,경기도,파주시,공연 봉사나 재능 기부,아도니스너싱홈,2019-06-05 ~ 2019-08-31
8,경기도,파주시,장애인 이동지원 및 식용달팽이 작업장 일손돕기,파주자유로장애인자립생활센터,2019-07-01 ~ 2019-08-31
9,경기도,파주시,[파주시노인복지관] 경로식당 봉사자,파주시노인복지관,2019-08-01 ~ 2019-08-31
0,경기도,파주시,[민들레병원] 재원어르신 활동보조 및 P/G 도우미,민들레병원,2019-08-01 ~ 2019-08-31
1,경기도,파주시,늘푸른자활의집 8월 평일 오후 자원봉사자를 모집합니다.,늘푸른자활의집,2019-08-13 ~ 2019-08-31
2,경기도,파주시,늘푸른자활의집 8월 평일 오전 자원봉사자를 모집합니다.,늘푸른자활의집,2019-08-13 ~ 2019-08-31
3,경기도,파주시,"운정데이케어센터 어르신 활동보조, 시설 내 환경미화, 사무보조",운정재가복지센터,2019-08-01 ~ 2019-08-31
4,경기도,파주시,【법원읍 해바라기축제】 행사지원 봉사자를 모집합니다.,경기도 파주시,2019-09-06 ~ 2019-09-08
5,경기도,파주시,금촌지구대 9월『With You 탄력순찰의 날』캠페인  자원봉사자 모집,파주경찰서 금촌지구대,2019-09-05 ~ 2019-09-05
6,경기도,파주시,【법원읍 해바라기축제】 행사지원 봉사자를 모집합니다.,경기도 파주시,2019-09-06 ~ 2019-09-08
7,경기도,파주시,어르신 프로그램 진행 및 보조,운정해솔요양센터,2019-06-11 ~ 2019-09-10
8,경기도,파주시,문산도서관 서가정리,문산도서관,2019-07-16 ~ 2019-09-15
9,경기도,파주시,문산도서관 서가정리,문산도서관,2019-07-16 ~ 2019-09-15
0,경기도,파주시,요양원 어르신 이미용 봉사모집 - 날짜조율 가능합니다^^,교하참사랑요양원,2019-06-18 ~ 2019-09-17
1,경기도,파주시,입소 어르신 돌봄,금빛사랑채어르신주야간보호센터,2019-06-21 ~ 2019-09-20
2,경기도,파주시,어르신 돌봄 및 생활지원,금빛사랑채어르신주야간보호센터,2019-06-21 ~ 2019-09-20
3,경기도,파주시,목도리뜨기 봉사활동,사단법인 한국손뜨개협회,2019-07-01 ~ 2019-09-30
4,경기도,파주시,교육 및 급식보조,사회적협동조합굳잡스,2019-07-01 ~ 2019-09-30
5,경기도,파주시,"어르신 말벗, 식사보조, 환경정리 및 운동",심청이,2019-07-14 ~ 2019-10-13
6,경기도,파주시,어르신들을 위한 다양한 공연 활동,심청이,2019-07-14 ~ 2019-10-13
7,경기도,파주시,"어르신 말벗, 식사보조, 환경정리 및 운동",심청이,2019-07-13 ~ 2019-10-13
8,경기도,파주시,어르신들을 위한 다양한 공연 활동,심청이,2019-07-13 ~ 2019-10-13
9,경기도,파주시,나도한석봉 서예교실,파주데이케어센터,2019-07-23 ~ 2019-10-23
0,경기도,파주시,민요교실,파주데이케어센터,2019-07-23 ~ 2019-10-23
1,경기도,파주시,학습지도 및 환경정비,솔로몬지역아동센터,2019-08-01 ~ 2019-10-31
2,경기도,파주시,"어르신 활동보조 및 프로그램보조, 주변환경정리",수호천사노인전문요양원,2019-08-01 ~ 2019-10-31
3,경기도,파주시,"[파주 문산 진사랑요양원][고교생 이상 활동보조,환경정리,어르신도우미 자원봉사]",진사랑요양원,2019-08-01 ~ 2019-10-31
4,경기도,파주시,"[파주문산 진사랑요양원][노인 위문공연,문화행사 자원봉사자 초빙]",진사랑요양원,2019-08-07 ~ 2019-10-31
5,경기도,파주시,학습 지도 및 환경 정비,선한꿈지역아동센터,2019-09-02 ~ 2019-11-29
