,지역,시군구,제목,모집기관,봉사기간
0,경기도,평택시,"청소년,성인)통합건강증진사업 보건사업 홍보활동",평택보건소,2019-08-23 ~ 2019-08-23
1,경기도,평택시,성인)송탄푸드뱅크 기부식품 포장 및 업무보조,송탄푸드뱅크,2019-07-01 ~ 2019-08-30
2,경기도,평택시,청소년)송탄동 나눔장터 운영,송탄동주민자치센터,2019-08-12 ~ 2019-08-23
3,경기도,평택시,성인)1박2일 가족 워크숍 활동보조**내용꼭읽어주세요**,평택시자원봉사센터,2019-08-31 ~ 2019-09-01
4,경기도,평택시,청소년)청소년선도 및 민경합동 도보순찰 캠페인,평택시자원봉사센터,2019-08-28 ~ 2019-08-28
5,경기도,평택시,성인)제4회 생생골목축제 두레랑놀장 행사보조,평택시자원봉사센터,2019-08-30 ~ 2019-08-30
6,경기도,평택시,청소년)찾아가는 음악회 행사보조*중복신청금지*,팽성읍주민자치센터,2019-08-30 ~ 2019-08-30
7,경기도,평택시,청소년)찾아가는 음악회 행사 보조*중복신청금지*,팽성읍주민자치센터,2019-08-30 ~ 2019-08-30
8,경기도,평택시,고등학생이상)거리 헌혈캠페인 활동,경기도적십자혈액원 평택역헌혈센터,2019-07-01 ~ 2019-08-31
9,경기도,평택시,"성인) 치매, 중풍 어르신 프로그램 보조 및 말벗 활동",동부케어,2019-08-01 ~ 2019-08-31
0,경기도,평택시,"청소년,성인) 평일 어르신 일상생활보조 자원봉사 모집합니다.",평택중앙재가주야간보호센터,2019-08-02 ~ 2019-08-30
1,경기도,평택시,성인)평택시와 함께하는 삼성나눔워킹 페스티벌 행사,경기도 평택시,2019-09-21 ~ 2019-09-21
2,경기도,평택시,"청소년,성인)2019년 제14회 대한민국 무형문화재 축제 행사보조 모집",사)평택농악보존회,2019-09-21 ~ 2019-09-21
3,경기도,평택시,고등학생이상)통합건강증진사업 관련 워크온 시민홍보 활동,평택보건소,2019-07-01 ~ 2019-09-30
4,경기도,평택시,고등학생이상)통합건강증진사업 관련 워크온 시민홍보 활동,평택보건소,2019-07-01 ~ 2019-09-30
5,경기도,평택시,"청소년,성인)장애인&비장애인 사랑나눔 손뜨개활동",평택시자원봉사센터,2019-07-23 ~ 2019-09-24
6,경기도,평택시,성인) 송탄노인복지센터 밑반찬조리업무보조,송탄노인복지센터,2019-07-04 ~ 2019-09-26
7,경기도,평택시,청소년)백혈병소아암 어린이돕기 캠페인 및 환경정화활동,사)백혈병소아암후원회,2019-09-01 ~ 2019-09-28
8,경기도,평택시,"청소년,성인) 평일 어르신 일상생활보조 자원봉사 모집합니다.",평택중앙재가주야간보호센터,2019-09-01 ~ 2019-09-30
9,경기도,평택시,"청소년,성인) 토요일 어르신 일상생활보조 자원봉사 모집합니다.",평택중앙재가주야간보호센터,2019-09-07 ~ 2019-09-28
0,경기도,평택시,성인) 꿈꾸는숲 지역아동센터 수학/과학 자원봉사 선생님 모집,꿈꾸는숲지역아동센터,2019-07-03 ~ 2019-09-30
1,경기도,평택시,성인)특기적성강사,LH행복꿈터누림지역아동센터,2019-08-26 ~ 2019-09-30
2,경기도,평택시,성인)팽성노인복지관 학습멘토링 정기 자원봉사자 모집,팽성노인복지관,2019-09-02 ~ 2019-11-29
