,지역,시군구,제목,모집기관,봉사기간
0,경상남도,밀양시,초중등 학습지도,혜인지역아동센터,2019-07-25 ~ 2019-08-26
1,경상남도,밀양시,책 읽어주기 및 놀아주기,초동작은도서관,2019-07-29 ~ 2019-08-27
2,경상남도,밀양시,어르신 활동 보조,우리들노인전문요양원,2019-06-01 ~ 2019-08-31
3,경상남도,밀양시,자원봉사모집합니다.,예림지역아동센터,2019-07-22 ~ 2019-08-31
4,경상남도,밀양시,평강노인주간보호센터 환경정리및 어르신 말벗,평강노인주간보호센터,2019-07-09 ~ 2019-09-07
5,경상남도,밀양시,"도서관 서가정리, 도서관 주변 환경정비 및 실내청소",밀양시립도서관,2019-07-01 ~ 2019-09-30
6,경상남도,밀양시,"도서관 서가정리, 도서관 주변 환경정비 및 실내청소",밀양시립도서관,2019-07-01 ~ 2019-09-30
7,경상남도,밀양시,아동 학습지원 및 센터 환경정리정돈,참조은지역아동센터,2019-07-01 ~ 2019-09-30
8,경상남도,밀양시,"입소어르신 주변청소 및 식사보조, 말벗, 프로그램보조, 산책도움등",효심마을,2019-07-01 ~ 2019-09-30
9,경상남도,밀양시,재능봉사,효심마을,2019-07-01 ~ 2019-09-30
0,경상남도,밀양시,어르신들에게 청춘 충전!,효종노인복지센터,2019-07-01 ~ 2019-09-30
1,경상남도,밀양시,평강노인주간보호센터 실내외 환경정리 및 어르신 말벗,평강노인주간보호센터,2019-07-10 ~ 2019-10-09
2,경상남도,밀양시,청소년문화의집 환경정화 및 정리정돈,밀양시청소년문화의집,2019-07-11 ~ 2019-10-10
3,경상남도,밀양시,아랑무료급식소 배식 및 설겆이 등 뒷정리,아랑무료급식소,2019-07-15 ~ 2019-10-14
4,경상남도,밀양시,밀양데이케어센터 어르신신체활동 정서지원 말벗봉사,밀양데이케어센터,2019-07-18 ~ 2019-10-17
5,경상남도,밀양시,밀양경찰서 민원안내 도우미,밀양경찰서,2019-08-01 ~ 2019-10-31
6,경상남도,밀양시,하남읍문화복지센터 업무지원,하남읍문화복지센터,2019-08-01 ~ 2019-10-31
