,지역,시군구,제목,모집기관,봉사기간
0,경상북도,울진군,공동육아나눔터 동화구연 및 풍선아트 봉사활동,울진군다문화지원센터,2019-09-02 ~ 2019-10-31
1,경상북도,울진군,공동육아나눔터 풍선아트 강의,울진군다문화지원센터,2019-09-02 ~ 2019-10-31
2,경상북도,울진군,공동육아나눔터 종이접기 강의,울진군다문화지원센터,2019-09-02 ~ 2019-10-31
3,경상북도,울진군,공동육아나눔터 수업지원,울진군다문화지원센터,2019-09-02 ~ 2019-10-31
4,경상북도,울진군,어르신 식사도움,울진군노인요양원,2019-06-10 ~ 2019-09-09
5,경상북도,울진군,자원봉사활동,죽변도서관,2019-07-01 ~ 2019-09-30
6,경상북도,울진군,다문화가정자녀 학습지도,울진군다문화지원센터,2019-08-01 ~ 2019-10-31
7,경상북도,울진군,다문화가정 반찬나눔,울진군다문화지원센터,2019-08-01 ~ 2019-10-31
8,경상북도,울진군,공동육아나눔터 재능기부,울진군다문화지원센터,2019-08-05 ~ 2019-10-31
9,경상북도,울진군,공동육아나눔터 공간환경정리,울진군다문화지원센터,2019-08-05 ~ 2019-10-31
