,지역,시군구,제목,모집기관,봉사기간
0,광주광역시,광산구,연화노인주간보호센터 - 말벗. 이동보조. 환경정화. 식사보조. 프로그램보조등 -,연화노인주간보호센터,2019-05-22 ~ 2019-08-22
1,광주광역시,광산구,"행복누리주간보호센터 말벗 및 식사보조, 프로그램 진행 자원봉사",행복누리주간보호센터,2019-06-03 ~ 2019-08-30
2,광주광역시,광산구,서송지역아동센터 아동 학습지도 및 환경정리 자원봉사,서송지역아동센터,2019-06-01 ~ 2019-08-31
3,광주광역시,광산구,디어프렌드 평화파우치를 통한 sns 홍보 캠페인,광주광역시 광산구,2019-08-10 ~ 2019-08-24
4,광주광역시,광산구,2019 광산구 i-League 3회차 봉사,광산구체육회,2019-08-24 ~ 2019-08-24
5,광주광역시,광산구,행복누리주간보호센터 프로그램 강사 모집,행복누리주간보호센터,2019-06-03 ~ 2019-08-30
6,광주광역시,광산구,우제작은도서관 도서관리 및 정화활동 자원봉사,우제작은도서관,2019-06-01 ~ 2019-08-30
7,광주광역시,광산구,"광주시립제1요양병원 [어르신 안마 및 말벗, 프로그램 보조 등]",광주시립제1요양병원,2019-08-01 ~ 2019-08-31
8,광주광역시,광산구,"광주시립제1요양병원 [어르신 안마 및 말벗, 프로그램 보조 등]",광주시립제1요양병원,2019-08-01 ~ 2019-08-31
9,광주광역시,광산구,"광주시립제1요양병원 [어르신 안마 및 말벗, 식사 보조 등]",광주시립제1요양병원,2019-08-12 ~ 2019-08-30
0,광주광역시,광산구,좋은직업재활센터 임가공 보조 자원봉사활동,좋은직업재활센터,2019-08-05 ~ 2019-08-30
1,광주광역시,광산구,"첨단겨자씨 문화센터 내외 환경정리 및 강의실 교구정리, 청소와 안내 등",첨단겨자씨문화센터,2019-06-01 ~ 2019-08-31
2,광주광역시,광산구,동산아파트 환경정화활동,동산아파트관리사무소,2019-07-17 ~ 2019-08-31
3,광주광역시,광산구,"[원예복지협동조합 - 원예힐링프로그램을 위한 원예가꾸기 및 나무, 화분 정리]",원예복지협동조합,2019-08-01 ~ 2019-08-31
4,광주광역시,광산구,은혜지역아동센터 초등학생 방과 후 학습지도,은혜지역아동센터,2019-07-01 ~ 2019-08-31
5,광주광역시,광산구,"중학생,고등학생 대상 -  광주송정도서관 도서 정리",광주송정도서관,2019-08-01 ~ 2019-08-31
6,광주광역시,광산구,이.미용 봉사자 모집합니다.,즐거운주간보호센터,2019-07-10 ~ 2019-08-31
7,광주광역시,광산구,사랑나눔작은도서관 사서 업무 및 아이들 돌봄 활동,사랑나눔작은도서관,2019-08-01 ~ 2019-08-31
8,광주광역시,광산구,플레이드림오케스트라 사무보조. 연주행사보조,사단법인플레이드림,2019-06-10 ~ 2019-09-09
9,광주광역시,광산구,청소년 역사문화탐방 캠프지도자 모집,(사)미래인재UNIV,2019-09-29 ~ 2019-11-16
0,광주광역시,광산구,어르신들을 위한 재능기부,즐거운주간보호센터,2019-07-01 ~ 2019-09-21
1,광주광역시,광산구,한국학호남진흥원 열린자료실 도서정리 및 목록작성,(재)한국학호남진흥원,2019-07-08 ~ 2019-09-30
2,광주광역시,광산구,요양병원 어르신 정서지원 및 환경정화활동,자연요양병원,2019-07-01 ~ 2019-09-30
3,광주광역시,광산구,장애인보호작업장 작업활동 보조,광산구장애인보호작업장,2019-07-01 ~ 2019-09-30
4,광주광역시,광산구,시설프로그램 및 임가공사업 보조 자원봉사,좋은직업재활센터,2019-07-01 ~ 2019-09-30
5,광주광역시,광산구,호연실버홈 생활편의지원 자원봉사 활동,호연실버홈,2019-07-01 ~ 2019-09-30
6,광주광역시,광산구,즐거운주간보호센터 말벗 및 정화활동,즐거운주간보호센터,2019-08-19 ~ 2019-09-30
7,광주광역시,광산구,아동지킴이,신가동캠프,2019-08-09 ~ 2019-11-08
