,지역,시군구,제목,모집기관,봉사기간
0,대구광역시,달성군,8월 달성군 청소년 핸즈온 자원봉사 프로그램,달성군자원봉사센터,2019-08-24 ~ 2019-08-24
1,대구광역시,달성군,"2019, 달성핸즈비어페스티벌 대학생 자원봉사자 모집",달성군청,2019-08-31 ~ 2019-09-01
2,대구광역시,달성군,유가읍작은도서관 사서업무지원 대학생 자원봉사자 모집,달성군자원봉사센터,2019-08-01 ~ 2019-08-30
3,대구광역시,달성군,유가읍작은도서관 사서업무지원 대학생 자원봉사자 모집,달성군자원봉사센터,2019-08-01 ~ 2019-08-30
4,대구광역시,달성군,달성습지생태학습관 자원봉사자 모집,달성군자원봉사센터,2019-09-07 ~ 2019-12-06
5,대구광역시,달성군,요양원활동_어르신정서지원 및 재능봉사,대구광역시 달성군,2019-08-24 ~ 2019-08-24
6,대구광역시,달성군,어르신행복교실 컴퓨터 및 스마트폰 교육 자원봉사자 모집,대구광역시,2019-09-03 ~ 2019-12-20
7,대구광역시,달성군,2019 대구청년주간 자원봉사자 모집,대구광역시,2019-09-06 ~ 2019-09-08
8,대구광역시,달성군,2019 세계자살예방의 날 기념 생명사랑 시민강좌 자원봉사자 모집,대구광역시,2019-09-10 ~ 2019-09-10
9,대구광역시,달성군,"자료실 서가 정리, 행사지원",대구광역시립달성도서관,2019-07-01 ~ 2019-09-30
0,대구광역시,달성군,2019년 대구재능자원봉사단 신규 모집,대구광역시,2019-07-01 ~ 2019-09-30
1,대구광역시,달성군,★강문화관 디아크 청소년ㆍ대학생 자원봉사자 모집★,(주)워터웨이플러스 강문화관 디아크,2019-09-01 ~ 2019-09-29
2,대구광역시,달성군,지역아동센터 방과후 아동의 학습지도 및 놀이지도 봉사,포산홈스쿨지역아동센터,2019-07-01 ~ 2019-09-30
3,대구광역시,달성군,아동학습지도 및 활동 도움,비젼지역아동센터,2019-07-01 ~ 2019-09-30
4,대구광역시,달성군,달성군장애인복지관 이용자 나들이 행사지원 자원봉사자 모집,달성군장애인복지관,2019-10-03 ~ 2019-10-04
5,대구광역시,달성군,비전도서관에서 업무지원 봉사자를 모집합니다,비전도서관,2019-08-01 ~ 2019-10-31
