,지역,시군구,제목,모집기관,봉사기간
0,대구광역시,서구,오픈더퓨처 - 한부모가정 어린이 후원 - 수제비누 만들기,오픈더퓨처 대구사상,2019-08-24 ~ 2019-08-24
1,대구광역시,서구,오픈더퓨처 - 한부모가정 어린이후원 - 수제 비누 만들기,오픈더퓨처 대구사상,2019-08-25 ~ 2019-08-25
2,대구광역시,서구,어르신행복교실 컴퓨터 및 스마트폰 교육 자원봉사자 모집,대구광역시,2019-09-03 ~ 2019-12-20
3,대구광역시,서구,2019 대구 청년 채용 박람회 자원봉사자를 모집합니다.,대구광역시 서구,2019-08-29 ~ 2019-08-29
4,대구광역시,서구,서구노인복지관 실버식당 급식지원,서구노인복지관,2019-08-19 ~ 2019-08-30
5,대구광역시,서구,책놀이터 관리,대구시청소년문화의집 꼼지락발전소,2019-08-09 ~ 2019-10-31
6,대구광역시,서구,서구장애인주간보호센터 놀이활동프로그램 진행하실 자원봉사자 모집,서구장애인주간보호센터,2019-07-01 ~ 2019-09-30
7,대구광역시,서구,기초학습 봉사자를 모집합니다!,베스트지역아동센터,2019-07-22 ~ 2019-10-22
8,대구광역시,서구,인재지역아동센터 봉사자를 모집합니다.,인재지역아동센터,2019-08-15 ~ 2019-09-30
9,대구광역시,서구,2019 대구청년주간 자원봉사자 모집,대구광역시,2019-09-06 ~ 2019-09-08
0,대구광역시,서구,2019 세계자살예방의 날 기념 생명사랑 시민강좌 자원봉사자 모집,대구광역시,2019-09-10 ~ 2019-09-10
1,대구광역시,서구,둥지지역아동센터 자원봉사자 모집,둥지지역아동센터,2019-06-10 ~ 2019-09-06
2,대구광역시,서구,서구지역아동센터연합회 체육대회 행사지원 자원봉사자 모집합니다.,대구광역시 서구,2019-09-07 ~ 2019-09-07
3,대구광역시,서구,2019년 대구재능자원봉사단 신규 모집,대구광역시,2019-07-01 ~ 2019-09-30
4,대구광역시,서구,스쿨지역아동센터 초등학생 학습지도 및 멘토링 봉사자 모집,스쿨지역아동센터,2019-07-01 ~ 2019-09-30
5,대구광역시,서구,학습지도 및 일상관리,가나교육랜드지역아동센터,2019-07-02 ~ 2019-10-01
6,대구광역시,서구,영어교육 멘토링을 모집합니다!,베스트지역아동센터,2019-07-22 ~ 2019-10-22
7,대구광역시,서구,작은도서관 지킴이,옹달샘작은도서관,2019-07-01 ~ 2019-09-30
8,대구광역시,서구,서구지역 좋은인연주간보호센터에서 자원봉사자를 모집합니다,좋은인연노인요양복지센터,2019-07-08 ~ 2019-10-05
9,대구광역시,서구,서구치매안심센터 인지저하 어르신 안내 및 프로그램 운영보조 봉사자 모집합니다.,대구광역시 서구,2019-07-11 ~ 2019-10-10
0,대구광역시,서구,푸른꿈지역아동센터 자원봉사자 모집합니다.,푸른꿈지역아동센터,2019-07-13 ~ 2019-10-12
1,대구광역시,서구,서구종합사회복지관 재가노인급식서비스 자원봉사자를 모집합니다.,서구종합사회복지관,2019-07-24 ~ 2019-10-24
2,대구광역시,서구,은하수지역아동센터 자원봉사자 모집,은하수지역아동센터,2019-08-01 ~ 2019-10-31
3,대구광역시,서구,FM천사예술단에서 자원봉사자를 모집합니다.,한국재활음악치료학회,2019-08-01 ~ 2019-10-31
4,대구광역시,서구,성덕노인복지센터 자원봉사자 모집,성덕노인복지센터,2019-08-01 ~ 2019-10-31
5,대구광역시,서구,멘토링,비산지역아동센터,2019-08-12 ~ 2019-11-12
6,대구광역시,서구,방과 후 학습지도,가나교육랜드지역아동센터,2019-08-26 ~ 2019-11-25
