,지역,시군구,제목,모집기관,봉사기간
0,부산광역시,북구,부산은빛요양병원-이미용봉사,부산광역시 북구,2019-05-20 ~ 2019-08-20
1,부산광역시,북구,"「제9회 TPO 총회 」국제행사 보조 자원봉사자를 모집합니다. ★이메일 접수 신청, 아래사항 참고 후 신청바람★",부산광역시,2019-09-24 ~ 2019-09-24
2,부산광역시,북구,화명 대천천 환경정화 활동,부산광역시 북구,2019-08-29 ~ 2019-08-29
3,부산광역시,북구,디어프렌드_통일한국 세계 평화의 중심에 서다_평화파우치를 통한 sns홍보캠페인,부산광역시 북구,2019-08-03 ~ 2019-08-28
4,부산광역시,북구,부산어촌민속관 특별전 강연회 행사보조,부산어촌민속관,2019-08-27 ~ 2019-08-27
5,부산광역시,북구,이그나이트 V-Korea X 부산 행사지원 대학생 자원봉사자 모집,부산광역시,2019-08-29 ~ 2019-08-29
6,부산광역시,북구,부산화명수목원 홍보활동,화명수목원,2019-08-19 ~ 2019-08-31
7,부산광역시,북구,실버벨 노인복지관 경로식당 자원봉사자 모집,실버벨노인종합복지관,2019-08-01 ~ 2019-08-31
8,부산광역시,북구,장선종합사회복지관-가정방문 학습지도,장선종합사회복지관,2019-06-19 ~ 2019-09-19
9,부산광역시,북구,열린지역아동센터-초등학생 교과학습지도,열린지역아동센터,2019-06-24 ~ 2019-09-24
0,부산광역시,북구,북구 명칭변경 추진 홍보활동[구포3동 행정복지센터],구포3동주민센터,2019-07-29 ~ 2019-09-30
1,부산광역시,북구,북구 명칭변경 추진 홍보활동[구포3동 행정복지센터],구포3동주민센터,2019-07-29 ~ 2019-09-30
2,부산광역시,북구,북구 명칭변경 추진 홍보활동[화명3동 행정복지센터],화명3동주민센터,2019-07-29 ~ 2019-09-30
3,부산광역시,북구,북구 명칭변경 추진 홍보활동[덕천3동 행정복지센터],덕천3동주민센터,2019-07-29 ~ 2019-09-30
4,부산광역시,북구,북구 명칭변경 추진 홍보활동[덕천3동 행정복지센터],덕천3동주민센터,2019-07-29 ~ 2019-09-30
5,부산광역시,북구,북구 명칭변경 추진 홍보활동[화명3동 행정복지센터],화명3동주민센터,2019-07-29 ~ 2019-09-30
6,부산광역시,북구,꿈터지역동센터-아동학습지도 및 놀이지도,꿈터지역아동센터,2019-07-12 ~ 2019-10-11
7,부산광역시,북구,북구 명칭변경 추진 홍보활동[만덕1동 행정복지센터],만덕1동주민센터,2019-07-29 ~ 2019-10-28
8,부산광역시,북구,북구 명칭변경 추진 홍보활동[만덕1동 행정복지센터],만덕1동주민센터,2019-07-29 ~ 2019-10-28
9,부산광역시,북구,북구 명칭변경 추진 홍보활동[화명2동 행정복지센터],화명2동주민센터,2019-08-05 ~ 2019-10-31
0,부산광역시,북구,북구 명칭변경 추진 홍보활동[화명2동 행정복지센터],화명2동주민센터,2019-08-05 ~ 2019-10-31
1,부산광역시,북구,북구 명칭변경 추진 홍보활동[구포2동 행정복지센터],구포2동주민센터,2019-08-06 ~ 2019-10-31
2,부산광역시,북구,북구 명칭변경 추진 홍보활동[구포2동 행정복지센터],구포2동주민센터,2019-08-06 ~ 2019-10-31
3,부산광역시,북구,북구 명칭변경 추진 홍보활동[구포1동 행정복지센터],구포1동주민센터,2019-08-01 ~ 2019-10-31
4,부산광역시,북구,북구 명칭변경 추진 홍보활동[구포1동 행정복지센터],구포1동주민센터,2019-08-01 ~ 2019-10-31
5,부산광역시,북구,북구 명칭변경 추진 홍보활동[금곡동 행정복지센터],금곡동주민센터,2019-08-01 ~ 2019-10-31
6,부산광역시,북구,북구 명칭변경 추진 홍보활동[금곡동 행정복지센터],금곡동주민센터,2019-08-01 ~ 2019-10-31
7,부산광역시,북구,북구 명칭변경 추진 홍보활동[화명1동 행정복지센터],화명1동주민센터,2019-08-01 ~ 2019-10-31
8,부산광역시,북구,북구 명칭변경 추진 홍보활동[화명1동 행정복지센터],화명1동주민센터,2019-08-01 ~ 2019-10-31
9,부산광역시,북구,북구 명칭변경 추진 홍보활동[덕천1동 행정복지센터],덕천1동행정복지센터,2019-08-01 ~ 2019-10-31
0,부산광역시,북구,북구 명칭변경 추진 홍보활동[덕천1동 행정복지센터],덕천1동행정복지센터,2019-08-01 ~ 2019-10-31
1,부산광역시,북구,북구 명칭변경 추진 홍보활동[덕천2동 행정복지센터],덕천2동주민센터,2019-08-01 ~ 2019-10-31
2,부산광역시,북구,북구 명칭변경 추진 홍보활동[덕천2동 행정복지센터],덕천2동주민센터,2019-08-01 ~ 2019-10-31
3,부산광역시,북구,북구 명칭변경 추진 홍보활동[만덕3동 행정복지센터],만덕3동주민센터,2019-08-01 ~ 2019-10-31
4,부산광역시,북구,북구 명칭변경 추진 홍보활동[만덕3동 행정복지센터],만덕3동주민센터,2019-08-01 ~ 2019-10-31
5,부산광역시,북구,북구 명칭변경 추진 홍보활동[만덕2동 행정복지센터],만덕2동주민센터,2019-08-01 ~ 2019-10-31
6,부산광역시,북구,북구 명칭변경 추진 홍보활동[만덕2동 행정복지센터],만덕2동주민센터,2019-08-01 ~ 2019-10-31
7,부산광역시,북구,북구문화빙상센터 봉사활동,문화빙상센터,2019-09-03 ~ 2019-11-07
