,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,강남구,[강남운전면허시험장] 퍼스널 모빌리티 교통안전 캠페인,도로교통공단 강남운전면허시험장,2019-08-21 ~ 2019-08-21
1,서울특별시,강남구,[강남구여성능력개발센터] 부모와 자녀가 함께하는 성폭력·가정폭력 예방 캠페인,강남구여성능력개발센터,2019-08-22 ~ 2019-08-22
2,서울특별시,강남구,강남구 지역 모니터링,Good Job 자립생활센터,2019-08-17 ~ 2019-08-31
3,서울특별시,강남구,발달장애인 청소년 여름 계절학교 예체능 학습지원 및 야외활동지원,강남구장애인가족지원센터,2019-08-05 ~ 2019-08-23
4,서울특별시,강남구,발달장애인 청소년 여름 계절학교 예체능 재능기부,강남구장애인가족지원센터,2019-08-05 ~ 2019-08-23
5,서울특별시,강남구,강남구 자립생활지도제작 보조,사단법인해냄복지회,2019-07-25 ~ 2019-09-26
6,서울특별시,강남구,캠프 물품 정리 및 자료 정리_한국실명예방재단,강남구자원봉사센터,2019-08-23 ~ 2019-08-23
7,서울특별시,강남구,'독서실 에티켓 지키기 캠페인' 함께할 봉사자 모집합니다.,일원청소년독서실,2019-08-24 ~ 2019-08-24
8,서울특별시,강남구,[강남구여성능력개발센터] 직업상담 재능기부 자원봉사자 모집,강남구여성능력개발센터,2019-05-23 ~ 2019-08-23
9,서울특별시,강남구,[일회성봉사]강남시니어플라자 경로식당 배식 및 청소 봉사자 모집,강남시니어플라자,2019-08-14 ~ 2019-08-23
0,서울특별시,강남구,안녕하세요 인사나눔 캠페인,강남구자원봉사센터 역삼1동 캠프,2019-08-24 ~ 2019-08-24
1,서울특별시,강남구,[메이크어위시 한국지부] 4분기 단기봉사단 모집,한국메이크어위시재단,2019-09-21 ~ 2019-12-07
2,서울특별시,강남구,[대한사회복지회] 바자회 관련 홍보 전단지 배포,대한사회복지회,2019-08-21 ~ 2019-08-26
3,서울특별시,강남구,[대한사회복지회] 후원물품 창고 정리,대한사회복지회,2019-08-26 ~ 2019-08-26
4,서울특별시,강남구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
5,서울특별시,강남구,[성인정기봉사]강남시니어플라자 HAPI레스토랑 배식봉사,강남시니어플라자,2019-05-27 ~ 2019-08-27
6,서울특별시,강남구,[종일] 강남구치매안심센터 신사동 조기검진 순서안내봉사자 모집,강남구치매안심센터,2019-08-29 ~ 2019-08-29
7,서울특별시,강남구,[강남운전면허시험장] 퍼스널 모빌리티 교통안전 캠페인,도로교통공단 강남운전면허시험장,2019-08-28 ~ 2019-08-28
8,서울특별시,강남구,[강남논현데이케어센터] 2019년 '나눔으로 빚는 한가위'행사 자원봉사자 모집,강남논현데이케어센터,2019-09-03 ~ 2019-09-03
9,서울특별시,강남구,[종일] 강남구치매안심센터 세곡동 조기검진 순서안내봉사자 모집,강남구치매안심센터,2019-08-23 ~ 2019-08-30
0,서울특별시,강남구,[오전] 강남구치매안심센터 세곡동 조기검진 순서안내봉사자 모집,강남구치매안심센터,2019-08-23 ~ 2019-08-30
1,서울특별시,강남구,"아름다운가게 역삼점 수, 목 금, 토요일 봉사자 모집!",아름다운가게 역삼점,2019-05-30 ~ 2019-08-29
2,서울특별시,강남구,입소 어르신들의 발마사지 서비스 제공  재능기부_강남구립논현노인요양센터,강남구자원봉사센터,2019-06-07 ~ 2019-08-30
3,서울특별시,강남구,목욕서비스 봉사 _강남구립논현노인요양센터,강남구자원봉사센터,2019-06-07 ~ 2019-08-30
4,서울특별시,강남구,"[국민건강보험공단 서울요양원 입소시설] 어르신 식사보조, 말벗, 환경미화 등",서울요양원,2019-08-12 ~ 2019-08-31
5,서울특별시,강남구,[대한사회복지회] 바자회 개최에 따른 물품 정리,대한사회복지회,2019-08-27 ~ 2019-08-30
6,서울특별시,강남구,센터 행정업무 보조,강남구자원봉사센터,2019-06-03 ~ 2019-08-30
