,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,강서구,2019년 한중일 장애인미술교류전,한국장애인국제예술단,2019-08-21 ~ 2019-08-21
1,서울특별시,강서구,추석맞이 송편 및 자장면 나눔,가양2동주민센터,2019-08-31 ~ 2019-08-31
2,서울특별시,강서구,"청소, 정리정돈 점심보조 및 뒷정리",주함지역아동센터,2019-06-24 ~ 2019-08-20
3,서울특별시,강서구,★모집마감★ 후원물품 정리 자원봉사자 모집,등촌7종합사회복지관,2019-08-22 ~ 2019-08-22
4,서울특별시,강서구,[긴급] 등촌9종합사회복지관[나이트케어 아동 워터파크 체험활동 봉사자 구인 안내],등촌9종합사회복지관,2019-08-22 ~ 2019-08-22
5,서울특별시,강서구,여름방학 기간 초등학생 기초학습지도 자원봉사자모집,강서누리지역아동센터,2019-07-29 ~ 2019-08-22
6,서울특별시,강서구,2019년 한중일 장애인미술교류전,한국장애인국제예술단,2019-08-21 ~ 2019-08-26
7,서울특별시,강서구,어린이집 환경개선,구립 한울어린이집,2019-08-23 ~ 2019-09-27
8,서울특별시,강서구,가양7종합사회복지관 무료급식서비스 자원봉사자 모집,가양7종합사회복지관,2019-08-01 ~ 2019-08-30
9,서울특별시,강서구,★ 장애인 롯데월드 민속박물관 관람 보조 자원봉사자 모집,강서뇌성마비복지관,2019-08-26 ~ 2019-08-26
0,서울특별시,강서구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
1,서울특별시,강서구,부모-자녀 놀이교육 진행 보조 자원봉사,방화2종합사회복지관,2019-08-19 ~ 2019-08-26
2,서울특별시,강서구,보육교직원 교육 지원업무,강서구육아종합지원센터,2019-08-27 ~ 2019-08-27
3,서울특별시,강서구,구립강서구직업재활센터 자원봉사,구립강서구직업재활센터,2019-08-01 ~ 2019-08-30
4,서울특별시,강서구,장애인 원예교실 자원봉사자 모집,강서뇌성마비주간보호센터,2019-08-14 ~ 2019-08-28
5,서울특별시,강서구,강서누리지역아동센터 초등학생 대상 기초학습지도와 놀이지도 자원봉사자 모집,강서누리지역아동센터,2019-06-03 ~ 2019-09-03
6,서울특별시,강서구,발음지역아동센터에서 아동점심 급식 후 청소 도우미를 모집합니다.,발음지역아동센터,2019-07-25 ~ 2019-08-29
7,서울특별시,강서구,[20세이상] 9월 주민센터·복지관 치매 선별검사 보조 봉사활동,강서구치매지원센터,2019-09-02 ~ 2019-09-26
8,서울특별시,강서구,[9~10월] 월요일 오전 강서구보건소 치매 선별검사 보조,강서구치매지원센터,2019-09-02 ~ 2019-10-28
9,서울특별시,강서구,[9월 월수금 오전/오후] 행정업무 보조,강서구치매지원센터,2019-09-02 ~ 2019-09-30
0,서울특별시,강서구,자원봉사자를 모집합니다,열림일터장애인작업장,2019-07-01 ~ 2019-08-30
1,서울특별시,강서구,[등촌1종합사회복지관] 8월 경로식당 급식 서비스 봉사자 모집,등촌1종합사회복지관,2019-08-01 ~ 2019-08-31
2,서울특별시,강서구,장애인 프로그램 보조 자원봉사자 모집,강서뇌성마비주간보호센터,2019-08-01 ~ 2019-08-30
3,서울특별시,강서구,[등촌1종합사회복지관]멘토링프로그램'너.구.리'/교육 멘토링 자원봉사자 모집,등촌1종합사회복지관,2019-08-07 ~ 2019-08-31
4,서울특별시,강서구,기쁜우리복지관 밑반찬 배달봉사자 모집,기쁜우리복지관,2019-08-31 ~ 2019-08-31
5,서울특별시,강서구,프리마켓 운영보조 봉사자 모집합니다.,방화3동주민센터,2019-08-31 ~ 2019-08-31
6,서울특별시,강서구,6월~8월 화곡지역아동센터 부설 어린이도서관 정리 및 관리,화곡지역아동센터,2019-06-01 ~ 2019-08-31
7,서울특별시,강서구,6월~8월 화곡지역아동센터 부설 어린이도서관 정리 및 관리,화곡지역아동센터,2019-06-01 ~ 2019-08-31
8,서울특별시,강서구,장애인직업재활 프로그램을 도와주실 분을 찾습니다.,장애인직업재활시설행복을파는장사꾼,2019-06-03 ~ 2019-08-31
9,서울특별시,강서구,등촌7종합사회복지관 밑반찬 조리 봉사팀 모집,등촌7종합사회복지관,2019-09-02 ~ 2019-11-30
0,서울특별시,강서구,서울식물원 여름행사 보타닉 북라운지 프로그램 보조해주실 성인 자원봉사자를 모집합니다.,서울식물원,2019-08-01 ~ 2019-08-31
1,서울특별시,강서구,'굿바이 아토피 힐링위크엔드' 에 함께 할 봉사참여자분들을 모집합니다.,사)대한아토피협회,2019-09-07 ~ 2019-09-08
2,서울특별시,강서구,사회소외계층 사랑나눔봉사활동,사회복지법인 훼미피아,2019-06-11 ~ 2019-09-10
3,서울특별시,강서구,치매 및 경도인지장애 어르신 국립중앙박물관 프로그램 행사 보조,강서구치매지원센터,2019-09-06 ~ 2019-11-01
4,서울특별시,강서구,"사회봉사  오후 13시-17시  학생1일 최대4시간, 성인 1일 6시간 인정합니다",강서구희망센터,2019-06-07 ~ 2019-09-06
5,서울특별시,강서구,[등촌1종합사회복지관] 2019년 추석맞이 나눔 행사 봉사자 모집,등촌1종합사회복지관,2019-09-10 ~ 2019-09-10
6,서울특별시,강서구,[20세이상] 성당 노인대학 치매 선별검사 보조,강서구치매지원센터,2019-09-20 ~ 2019-09-27
7,서울특별시,강서구,사랑의 밥차 어르신 무료급식 봉사활동,사회복지법인 훼미피아,2019-06-26 ~ 2019-09-25
8,서울특별시,강서구,장애인 직업재활시설 작업보조 봉사,공감플러스,2019-06-21 ~ 2019-09-20
9,서울특별시,강서구,가양7종합사회복지관 무료급식 서비스 봉사활동 모집 안내,가양7종합사회복지관,2019-09-07 ~ 2019-09-28
0,서울특별시,강서구,화곡3동 청소년성폭력예방강의및청소년학교폭력예방캠페인[가칭:청청봉데이],화곡3동주민센터,2019-09-21 ~ 2019-09-21
1,서울특별시,강서구,장애인 생활체육교실 자원봉사자 모집,강서뇌성마비주간보호센터,2019-08-06 ~ 2019-09-24
2,서울특별시,강서구,기생충박물관 전시장지킴이 자원봉사 모집,(사)한국건강관리협회 서울서부지부,2019-06-29 ~ 2019-09-28
3,서울특별시,강서구,기생충박물관 전시장지킴이 자원봉사 모집,(사)한국건강관리협회 서울서부지부,2019-07-01 ~ 2019-09-30
4,서울특별시,강서구,가양7종합사회복지관 무료급식 서비스 봉사활동 모집 안내,가양7종합사회복지관,2019-09-02 ~ 2019-09-30
5,서울특별시,강서구,"건강불편 어르신 활동 보조 및 프로그램 보조, 환경미화/행정업무 지원 등",엔젤리아데이케어센터,2019-07-01 ~ 2019-09-30
