,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,마포구,경의선 숲길! 이렇게 만나긴 처음이야. - 숲해설과 함께하는 경의선 숲길 가꾸기,서부공원녹지사업소,2019-08-21 ~ 2019-08-21
1,서울특별시,마포구,제 26회 꿈씨음악회 공연관람 및 설문 참여 - 장애인 인식개선 사업,사단법인 자원봉사애원,2019-08-22 ~ 2019-08-22
2,서울특별시,마포구,러빙핸즈 초록리본 캠페인 스텝 모집,사단법인 러빙핸즈,2019-07-24 ~ 2019-08-24
3,서울특별시,마포구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
4,서울특별시,마포구,서교동 청소년 자원봉사캠프 - 불법광고물 정비 자원봉사,서교동캠프,2019-08-30 ~ 2019-08-31
5,서울특별시,마포구,시각장애인과 함께 하는 볼링 활동,한국시각장애인연합회 마포지회 마포점자도서관,2019-08-16 ~ 2019-08-30
6,서울특별시,마포구,마포장애인가족지원센터 이룸통장사업 장애인자조모임 활동지원,마포장애인가족지원센터,2019-08-31 ~ 2019-10-19
7,서울특별시,마포구,[문화비축기지] 모두의 시장 행사 지원,문화비축기지,2019-08-31 ~ 2019-08-31
8,서울특별시,마포구,한국우진학교 수업 보조 및 식사지도 자원봉사,한국우진학교,2019-06-03 ~ 2019-08-30
9,서울특별시,마포구,"교실청소,교구정리정돈",구립 샘물어린이집,2019-06-03 ~ 2019-08-30
0,서울특별시,마포구,박정희대통령기념관·도서관/어깨동무스토리움·도서관 관람안내 및 도서정리,재단법인 박정희대통령기념재단,2019-08-01 ~ 2019-08-31
1,서울특별시,마포구,박정희대통령기념관·도서관/어깨동무스토리움·도서관 관람안내 및 도서정리,재단법인 박정희대통령기념재단,2019-08-01 ~ 2019-08-31
2,서울특별시,마포구,스포츠를 통한 피스메이커 양성 프로그램 평화축구 교실 코치,사단법인 우리민족서로돕기운동,2019-06-01 ~ 2019-08-31
3,서울특별시,마포구,[화요일 오후] 아름다운가게 망원역점 매장운영 및 기증접수 봉사,아름다운가게 망원역점,2019-07-01 ~ 2019-09-30
4,서울특별시,마포구,[수요일 오전] 아름다운가게 망원역점 매장운영 및 기증접수 봉사,아름다운가게 망원역점,2019-07-01 ~ 2019-09-30
5,서울특별시,마포구,[목요일 오후] 아름다운가게 망원역점 매장운영 및 기증접수 봉사,아름다운가게 망원역점,2019-07-01 ~ 2019-09-30
6,서울특별시,마포구,[국제개발협력NGO 지파운데이션] 도서분류 및 행정 자원봉사자 모집,사회적협동조합 지파운데이션,2019-07-24 ~ 2019-08-31
7,서울특별시,마포구,사회복지시설종사자 잠복결핵감염검진 안내 및 뒷정리,마포구자원봉사센터,2019-09-06 ~ 2019-09-06
8,서울특별시,마포구,사회복지시설종사자 잠복결핵감염검진 안내 및 뒷정리,마포구자원봉사센터,2019-09-06 ~ 2019-09-06
9,서울특별시,마포구,홍대/신촌 위치,한국지역자활센터협회 행복미래교육원,2019-06-11 ~ 2019-09-10
0,서울특별시,마포구,17회 상암동 마을축제 어린이 체험부스 진행 보조,마포구고용복지지원센터,2019-09-07 ~ 2019-09-07
1,서울특별시,마포구,중증장애인 활동 보조,우리마포장애인주간이용센터,2019-06-20 ~ 2019-09-20
2,서울특별시,마포구,서울시중부여성발전센터 서울시 여성일자리 박람회 진행보조 및 안내 봉사자모집,서울시중부여성발전센터,2019-09-19 ~ 2019-09-19
3,서울특별시,마포구,상암 DMC 거리 추억의 오락실 게임 이벤트 행사 보조,재단법인 서울산업진흥원,2019-06-27 ~ 2019-09-26
4,서울특별시,마포구,서울시 지역아동센터 방문교육 보조교사 지원,소비자커뮤니케이션네트워크,2019-08-01 ~ 2019-09-27
5,서울특별시,마포구,어린이집 보육활동 보조,중동어린이집,2019-07-01 ~ 2019-09-30
6,서울특별시,마포구,학교 밖 청소년의 직업탐색을 위한 뮤지컬 교육과 제작 및 순회 공연 프로젝트 운영보조,사단법인 제로캠프,2019-08-06 ~ 2019-09-30
7,서울특별시,마포구,학교밖청소년 뮤지컬 만들기 프로젝트 신한 Shining Star 운영보조,사단법인 제로캠프,2019-08-06 ~ 2019-09-30
8,서울특별시,마포구,학교밖청소년 뮤지컬 만들기 프로젝트 신한 Shining Star 운영보조,사단법인 제로캠프,2019-08-07 ~ 2019-09-30
9,서울특별시,마포구,마포행복나눔푸드마켓1호점에서 물품진열 및 정리,마포행복나눔푸드마켓(1호점),2019-07-25 ~ 2019-10-24
0,서울특별시,마포구,[국제개발협력NGO 지파운데이션] 감사편지 작성 및 행정 자원봉사자 모집,사회적협동조합 지파운데이션,2019-07-26 ~ 2019-10-25
1,서울특별시,마포구,경로식당 배식봉사,용강노인복지관,2019-07-30 ~ 2019-10-30
