,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,영등포구,2019 서울신촌 LifeWalking 자살예방 캠페인 활동,LifeHope기독교자살예방센터,2019-08-24 ~ 2019-08-24
1,서울특별시,영등포구,깨끗한 보행환경 만들기,영등포구청가로경관과,2019-07-23 ~ 2019-08-22
2,서울특별시,영등포구,장애인근로자 작업활동보조,라피드보호작업장,2019-05-27 ~ 2019-08-26
3,서울특별시,영등포구,제27회 서울국제휠체어마라톤대회,한국지체장애인협회,2019-09-01 ~ 2019-09-01
4,서울특별시,영등포구,제27회 서울국제휠체어마라톤대회 통역 자원봉사,한국지체장애인협회,2019-08-26 ~ 2019-09-02
5,서울특별시,영등포구,2019 서울국제휠체어마라톤대회 출발식 및 시상식 피켓지원 자원봉사,한국지체장애인협회,2019-09-01 ~ 2019-09-01
6,서울특별시,영등포구,북적북적 책축제 행사 보조진행 및 정리,서울여성회,2019-08-20 ~ 2019-08-23
7,서울특별시,영등포구,학부모와 청소년이 함께하는 지역사회 야간선도활동,신길4동주민센터,2019-08-27 ~ 2019-08-27
8,서울특별시,영등포구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
9,서울특별시,영등포구,[수요일 저녁] 아름다운가게 영등포점 운영지원,아름다운 가게 영등포점,2019-06-12 ~ 2019-08-28
0,서울특별시,영등포구,장수사진 메이크업 재능기부 봉사,영등포구치매안심센터,2019-08-31 ~ 2019-11-09
1,서울특별시,영등포구,한국도박문제관리센터 서울남부센터 사행사업체 홍보캠페인 자원봉사자 모집,한국도박문제관리센터 서울남부센터,2019-08-29 ~ 2019-08-29
2,서울특별시,영등포구,[목요일 오후]아름다운가게 영등포점 운영지원,아름다운 가게 영등포점,2019-06-13 ~ 2019-08-29
3,서울특별시,영등포구,"어르신을 위한 이,미용 프로그램을 운영 자원봉사자 [매달 1회 이상]",서울센트럴요양병원,2019-06-06 ~ 2019-08-29
