,지역,시군구,제목,모집기관,봉사기간
0,인천광역시,남동구,장애인전동침대 및 안전손잡이 설치를 위한 짐운반 봉사자 모집,인천광역시 남동구,2019-08-22 ~ 2019-08-22
1,인천광역시,남동구,게릴라 자원봉사활동,인천광역시 남동구,2019-08-05 ~ 2019-08-24
2,인천광역시,남동구,유기견돌보기,유기동물사랑나누기,2019-06-01 ~ 2019-08-31
3,인천광역시,남동구,유기견돌보기,유기동물사랑나누기,2019-06-01 ~ 2019-08-31
4,인천광역시,남동구,희망텃밭 배추 모종 심기 봉사,함께사는세상을만드는남동희망공간,2019-09-01 ~ 2019-09-01
5,인천광역시,남동구,이미용봉사자를 모집합니다,인천광역시 남동구,2019-07-22 ~ 2019-08-31
6,인천광역시,남동구,2019 인천 생물다양성탐사 행사보조,인천광역시 남동구,2019-09-07 ~ 2019-09-07
7,인천광역시,남동구,2019 인천 생물다양성탐사 행사 보조,인천광역시 남동구,2019-09-07 ~ 2019-09-07
8,인천광역시,남동구,도담도담장난감월드 남동구청점 오전 자원봉사,남동구도담도담장난감월드,2019-06-01 ~ 2019-08-31
9,인천광역시,남동구,헌이불을 건강이불로 리폼할 자원봉사자를 모집합니다.,사회단체 한국교육복지문화진흥재단 인천지부,2019-08-21 ~ 2019-08-31
0,인천광역시,남동구,"서창도서관 ""요술풍선 나눔행사!"" 진행자 모집",서창도서관,2019-09-05 ~ 2019-09-06
1,인천광역시,남동구,자연보호 활동및 캠페인활동,인천광역시 남동구,2019-09-07 ~ 2019-09-07
2,인천광역시,남동구,작은도서관의 열람대출업무 운영자 모집,한화에코메트로5단지도서관,2019-09-21 ~ 2019-12-21
3,인천광역시,남동구,2019 인천송도국제마라톤대회 자원봉사자 모집,인천광역시,2019-09-29 ~ 2019-09-29
4,인천광역시,남동구,2019 동아시아 생활문화축제 행사보조,인천광역시 남동구,2019-09-21 ~ 2019-09-22
5,인천광역시,남동구,제 18회 소래포구 수산물 전국 음식경연대회,인천광역시 남동구,2019-09-27 ~ 2019-09-27
6,인천광역시,남동구,북한이탈주민 어린이 음악밴드를 지도해주실 파트별 자원봉사 강사 모집,(사)국제문화교류협회,2019-08-03 ~ 2019-10-26
7,인천광역시,남동구,인천광역시교육청 학부모기자,인천광역시교육청 소통협력담당관,2019-08-01 ~ 2019-10-31
8,인천광역시,남동구,발달장애인과 산책,참빛문화예술학교,2019-08-14 ~ 2019-11-13
