,지역,시군구,제목,모집기관,봉사기간
0,인천광역시,연수구,사랑의 도시락 조리자원봉사자 모집,월드비전선학종합사회복지관,2019-05-23 ~ 2019-08-22
1,인천광역시,연수구,여름방학 자원봉사학교  - 동춘1동 / 경로당 봉사 및 환경 정화 활동,인천광역시 연수구,2019-07-25 ~ 2019-08-22
2,인천광역시,연수구,연수구노인복지관 경로당 환경개선,인천광역시 연수구,2019-08-26 ~ 2019-08-26
3,인천광역시,연수구,▶2019년도 8월 정기 성인 자원봉사기초 교육 참여 봉사자 모집,연수구자원봉사센터,2019-08-30 ~ 2019-08-30
4,인천광역시,연수구,홀몸어르신 축구관람 문화체험 프로그램 지원 활동,사단법인 온해피,2019-09-01 ~ 2019-09-01
5,인천광역시,연수구,일자리정책과 사회적경제와 함께하는 캘러리 마켓 행사보조,인천광역시 연수구,2019-08-31 ~ 2019-08-31
6,인천광역시,연수구,인천관광공사 '송도맥주축제' 통역봉사단 모집,인천광역시 연수구,2019-08-23 ~ 2019-08-31
7,인천광역시,연수구,인천관광공사 '송도맥주축제' 통역봉사단 모집,인천광역시 연수구,2019-08-23 ~ 2019-08-31
8,인천광역시,연수구,일자리정책과 주민한마음 축제 행사보조,인천광역시 연수구,2019-09-07 ~ 2019-09-07
9,인천광역시,연수구,2019 인천송도국제마라톤대회 자원봉사자 모집,인천광역시,2019-09-29 ~ 2019-09-29
0,인천광역시,연수구,연수2동 주민 화합한마당 행사보조,인천광역시 연수구,2019-09-20 ~ 2019-09-20
1,인천광역시,연수구,연수구청 알뜰나눔장터 행사보조,인천광역시 연수구,2019-09-21 ~ 2019-09-21
2,인천광역시,연수구,제3회 에듀숲속음악회 행사보조,인천광역시 연수구,2019-09-21 ~ 2019-09-21
3,인천광역시,연수구,송도1동 주민참여예산 안내봉사자 모집,인천광역시 연수구,2019-09-17 ~ 2019-09-22
4,인천광역시,연수구,장애 아동 방과후 돌봄활동 자원봉사자 모집,인천광역시장애인종합복지관,2019-07-08 ~ 2019-09-30
5,인천광역시,연수구,송도1동 주민참여예산 행사보조,인천광역시 연수구,2019-09-27 ~ 2019-09-27
6,인천광역시,연수구,송도건강생활지원센터 프로그램 운영보조,인천광역시 연수구,2019-08-30 ~ 2019-09-27
7,인천광역시,연수구,송도3동 작은도서관 업무보조,인천광역시 연수구,2019-09-02 ~ 2019-09-30
8,인천광역시,연수구,송도3동 작은도서관 업무보조,인천광역시 연수구,2019-09-02 ~ 2019-09-30
