,지역,시군구,제목,모집기관,봉사기간
0,전라남도,구례군,제11회 구례전국여자천하장사 및 대학장사씨름대회 진행보조 및 주변 청결활동,전라남도 구례군,2019-08-22 ~ 2019-08-25
1,전라남도,구례군,여성문화회관 청결활동,구례군여성문화회관,2019-07-22 ~ 2019-08-30
2,전라남도,구례군,섬진강어류생태관 체험프로그램 활동 보조 및 환경 정비 보조,섬진강어류생태관,2019-06-01 ~ 2019-08-31
3,전라남도,구례군,구례군매천도서관 도서정리 및 환경정비,구례군매천도서관,2019-07-01 ~ 2019-09-30
4,전라남도,구례군,"청소년문화의집 및 종합사회복지관 주변 청결활동, 행정지원",구례군청소년문화의집,2019-07-01 ~ 2019-09-30
5,전라남도,구례군,구례국민체육센터청결활동,구례국민체육센터(실내수영장),2019-07-01 ~ 2019-09-30
6,전라남도,구례군,구례화엄사 성보박물관 내외 청결활동,구례화엄사성보박물관,2019-07-03 ~ 2019-10-02
7,전라남도,구례군,"어르신 말벗, 청결활동, 배식봉사",구례원광복지센터,2019-07-09 ~ 2019-10-08
8,전라남도,구례군,어르신 생활 편의 지원,새미소요양병원,2019-07-18 ~ 2019-10-17
9,전라남도,구례군,연곡사 문화재 주변 환경 정화 및 템플스테이 업무보조,연곡사,2019-08-01 ~ 2019-10-31
0,전라남도,구례군,템플스테이 주변정리,대한불교조계종화엄사,2019-08-15 ~ 2019-11-15
1,전라남도,구례군,어르신 활동 보조지원,정다운실버타운,2019-08-07 ~ 2019-11-07
