,지역,시군구,제목,모집기관,봉사기간
0,전라남도,신안군,행촌문화재단 마을학교 진행 보조,행촌문화재단,2019-08-05 ~ 2019-08-23
1,전라남도,신안군,교육학습지원 멘토링 및 환경정리,고향사랑지역아동센터,2019-08-05 ~ 2019-08-20
2,전라남도,신안군,8월 자원봉사 기본교육,순천시자원봉사센터,2019-08-22 ~ 2019-08-22
3,전라남도,신안군,엄마와자녀가 함께하는 4차산업혁명시대의 미래직업특강,나주여성새로일하기센터,2019-08-21 ~ 2019-08-21
4,전라남도,신안군,생활편의시설지원,광양시공립노인전문요양병원,2019-06-20 ~ 2019-08-21
5,전라남도,신안군,식사봉사,광양시공립노인전문요양병원,2019-06-20 ~ 2019-08-21
6,전라남도,신안군,생활편의시설지원,광양시공립노인전문요양병원,2019-06-20 ~ 2019-08-21
7,전라남도,신안군,목욕봉사,광양시공립노인전문요양병원,2019-06-20 ~ 2019-08-21
8,전라남도,신안군,발맛사지,광양시공립노인전문요양병원,2019-06-20 ~ 2019-08-21
9,전라남도,신안군,어르신 위문공연 봉사,광양시공립노인전문요양병원,2019-06-20 ~ 2019-08-21
0,전라남도,신안군,"가야금,마술,댄스공연",광양시공립노인전문요양병원,2019-06-20 ~ 2019-08-21
1,전라남도,신안군,순천만습지 여름방학 고등학생 봉사활동,순천만보전과,2019-07-22 ~ 2019-08-25
2,전라남도,신안군,목포해상케이블카개통 관광객맞이 활어회 무료시식회 안내,목포시보건소,2019-08-10 ~ 2019-08-24
3,전라남도,신안군,반려동물 문화 한마당 행사 추진 운영보조 봉사자 모집,순천시,2019-08-23 ~ 2019-08-25
4,전라남도,신안군,제11회 구례전국여자천하장사 및 대학장사씨름대회 진행보조 및 주변 청결활동,전라남도 구례군,2019-08-22 ~ 2019-08-25
5,전라남도,신안군,장성군 평화 마중 콘서트 행사 지원,장성교육지원청,2019-08-23 ~ 2019-08-23
6,전라남도,신안군,"Wee센터 프로그램 물품 제작 및 정리 , *신청 전 전화 필수",목포시교육청,2019-08-23 ~ 2019-08-23
7,전라남도,신안군,2019 목포세계마당페스티벌 행사보조활동,사단법인 세계마당아트진흥회,2019-08-29 ~ 2019-09-01
8,전라남도,신안군,제 14회 전라남도시각장애인체육대회-시각장애인 활동 보조,전라남도 담양군,2019-08-27 ~ 2019-08-27
9,전라남도,신안군,도기박물관 자원봉사자 모집합니다.,문화시설사업소(도기박물관),2019-08-12 ~ 2019-08-23
0,전라남도,신안군,매곡동 그림책도서관 도시재생사업 자원봉사자 모집,한국철도공사 전남본부,2019-08-19 ~ 2019-08-26
1,전라남도,신안군,담양군청소년문화의집 자원봉사활동,담양청소년문화의집,2019-05-24 ~ 2019-08-24
2,전라남도,신안군,영유아들의 위생 및 환경,우리어린이집,2019-07-24 ~ 2019-08-24
3,전라남도,신안군,어린이집 자원봉사,공립소중한어린이집,2019-08-24 ~ 2019-08-31
4,전라남도,신안군,어린이바다과학관 실내 및 야외 환경정비,목포어린이바다과학관,2019-07-01 ~ 2019-08-31
5,전라남도,신안군,회산백련지 족욕장 주변 정리,회산백련지,2019-08-05 ~ 2019-08-31
6,전라남도,신안군,회산백련지 족욕장 주변 정리,회산백련지,2019-08-05 ~ 2019-08-31
7,전라남도,신안군,2019발달장애인가족휴식지원 문경힐링캠프 봉사자 모집,한국장애인부모회목포지부,2019-08-29 ~ 2019-08-31
8,전라남도,신안군,완도군 장난감도서관 자원봉사활동_평일,완도군장난감도서관,2019-05-27 ~ 2019-08-27
9,전라남도,신안군,순환도서 관리,과역지역아동센터,2019-07-29 ~ 2019-08-27
0,전라남도,신안군,센터 정리정돈,과역지역아동센터,2019-07-29 ~ 2019-08-27
1,전라남도,신안군,오전봉사/2019 전라남도 마을이야기박람회 목포시 주제관 및 홍보관 운영,목포시문화예술과,2019-08-30 ~ 2019-09-01
2,전라남도,신안군,오후봉사/2019 전라남도 마을이야기 박람회 목포시 주제관 및 홍보관 운영,목포시문화예술과,2019-08-30 ~ 2019-09-01
3,전라남도,신안군,어르신 활동보조,반야노인복지센터,2019-06-01 ~ 2019-08-31
4,전라남도,신안군,"신대건강생활지원센터 ""아기와 함게하는 산후요가교실"" 운영 지원",신대건강생활지원센터,2019-09-03 ~ 2019-11-28
5,전라남도,신안군,화순 충의사 환경정화활동,충의사,2019-08-19 ~ 2019-08-30
6,전라남도,신안군,목포세계마당페스티벌 놀이마당 행사,극단아띠,2019-08-31 ~ 2019-09-01
7,전라남도,신안군,노리꿈터 장난감도서관 장난감 소독 봉사,전남육아종합지원센터,2019-06-03 ~ 2019-08-29
8,전라남도,신안군,음악요법,효성요양병원,2019-05-29 ~ 2019-08-29
9,전라남도,신안군,광양노인복지관 내외 청결관리,광양노인복지관,2019-08-12 ~ 2019-08-30
0,전라남도,신안군,식당봉사,광양노인복지관,2019-08-12 ~ 2019-08-30
1,전라남도,신안군,제1회 구봉산 문화제 행사준비 및 행사장안내,광양시자원봉사센터,2019-08-30 ~ 2019-08-30
2,전라남도,신안군,제1회 구봉산 문화제,광양시자원봉사센터,2019-08-31 ~ 2019-08-31
3,전라남도,신안군,광양노인복지관 내외 청결관리,광양노인복지관,2019-08-20 ~ 2019-08-30
4,전라남도,신안군,함평자연생태공원 에서 환경정화 활동 등 자원봉사자를 모집합니다.,함평군산림공원사업소,2019-06-01 ~ 2019-09-01
5,전라남도,신안군,사회적응훈련 및 일상생활 지원,아람그룹홈,2019-06-01 ~ 2019-09-01
6,전라남도,신안군,함평자연생태공원 환경정화 등,함평군산림공원사업소,2019-06-01 ~ 2019-09-01
7,전라남도,신안군,경로당 DB자료 입력,대한노인회전남경로당공역지원센터,2019-06-03 ~ 2019-08-30
8,전라남도,신안군,대한동물사랑협회 봉사자 모집,대한동물사랑협회,2019-07-01 ~ 2019-09-30
9,전라남도,신안군,학습자료정리 및 주변환경정리 등,햇빛어린이집,2019-07-22 ~ 2019-08-30
0,전라남도,신안군,환경정화활동,주택관리공단 나주용산1차 주공아파트 관리사무소,2019-07-22 ~ 2019-08-30
