,지역,시군구,제목,모집기관,봉사기간
0,전라남도,완도군,영유아들의 위생 및 환경,우리어린이집,2019-07-24 ~ 2019-08-24
1,전라남도,완도군,완도군 장난감도서관 자원봉사활동_평일,완도군장난감도서관,2019-05-27 ~ 2019-08-27
2,전라남도,완도군,어린이집 영유아 돌보기,청산 어린이집,2019-08-05 ~ 2019-08-30
3,전라남도,완도군,활동 보조,성광어린이집,2019-08-01 ~ 2019-08-31
4,전라남도,완도군,아이들과 놀아주고 책읽어주고 주변 환경미화활동,청해어린이집,2019-06-07 ~ 2019-09-07
5,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
6,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
7,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
8,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
9,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
0,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
1,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
2,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
3,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
4,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
5,전라남도,완도군,지역사회와 함께하는 범죄예방순찰 봉사활동,완도경찰서,2019-07-01 ~ 2019-09-30
6,전라남도,완도군,"도서관 서가배열 및 주변 환경 정화, 문화강좌 운영 보조활동",완도군립도서관,2019-07-29 ~ 2019-10-28
7,전라남도,완도군,작은도서관 서가 정리및 문화프로그램 보조진행. 환경미화,넙도행복작은도서관,2019-07-31 ~ 2019-10-31
8,전라남도,완도군,장난감도서관 자원봉사,완도군장난감도서관,2019-08-17 ~ 2019-11-16
