,지역,시군구,제목,모집기관,봉사기간
0,전라북도,부안군,자원봉사 V-korea 이그나이트 전북지역대회 행사보조,전라북도,2019-08-23 ~ 2019-08-23
1,전라북도,부안군,자살예방사업 모니터링,부안군정신건강복지센터,2019-08-08 ~ 2019-08-26
2,전라북도,부안군,환경정리 및 활동보조,의료법인 혜성병원,2019-07-01 ~ 2019-08-31
3,전라북도,부안군,전라북도자원봉사센터 9월 행정업무 지원,전라북도,2019-09-02 ~ 2019-09-30
4,전라북도,부안군,공원환경보호,변산반도국립공원,2019-09-01 ~ 2019-11-30
5,전라북도,부안군,어르신들과의 말동무,경동 요양원,2019-06-01 ~ 2019-08-31
6,전라북도,부안군,어르신 활동 보조 및 말벗 및 환경미화,부안군재가노인지원센터,2019-06-01 ~ 2019-08-31
7,전라북도,부안군,어르신 목욕보조 및 이미용 서비스,부안군재가노인지원센터,2019-06-01 ~ 2019-08-31
8,전라북도,부안군,어르신을 위한 외부공연 및 레크레이션,부안군재가노인지원센터,2019-06-01 ~ 2019-08-31
9,전라북도,부안군,입원해 계신 어르신을 말벗 및 환경정리 봉사,부안군 노인요양병원,2019-06-17 ~ 2019-08-31
0,전라북도,부안군,제14회 전라북도 과학축전 자원봉사자 모집 공고,전라북도,2019-09-20 ~ 2019-09-22
1,전라북도,부안군,프로그램 보조 및 환경정비,부안효요양병원,2019-07-01 ~ 2019-09-30
2,전라북도,부안군,원내청소및 활동보조,부안군노인요양원,2019-07-01 ~ 2019-09-30
3,전라북도,부안군,여름방학 자유활동 자원봉사,변산반도국립공원,2019-07-17 ~ 2019-10-16
4,전라북도,부안군,"재능기부, 공연활동",아름다운쉼터재가복지센터,2019-07-01 ~ 2019-09-30
5,전라북도,부안군,어르신 프로그램 활동 보조,아름다운쉼터재가복지센터,2019-07-01 ~ 2019-09-30
6,전라북도,부안군,"목욕,미용,청소봉사",아름다운쉼터재가복지센터,2019-07-01 ~ 2019-09-30
7,전라북도,부안군,지역아동센터 봉사,부안지역아동센터,2019-07-22 ~ 2019-10-22
8,전라북도,부안군,산악사고 예방활동 자원봉사,부안소방서,2019-08-16 ~ 2019-11-15
