,지역,시군구,제목,모집기관,봉사기간
0,전라북도,완주군,환경정리 및 사무보조,완주청년회의소,2019-08-12 ~ 2019-08-20
1,전라북도,완주군,자원봉사 V-korea 이그나이트 전북지역대회 행사보조,전라북도,2019-08-23 ~ 2019-08-23
2,전라북도,완주군,완주군립중앙도서관 문화행사 업무보조,완주군립중앙도서관,2019-08-24 ~ 2019-08-24
3,전라북도,완주군,지역아동센터 방학중 도우미,완주놀자지역아동센터,2019-07-25 ~ 2019-08-23
4,전라북도,완주군,완주문화의집 삼례생활문화센터 환경정화,완주문화의집,2019-08-05 ~ 2019-08-31
5,전라북도,완주군,청소년수련관 환경정리,완주군 청소년수련관,2019-06-01 ~ 2019-08-31
6,전라북도,완주군,전라북도자원봉사센터 9월 행정업무 지원,전라북도,2019-09-02 ~ 2019-09-30
7,전라북도,완주군,장애인복지서비스 프로그램 보조 및 시설환경 정리정돈,완주군장애인복지관,2019-06-01 ~ 2019-08-31
8,전라북도,완주군,완주군장애인복지관 주간보호센터 자원봉사활동,완주군장애인복지관 주간보호센터,2019-06-01 ~ 2019-08-31
9,전라북도,완주군,전북도립미술관 전시실 지킴활동 및 미술관 주변 환경정비,전북도립미술관,2019-07-01 ~ 2019-08-31
0,전라북도,완주군,벧엘요양병원 의료지원,벧엘요양병원,2019-07-08 ~ 2019-09-30
1,전라북도,완주군,완주군립 둔산영어도서관 자원봉사자 모집,둔산영어도서관,2019-07-22 ~ 2019-08-31
2,전라북도,완주군,제14회 전라북도 과학축전 자원봉사자 모집 공고,전라북도,2019-09-20 ~ 2019-09-22
3,전라북도,완주군,2019 완주와일드푸드축제 봉사단 모집,전라북도 완주군,2019-09-27 ~ 2019-09-29
4,전라북도,완주군,● 벧엘요양병원 ●,벧엘요양병원,2019-07-08 ~ 2019-09-27
5,전라북도,완주군,완주향토예술문화회관/문화키움터 환경정리,완주문화키움터,2019-06-18 ~ 2019-09-14
6,전라북도,완주군,"완주 다문화공동체 보물섬 북카페 행사 프로그램 보조, 보물섬북카페 주변 환경정비",완주다문화공동체보물섬,2019-07-20 ~ 2019-10-19
7,전라북도,완주군,완주향토예술문화회관/문화키움터 환경정리,완주문화키움터,2019-06-18 ~ 2019-09-17
8,전라북도,완주군,완주군청소년수련관 자원봉사자 모집,완주군 청소년수련관,2019-07-08 ~ 2019-09-30
9,전라북도,완주군,"고산도서관 장서 정리 및 환경 정비, 프로그램 보조",완주군립고산도서관,2019-07-01 ~ 2019-09-30
0,전라북도,완주군,사회복지 및 보건증진,빈첸시오의 집,2019-07-01 ~ 2019-09-30
1,전라북도,완주군,생활편의지원,성심너싱홈,2019-07-01 ~ 2019-09-30
2,전라북도,완주군,장애인 생활시설 봉사지원,예수재활원,2019-07-01 ~ 2019-09-30
3,전라북도,완주군,어르신활동보조,효앤정 데이케어센터,2019-07-01 ~ 2019-09-30
4,전라북도,완주군,장애인 거주시설 이용인 생활지원 및 말벗봉사,은혜의동산,2019-07-01 ~ 2019-09-30
5,전라북도,완주군,드림스타트 프로그램 활동 보조 모집,완주군드림스타트센터,2019-07-03 ~ 2019-09-30
6,전라북도,완주군,독거노인 및 소년소녀가정 봉사,대한참전유공자환경봉사단,2019-07-01 ~ 2019-09-30
7,전라북도,완주군,어르신 활동보조 및 이미용 봉사,구이노인요양원,2019-07-01 ~ 2019-09-30
8,전라북도,완주군,지역아동센터 방과후활동 도우미,완주놀자지역아동센터,2019-07-01 ~ 2019-09-30
9,전라북도,완주군,환경감시및환경봉사,대한참전유공자환경봉사단,2019-07-01 ~ 2019-10-01
0,전라북도,완주군,노인돌봄,구이주간보호센터,2019-07-18 ~ 2019-10-18
1,전라북도,완주군,재능기부 및 기타활동 영역,다애공동체,2019-08-01 ~ 2019-10-31
2,전라북도,완주군,어르신 생활편의 지원,종리복지비전센터,2019-08-01 ~ 2019-10-31
3,전라북도,완주군,어르신 문화공연,종리복지비전센터,2019-08-01 ~ 2019-10-31
4,전라북도,완주군,기찻길 작은도서관 봉사활동,기찻길작은도서관,2019-08-05 ~ 2019-11-05
5,전라북도,완주군,환경정화 및 행사보조,이서문화의집,2019-08-08 ~ 2019-11-08
6,전라북도,완주군,소양지역아동센터 학습 멘토링 및 업무보조,소양지역아동센터,2019-08-20 ~ 2019-11-20
7,전라북도,완주군,용진읍 실로암병원 봉사활동 모집,실로암병원,2019-08-24 ~ 2019-11-24
