,지역,시군구,제목,모집기관,봉사기간
0,충청북도,증평군,치매 어르신 활동보조. 대학생 방학 자원봉사 활동,인삼골주간보호센터,2019-08-01 ~ 2019-08-31
1,충청북도,증평군,전반적 케어,소망의 집,2019-08-01 ~ 2019-08-30
2,충청북도,증평군,청소 및 위생케어,소망의 집,2019-08-01 ~ 2019-08-30
3,충청북도,증평군,아이들 학습지도및 놀이지도,행복이가득한지역아동센터,2019-06-01 ~ 2019-08-31
4,충청북도,증평군,증평좌구산천문대 환경정화 자원봉사자 모집,증평 좌구산천문대,2019-06-01 ~ 2019-08-31
5,충청북도,증평군,주예모요양원 어르신 말벗 및 시설환경정화 활동,충청북도 증평군,2019-07-20 ~ 2019-08-31
6,충청북도,증평군,어르신 말 벗 및 시설환경 청소,증평괴산주야간보호센터,2019-08-01 ~ 2019-08-31
7,충청북도,증평군,증평수질개선사업소 환경정화활동,충청북도 증평군,2019-07-06 ~ 2019-09-08
8,충청북도,증평군,증평군 드림스타트 부모교육 동행아동 교육 프로그램 보조 및 돌봄,증평군드림스타트센터,2019-09-19 ~ 2019-09-19
9,충청북도,증평군,증평문화의집 프로그램운영보조 및 환경미화,문화의집,2019-07-05 ~ 2019-09-27
0,충청북도,증평군,어르신 활동보조 및 환경정화활동,홍주네증평노인복지센터,2019-07-01 ~ 2019-09-30
1,충청북도,증평군,군립도서관 환경정비 및 프로그램 보조,증평군립도서관,2019-07-01 ~ 2019-09-30
2,충청북도,증평군,군립도서관 환경정비 및 프로그램 보조,증평군립도서관,2019-07-01 ~ 2019-09-30
3,충청북도,증평군,군립도서관 환경정비 및 프로그램 보조,증평군립도서관,2019-07-01 ~ 2019-09-30
4,충청북도,증평군,증평문화의집 프로그램운영보조 및 환경미화,문화의집,2019-07-01 ~ 2019-09-30
5,충청북도,증평군,증평문화의집 프로그램운영보조 및 환경미화,문화의집,2019-07-01 ~ 2019-09-30
6,충청북도,증평군,토리작은도서관 도서정리 및 환경정화 활동,충청북도 증평군,2019-07-02 ~ 2019-09-30
7,충청북도,증평군,아동학습지도및놀이지도,행복이가득한지역아동센터,2019-08-19 ~ 2019-10-31
8,충청북도,증평군,어르신 활동 보조 및 환경정화 활동,홍주네증평노인복지센터,2019-08-01 ~ 2019-10-31
9,충청북도,증평군,머릿은혜원 프로그램 보조 환경정화,머릿돌은혜원,2019-08-06 ~ 2019-11-05
0,충청북도,증평군,증평수질개선사업소 환경정화 활동,충청북도 증평군,2019-09-14 ~ 2019-12-01
