,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,강원도 춘천시,,, 소양강을 살리는 흙공 던지기 자원봉사자 모집,지구시민운동연합,,2019-09-19 2019-09-19
1,강원도 춘천시,,, 소양강을 살리는 흙공 만들기 자원봉사자 모집,지구시민운동연합,,2019-09-05 2019-09-05
2,강원도 춘천시,37.880994,127.7437919, 학대피해아동 대학생 멘토링 봉사활동 모집,강원도아동보호전문기관,대한민국 강원도 춘천시 후평1동 685-5,2019-08-26 2019-12-31
3,강원도 춘천시,37.8611957,127.7817669, 풍선아트 장식 자원봉사자,성골롬반의집(춘천노인전문요양원),대한민국 강원도 춘천시 동내면 거두길 215,2019-08-22 2020-08-31
4,강원도 춘천시,37.8704653,127.7197627, [춘천남부노인복지관] 두레소리 합창단 피아노 반주 자원봉사자 모집,춘천남부노인복지관,대한민국 강원도 춘천시 방송길 86 KR,2019-08-20 2019-12-31
5,강원도 춘천시,37.8704653,127.7197627, [춘천남부노인복지관] 독거노인 안부전화 자원봉사자 모집,춘천남부노인복지관,대한민국 강원도 춘천시 방송길 86 KR,2019-08-20 2019-12-31
6,강원도 춘천시,37.8716969,127.7563398, 지역주민욕구조사 설문조사요원 및 코딩 자원봉사자 모집,춘천종합사회복지관,대한민국 강원도 춘천시 후평3동 후석로228번길 47,2019-08-05 2019-08-30
7,강원도 춘천시,37.8716969,127.7563398, 무료급식 배식 자원봉사자 모집,춘천종합사회복지관,대한민국 강원도 춘천시 후평3동 후석로228번길 47,2019-07-02 2019-12-31
8,강원도 춘천시,37.88861869999999,127.6861902, 이미용봉사,행복이가득한집,대한민국 강원도 춘천시 서면 현암리 531-1,2019-05-31 2020-05-31
9,강원도 춘천시,37.8716969,127.7563398, [춘천] 이미용봉사자 모집,춘천종합사회복지관,대한민국 강원도 춘천시 후평3동 후석로228번길 47,2019-05-30 2019-12-31
10,강원도 춘천시,37.76405099999999,127.652926, 이미용 봉사모집합니다,춘천원광효도의집,대한민국 강원도 춘천시 남산면 수동리 584,2019-05-29 2020-05-29
11,강원도 춘천시,37.84097,127.7138343, 유포리 세실 요양원 시설 대청소,두레실버요양원,대한민국 강원도 춘천시 강남동 칠전서1길 8,2019-04-14 2019-12-31
12,강원도 춘천시,37.903591,127.7412343, 밑반찬 배달봉사,춘천북부노인복지관,대한민국 강원도 춘천시 우두동 충열로142번길 24-16,2019-04-12 2019-12-31
13,강원도 춘천시,,, 프로그램 진행봉사,신동시니어복지센터,,2019-02-14 2019-12-31
14,강원도 춘천시,,, 주간보호센터 자원봉사,신동시니어복지센터,,2019-02-14 2019-12-31
0,강원도 춘천시,37.8716969,127.7563398, (춘천)영어교실 강사 모집,춘천종합사회복지관,대한민국 강원도 춘천시 후평3동 후석로228번길 47,2019-08-20 2019-10-29
1,강원도 춘천시,37.8704653,127.7197627, [춘천남부노인복지관]스마트폰 안내부스 봉사자 모집,춘천남부노인복지관,대한민국 강원도 춘천시 방송길 86 KR,2019-01-19 2019-12-31
