,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 남양주시,37.6272139,127.2024189, 아웃리치 활동가 모집,남양주시일시청소년쉼터,대한민국 금곡동 651-1번지 214호 다남프라자 남양주시 경기도 KR,2019-08-21 2019-12-13
1,경기도 남양주시,37.64608279999999,127.2353921, 나무장애인주간보호센터 미술프로그램 진행 자원봉사자 모집,나무장애인주간보호시설,대한민국 경기도 남양주시 평내동 경춘로1256번길 9 502호,2019-08-21 2019-12-27
2,경기도 남양주시,37.6587668,127.2423728, 해피누리노인복지관 평일 배식 봉사자 요청,해피누리노인복지관,대한민국 경기도 남양주시 호평동 620,2019-08-19 2019-09-30
3,경기도 남양주시,37.6662792,127.1133146, 미용봉사자 모집,노블레스요양원,대한민국 경기도 남양주시 별내동,2019-08-16 2020-08-15
4,경기도 남양주시,37.6691003,127.1177067, 남양주보훈요양원월 일(화) 오후시 선착순 명 모집 ,한국보훈복지의료공단 남양주보훈요양원,대한민국 경기도 남양주시 별내동 덕송2로 71,2019-08-27 2019-08-27
5,경기도 남양주시,37.6691003,127.1177067, 남양주보훈요양원월 일(화) 오전시 선착순 명 모집,한국보훈복지의료공단 남양주보훈요양원,대한민국 경기도 남양주시 별내동 덕송2로 71,2019-08-27 2019-08-27
6,경기도 남양주시,37.6587668,127.2423728, 치매예방 해피서포터즈 활동자 모집,해피누리노인복지관,대한민국 경기도 남양주시 호평동 620,2019-06-28 2019-09-30
7,경기도 남양주시,37.6691003,127.1177067, [방학기간]남양주보훈요양원 동영상 편집 가능 자원봉사자 모집,한국보훈복지의료공단 남양주보훈요양원,대한민국 경기도 남양주시 별내동 덕송2로 71,2019-06-20 2019-08-31
8,경기도 남양주시,37.6587668,127.2423728, 해피누리복지관 프로그램 활동보조,해피누리노인복지관,대한민국 경기도 남양주시 호평동 620,2019-09-01 2019-12-31
9,경기도 남양주시,37.7214512,127.2977389, [매그너스요양병원] 음악공연 자원봉사자모집(청소년성인남양주서울),매그너스요양병원,대한민국 경기도 남양주시 수동면 지둔리 323-1,2019-06-10 2019-09-30
10,경기도 남양주시,37.7214512,127.2977389, [매그너스요양병원] 이미용자원봉사자 모집(성인)(남양주서울),매그너스요양병원,대한민국 경기도 남양주시 수동면 지둔리 323-1,2019-06-10 2019-09-10
11,경기도 남양주시,37.6272139,127.2024189, 위기예방교육 자원봉사자 모집,남양주시일시청소년쉼터,대한민국 금곡동 651-1번지 214호 다남프라자 남양주시 경기도 KR,2019-04-01 2019-12-31
12,경기도 남양주시,37.6272139,127.2024189, 문화활동 보조 자원봉사자 모집,남양주시일시청소년쉼터,대한민국 금곡동 651-1번지 214호 다남프라자 남양주시 경기도 KR,2019-04-01 2019-12-31
13,경기도 남양주시,,, [밀알복지재단] 기빙플러스 후원물품 창고 물품정리물품선별 업무,사회복지법인 밀알복지재단,,2019-02-08 2019-12-31
14,경기도 남양주시,37.6270029,127.2001327, [남양주시장애인복지관 보호작업장] 작업활동지원,남양주시장애인복지관 보호작업장,대한민국 경기도 남양주시 금곡동 홍유릉로 273-1,2019-01-25 2019-12-31
0,경기도 남양주시,37.6691003,127.1177067, [남양주보훈요양원]전문 미용자원봉사자 모집,한국보훈복지의료공단 남양주보훈요양원,대한민국 경기도 남양주시 별내동 덕송2로 71,2018-12-04 2019-12-31
