,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 성남시,,, [수정노인종합복지관] 전화상담 봉사자 모집,수정노인종합복지관,,2019-08-26 2019-08-30
1,경기도 성남시,,, [굿네이버스] 펀드레이징 분야 년 하반기 봉사단 기를 모집합니다,사단법인 굿네이버스 인터내셔날 경기본부,,2019-09-01 2019-12-31
2,경기도 성남시,,, [수정노인종합복지관] 추석맞이 송편행사 준비 봉사,수정노인종합복지관,,2019-09-09 2019-09-11
3,경기도 성남시,,, 프로그램 보조,은평늘봄장애인자립생활센터,,2019-08-30 2019-08-30
4,경기도 성남시,,, [수정노인종합복지관] 월 마지막주 경로식당 자원봉사 활동,수정노인종합복지관,,2019-08-26 2019-08-30
5,경기도 성남시,,, [올림]독거노인과 프로그램 함께해요,성남시독거노인종합지원센터,,2019-09-02 2019-11-29
6,경기도 성남시,,, [끌어올림]미술심리치료활동 보조인력 모집합니다,성남시독거노인종합지원센터,,2019-09-05 2019-10-31
7,경기도 성남시,,, [하얀마을복지회관] 경로식당 도시락 배달서비스 봉사자 모집,하얀마을복지회관,,2019-07-04 2019-12-31
8,경기도 성남시,,, 컴퓨터 기초 교육 봉사활동,성남시도촌종합사회복지관,,2019-06-04 2019-12-31
9,경기도 성남시,,, 기업단체] 밑반찬 만들기 및 전달봉사활동,성남시도촌종합사회복지관,,2019-06-04 2019-12-31
10,경기도 성남시,,, 서호주간센터(장애인) 재능기부 자원봉사,서호주간센터,,2019-06-01 2019-12-31
11,경기도 성남시,,, [굿네이버스] 경기본부 펀드레이징 분야 봉사단 기 모집,사단법인 굿네이버스 인터내셔날 경기본부,,2019-05-08 2019-12-31
12,경기도 성남시,,, [굿네이버스] 경기본부 펀드레이징 분야 봉사단 기 모집,사단법인 굿네이버스 인터내셔날 경기본부,,2019-04-02 2019-12-31
13,경기도 성남시,,, [굿네이버스] 경기본부 펀드레이징 분야 봉사단 기 모집,사단법인 굿네이버스 인터내셔날 경기본부,,2019-03-25 2019-12-31
14,경기도 성남시,,, [굿네이버스] 경기본부 펀드레이징 분야 봉사단 기 모집,사단법인 굿네이버스 인터내셔날 경기본부,,2019-03-13 2019-12-31
0,경기도 성남시,,, [굿네이버스] 경기본부 펀드레이징 분야 봉사단 기 모집,사단법인 굿네이버스 인터내셔날 경기본부,,2019-03-11 2019-12-31
1,경기도 성남시,,, [월드비전 성남복지관] 한화해피프렌즈 청소년봉사단 기 셀장모집,성남종합사회복지관(월드비전),,2019-02-25 2020-02-24
2,경기도 성남시,,, [성남] 어르신 이동목욕서비스 정기 봉사자 모집,중앙동복지회관,,2019-02-08 2019-12-31
3,경기도 성남시,,, [굿네이버스 경기본부]  펀드레이징 분야 봉사단 기 모집,사단법인 굿네이버스 인터내셔날 경기본부,,2019-01-01 2019-12-31
