,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 수원시 팔달구,37.2919284,127.0346606, 우만종합사회복지관 월 경로식당 자원봉사 모집,수원시우만종합사회복지관,대한민국 경기도 수원시 팔달구 우만동 창룡대로210번길 13,2019-09-01 2019-09-30
1,경기도 수원시 팔달구,37.2919284,127.0346606, 우만종합사회복지관 월 식사배달 자원봉사자 모집,수원시우만종합사회복지관,대한민국 경기도 수원시 팔달구 우만동 창룡대로210번길 13,2019-09-01 2019-09-30
2,경기도 수원시 팔달구,37.2834163,127.016213, [시간 인정 성인 환영] 팔달노인복지관 바자회 행사보조 봉사자 모집합니다,팔달노인복지관,대한민국 경기도 수원시 팔달구 북수동 343,2019-08-28 2019-08-28
3,경기도 수원시 팔달구,37.2834163,127.016213, 청소년 대학생 성인 팔달노인복지관 도시락 전달 안부확인 봉사,팔달노인복지관,대한민국 경기도 수원시 팔달구 북수동 343,2019-08-19 2019-10-31
4,경기도 수원시 팔달구,37.2834163,127.016213, 청소년 대학생 기업 단체 환영 팔달노인복지관 경로식당 주방보조 봉사,팔달노인복지관,대한민국 경기도 수원시 팔달구 북수동 343,2019-08-19 2019-10-31
5,경기도 수원시 팔달구,37.2823309,127.0056991, (경기 수원)학습자원봉사자 모십니다,윤슬청소년지역아동센터,대한민국 경기도 수원시 팔달구 화서1동 팔달로 157 2층,2019-08-01 2019-12-31
6,경기도 수원시 팔달구,37.2919284,127.0346606, 우만종합사회복지관 월 식사배달 자원봉사자 모집( 수정),수원시우만종합사회복지관,대한민국 경기도 수원시 팔달구 우만동 창룡대로210번길 13,2019-08-01 2019-08-30
7,경기도 수원시 팔달구,37.2919284,127.0346606, 우만종합사회복지관 월 경로식당 자원봉사( 수정),수원시우만종합사회복지관,대한민국 경기도 수원시 팔달구 우만동 창룡대로210번길 13,2019-08-01 2019-08-30
8,경기도 수원시 팔달구,,, 아름다운가게 수원행궁점 목 오전 자원활동가 모집,재단법인 아름다운가게,,2019-07-04 2019-08-31
9,경기도 수원시 팔달구,,, 아름다운가게 수원행궁점 월 화 금 오후 자원활동가 모집,재단법인 아름다운가게,,2019-07-05 2019-08-31
10,경기도 수원시 팔달구,37.2909613,127.0302226, 재가봉사,우만재가노인지원서비스센터,대한민국 경기도 수원시 팔달구 우만동 300-1,2019-04-01 2019-12-31
11,경기도 수원시 팔달구,37.2776815,127.0357739, 요양원 마실 어르신 활동보조 봉사(고등학생),요양원 마실,대한민국 경기도 수원시 팔달구 우만동 중부대로 177 901호,2019-03-06 2019-12-31
12,경기도 수원시 팔달구,37.2802913,127.0028605, 중학생 기초학습지도,꿈의지역아동센터,대한민국 경기도 수원시 팔달구 화서1동 팔달로127번길 26 2층,2019-03-13 2019-12-31
