,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 수원시,,, [버드내] 어르신 평생교육 접수보조,버드내노인복지관,,2019-09-17 2019-09-17
1,경기도 수원시,,, 수원 팔색길 종주대회 자원봉사자 모집,수원 ,,2019-09-21 2019-09-21
2,경기도 수원시,,, [광교종합사회복지관] 어르신 나들이 동행 봉사자 모집,광교종합사회복지관,,2019-08-22 2019-09-03
3,경기도 수원시,,, [버드내] 이동진료 행사보조,버드내노인복지관,,2019-09-05 2019-09-05
4,경기도 수원시,,, 단기보호센터 프로그램보조,수원시장애인종합복지관,,2019-08-21 2019-12-31
5,경기도 수원시,,, 저소득층 아동 청소년 및 독거노인 밑반찬 조리 및 배달 봉사,(사)대한불교청년회,,2019-08-19 2019-11-10
6,경기도 수원시,,, [버드내] 경로식당 급식배식 및 취사보조활동,버드내노인복지관,,2019-09-02 2019-09-30
7,경기도 수원시,,, [능실복지관] 추석 행사 자원봉사자 모집,능실종합사회복지관,,2019-09-07 2019-09-07
8,경기도 수원시,,, [굿네이버스] 아동성폭력예방인형극,경기도아동보호전문기관(굿네이버스 경기남부),,2019-08-09 2019-12-31
9,경기도 수원시,,, [연무사회복지관] 유아독후프로그램 진행 보조,연무사회복지관,,2019-09-09 2019-11-25
10,경기도 수원시,,, [연무사회복지관] 이동목욕서비스 자원봉사자를 모집합니다,연무사회복지관,,2019-08-08 2019-12-31
11,경기도 수원시,,, 중학생영어지도,화서지역아동센터,,2019-08-06 2019-08-31
12,경기도 수원시,,, 재활지원센터 자원봉사자 모집(장애가정 멘토링수원오산화성용인안산),(사)경기도장애인재활협회,,2019-07-22 2019-12-31
13,경기도 수원시,,, [버드내] 경로식당 급식배식 및 취사보조활동,버드내노인복지관,,2019-08-01 2019-08-30
14,경기도 수원시,,, 재활지원센터 자원봉사자 모집  ,(사)경기도장애인재활협회,,2019-07-09 2019-12-31
0,경기도 수원시,,, [연무사회복지관] 이동목욕서비스 자원봉사자를 모집합니다,연무사회복지관,,2019-07-03 2019-12-31
1,경기도 수원시,,, 전문적 봉사지원이 가능하신 분을 모십니다[재능기부],사단법인 해솔,,2019-06-21 2020-06-30
2,경기도 수원시,,, [무봉종합사회복지관] 실버웰빙댄스 진행 보조 자원봉사자 모집,무봉종합사회복지관,,2019-07-03 2019-12-18
3,경기도 수원시,,, 중학생학습지도,화서지역아동센터,,2019-06-18 2019-08-31
4,경기도 수원시,,, [연무사회복지관] 중학교 방과후 공부방 자원봉자사 모집,연무사회복지관,,2019-06-18 2019-08-31
5,경기도 수원시,,, 거리노숙인 특화 자활사업 자원봉사자 모집,수원다시서기노숙인종합지원센터,,2019-07-01 2019-12-31
6,경기도 수원시,,, [연무사회복지관] 이동목욕서비스 자원봉사자를 모집합니다 ,연무사회복지관,,2019-06-03 2019-12-31
7,경기도 수원시,,, [연무사회복지관] 이동목욕서비스 자원봉사자를 모집합니다 ,연무사회복지관,,2019-05-02 2019-12-31
8,경기도 수원시,,, 발달장애인 주간활동서비스 보조,사단법인 해솔,,2019-04-15 2020-04-30
9,경기도 수원시,,, 재활지원센터 멘토링 자원봉사자 모집,(사)경기도장애인재활협회,,2019-04-10 2019-12-31
10,경기도 수원시,,, [연무사회복지관] 이동목욕서비스 자원봉사자를 모집합니다 ,연무사회복지관,,2019-04-08 2019-12-31
11,경기도 수원시,,, [연무사회복지관] 이동목욕서비스 자원봉사자를 모집합니다  ,연무사회복지관,,2019-03-05 2019-12-31
12,경기도 수원시,,, 꿈자리보금자리 프로그램 활동 참여 및 보조 자원봉사자 모집,꿈자리보금자리,,2019-02-26 2019-12-31
13,경기도 수원시,,, [연무사회복지관] 이동목욕서비스 자원봉사자를 모집합니다 ,연무사회복지관,,2019-02-01 2019-12-31
14,경기도 수원시,,, 재활지원센터 자원봉사자 모집 ,(사)경기도장애인재활협회,,2019-03-01 2019-12-31
0,경기도 수원시,,, 재활지원센터 자원봉사자 모집 ,(사)경기도장애인재활협회,,2019-03-01 2019-12-31
1,경기도 수원시,,, 꿈자리보금자리 간식조리 자원봉사자 모집,꿈자리보금자리,,2019-01-10 2019-12-27
2,경기도 수원시,,, 하나복지센터 자원봉사자 모집(수원),하나복지센터,,2019-01-08 2019-12-31
3,경기도 수원시,,, [연무사회복지관] 이동목욕서비스 자원봉사자를 모집합니다 ,연무사회복지관,,2019-01-03 2019-12-31
