,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 양주시,,, 우리마을 독거노인 반찬 나눔 및 건강지킴이 자원봉사자 모집,지구시민운동연합,,2019-08-24 2019-08-24
1,경기도 양주시,,, 구세군희망나누미 장흥점,구세군희망나누미사업본부,,2019-07-25 2019-08-31
2,경기도 양주시,37.7493644,126.9441593, [삶과돌봄요양원]미용봉사자 모집합니다,삶과돌봄요양원,대한민국 경기도 양주시 장흥면 권율로309번길 317-59,2019-06-27 2019-12-31
3,경기도 양주시,,, 실로암요양원에서 자원봉사하실 분을 모집합니다 ,실로암요양원,,2019-06-26 2019-12-31
4,경기도 양주시,37.8133251,127.104676, 양주시장애인종합복지관 자원봉사자 모집,양주시장애인종합복지관,대한민국 경기도 양주시 삼숭동 29,2019-06-03 2019-12-31
5,경기도 양주시,37.82258909999999,127.0459365, [경기웰니스요양병원]이미용 자원봉사자 모집중 (월 회),경기웰니스요양병원,대한민국 경기도 양주시 회천2동 평화로1479번길,2019-03-05 2019-12-31
6,경기도 양주시,37.7729232,127.0279551, 어르신들 생활지원 도움,송이요양원,대한민국 경기도 양주시 남방동 576-12,2019-01-01 2019-12-31
7,경기도 양주시,37.8191795,127.0457534, 양주시치료센터 치료실 환경미화 봉사자 모집,양주시장애아재활치료교육센터,대한민국 경기도 양주시 회천2동 평화로1435번길 5-3,2019-07-11 2019-12-31
8,경기도 양주시,37.7702602,126.9374049, 미리내공동체 합창단 음악강사,미리내공동체,대한민국 경기도 양주시 백석읍 기산로440번길 110-43,2019-04-01 2019-12-31
9,경기도 양주시,37.8515721,127.0882634, 요양원자원봉사자모집,양주제일요양원,대한민국 경기도 양주시 회천1동 칠봉산로168번길 153-7,2019-02-07 2019-12-31
10,경기도 양주시,37.8057835,127.0453094, 근로장애인 작업활동 보조,양주내일장애인보호작업장,대한민국 경기도 양주시 양주1동 평화로 1285,2019-01-03 2019-12-31
11,경기도 양주시,37.789697,126.9926383, 지역아동센타 중학생 학습지도,행복한 지역아동센터,대한민국 경기도 양주시 백석읍 복지리 148-2,2019-03-04 2019-12-31
