,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 양평군,,, 긴급 다문화가족 체험 및 나들이 프로그램 자원봉사자 모집,은평구다문화가족지원센터,,2019-08-24 2019-08-24
1,경기도 양평군,37.5330871,127.4680523, 시설 조경 및 페인팅,마리아의집,대한민국 경기도 양평군 옥천면 신복길116번길 22,2019-05-09 2020-05-08
2,경기도 양평군,37.4798274,127.5460081, 이미용봉사,늘푸른노인요양원,대한민국 경기도 양평군 양평읍 봉성리 274-4,2019-03-25 2019-12-31
3,경기도 양평군,37.4966883,127.5032077, 발달장애아동 토요체험프로그램 챌린지  자원봉사자 모집,양평군장애인복지관,대한민국 경기도 양평군 양평읍 중앙로111번길 36,2019-04-20 2019-12-21
4,경기도 양평군,37.4966883,127.5032077, 토요 수중운동 프로그램 안전관리 자원봉사자 모집,양평군장애인복지관,대한민국 경기도 양평군 양평읍 중앙로111번길 36,2019-04-06 2019-12-07
5,경기도 양평군,37.4798274,127.5460081, 시설봉사,늘푸른노인요양원,대한민국 경기도 양평군 양평읍 봉성리 274-4,2019-03-16 2019-12-31
6,경기도 양평군,37.5430245,127.7523504, 시설봉사,로뎀의집,대한민국 경기도 양평군 청운면 증골길24번길 26,2019-01-01 2019-12-31
7,경기도 양평군,37.418127,127.6859574, [ 궁을행복요양원 ]  자원봉사 모집,궁을행복요양원,대한민국 경기도 양평군 지평면 여양2로 1366,2018-11-24 2019-11-22
8,경기도 양평군,37.4591435,127.4916529, 재능기부,산수유지역아동센터,대한민국 경기도 양평군 강상면 강남로 1294-1,2018-11-23 2019-12-31
9,경기도 양평군,37.418127,127.6859574, [ 궁을행복요양원 ]  자원봉사 모집,궁을행복요양원,대한민국 경기도 양평군 지평면 여양2로 1366,2018-11-06 2019-11-05
