,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 용인시 기흥구,37.3153733,127.1057975, 장애인식개선캠페인(삼성나눔워킹페스티발),용인시기흥장애인복지관,대한민국 경기도 용인시 기흥구 보정동 용구대로2469번길 94,2019-08-22 2019-09-06
1,경기도 용인시 기흥구,37.3153733,127.1057975, 장애인식개선캠페인(년 용인시 사회복지엑스포) 지원,용인시기흥장애인복지관,대한민국 경기도 용인시 기흥구 보정동 용구대로2469번길 94,2019-08-22 2019-09-05
2,경기도 용인시 기흥구,37.3202617,127.1093526, 저소득독거 어르신 밑반찬 배달 봉사자 모집,용인재가노인지원서비스센터 효담채,대한민국 경기도 용인시 기흥구 보정동 1809-2,2019-09-01 2019-12-31
3,경기도 용인시 기흥구,,, 굿네이버스 경기남부권 나눔인성교육센터 제 회 가족그림편지쓰기대회 자원봉사자 모집,사단법인 굿네이버스 인터내셔날 경기본부,,2019-09-02 2019-10-31
4,경기도 용인시 기흥구,37.2879561,127.1116743,  추석 행사 관련 봉사자 모집 안내,용인시기흥노인복지관,대한민국 경기도 용인시 기흥구 신갈동 산양로 71,2019-09-10 2019-09-10
5,경기도 용인시 기흥구,,, 아름다운가게 용인동백점 화수목금 오후 목요일 오전 자원활동가 모집,재단법인 아름다운가게,,2019-08-01 2019-08-31
6,경기도 용인시 기흥구,37.2879561,127.1116743, 찾아가는 무한돌봄 홍보,용인시기흥노인복지관,대한민국 경기도 용인시 기흥구 신갈동 산양로 71,2019-06-14 2019-12-27
7,경기도 용인시 기흥구,,, 아름다운가게 용인동백점 화요일 오후 금요일 오전  오후 자원활동가 모집,재단법인 아름다운가게,,2019-06-07 2019-08-30
8,경기도 용인시 기흥구,37.2758056,127.1448575, 이미용봉사,연세요양원,대한민국 경기도 용인시 기흥구 중동 어정로 139,2019-05-13 2020-05-31
9,경기도 용인시 기흥구,37.3153733,127.1057975, 저소득 장애인 반찬지원서비스 조리봉사 모집,용인시기흥장애인복지관,대한민국 경기도 용인시 기흥구 보정동 용구대로2469번길 94,2019-04-30 2019-12-31
10,경기도 용인시 기흥구,37.3153733,127.1057975, 반찬서비스 배송봉사 모집,용인시기흥장애인복지관,대한민국 경기도 용인시 기흥구 보정동 용구대로2469번길 94,2019-04-02 2019-12-31
11,경기도 용인시 기흥구,37.3153733,127.1057975, 년 통합플로어볼 선수단 파트너 봉사자 모집,용인시기흥장애인복지관,대한민국 경기도 용인시 기흥구 보정동 용구대로2469번길 94,2019-04-16 2019-10-15
12,경기도 용인시 기흥구,37.3153733,127.1057975, 장애청소년 농구교실 보조 봉사자 모집,용인시기흥장애인복지관,대한민국 경기도 용인시 기흥구 보정동 용구대로2469번길 94,2019-04-01 2019-10-31
13,경기도 용인시 기흥구,37.2879561,127.1116743, 프로그램실(강당) 교육 준비 보조 봉사자 모집,용인시기흥노인복지관,대한민국 경기도 용인시 기흥구 신갈동 산양로 71,2019-03-05 2019-11-05
14,경기도 용인시 기흥구,37.2879561,127.1116743, 자원봉사자 모집(식당 설겆이),용인시기흥노인복지관,대한민국 경기도 용인시 기흥구 신갈동 산양로 71,2019-03-04 2019-12-31
0,경기도 용인시 기흥구,37.3153733,127.1057975, 용인시기흥장애인복지관 밑반찬서비스 배송 봉사자 모집 ,용인시기흥장애인복지관,대한민국 경기도 용인시 기흥구 보정동 용구대로2469번길 94,2019-01-09 2019-12-26
1,경기도 용인시 기흥구,37.2779207,127.1098027, 요양원 실버체조 강사님 모십니다,노블실버홈,대한민국 경기도 용인시 기흥구 구갈동 신구로 64,2018-09-10 2019-09-10
