,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 용인시 수지구,,, 아름다운가게 용인죽전점 자원활동가 모집(금 오후  토 오전 또는 오후),재단법인 아름다운가게,,2019-08-23 2019-10-26
1,경기도 용인시 수지구,37.3217914,127.097733, 용인수지장애인주간보호센터 프로그램 보조 지원,용인시수지장애인복지관 부설 주간보호센터,대한민국 경기도 용인시 수지구 풍덕천동 720,2019-07-01 2019-12-31
2,경기도 용인시 수지구,,, 다문화자녀 합창반 반주자 행정보조 봉사자 모집,용인시다문화가족지원센터,,2019-07-22 2019-11-25
3,경기도 용인시 수지구,,, [용인시건강가정지원센터] 육아맘 집단상담 아이돌보미,용인시건강가정지원센터,,2019-08-07 2019-09-25
4,경기도 용인시 수지구,,, 어르신요양센터 (말벗청소 식사보조),어르신요양센터,,2019-06-10 2019-12-31
5,경기도 용인시 수지구,37.3221501,127.097437, [용인수지장애인복지관] 수지가족봉사단,용인시수지장애인복지관,대한민국 경기도 용인시 수지구 풍덕천1동 포은대로 435,2019-06-05 2019-12-31
6,경기도 용인시 수지구,37.3221501,127.097437, [용인수지장애인복지관]수지이웃돌봄이(안부확인),용인시수지장애인복지관,대한민국 경기도 용인시 수지구 풍덕천1동 포은대로 435,2019-06-04 2019-12-31
7,경기도 용인시 수지구,,, 용인동천노인복지센터 자원봉사자모집,()용인동천노인복지센터,,2019-06-03 2019-12-31
8,경기도 용인시 수지구,37.3318407,127.1196872, 명품우리들요양원 자원봉사자 모집,주식회사 명품우리들요양원,대한민국 경기도 용인시 수지구 죽전1동 현암로 95 7층,2019-05-01 2019-12-31
9,경기도 용인시 수지구,37.3130678,127.0808273, 서수지요양원자원봉사공연,서수지요양원,대한민국 경기도 용인시 수지구 성복동,2019-04-17 2020-04-30
10,경기도 용인시 수지구,37.3130678,127.0808273, 서수지요양원자원봉사,서수지요양원,대한민국 경기도 용인시 수지구 성복동,2019-04-17 2020-04-30
11,경기도 용인시 수지구,37.3077377,127.0766493, 요양원 어르신을 위한 재능기부 음악 공연 봉사활동,수지열린요양원,대한민국 경기도 용인시 수지구 상현동 심곡로 27,2019-01-01 2019-12-31
12,경기도 용인시 수지구,37.3077377,127.0766493, 요양원 어르신 대상 이미용 재능기부 봉사활동,수지열린요양원,대한민국 경기도 용인시 수지구 상현동 심곡로 27,2019-01-01 2019-12-31
13,경기도 용인시 수지구,37.3077377,127.0766493, 요양원 시설 일손 돕기 및 어르신 돌봄 봉사,수지열린요양원,대한민국 경기도 용인시 수지구 상현동 심곡로 27,2019-01-01 2019-12-31
14,경기도 용인시 수지구,37.3130678,127.0808273, 서수지요양원자원봉사,서수지요양원,대한민국 경기도 용인시 수지구 성복동,2018-10-19 2019-10-18
