,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경상남도 양산시,,, 지역아동센터 학습멘토링 멘토 자원봉사자 모집,세이브더칠드런코리아 동부지부,,2019-08-21 2019-08-31
1,경상남도 양산시,35.3746307,129.1490278, 대학생 자원봉사자 모집,웅상장애인주간보호센터,대한민국 경상남도 양산시 덕계동 덕계7길 26,2019-09-22 2019-09-28
2,경상남도 양산시,,, 직업적응훈련반 사회성훈련(물놀이),부산뇌병변복지관,,2019-08-27 2019-08-27
3,경상남도 양산시,35.3287834,128.9949385, 년 월 일 성인 지적발달 장애인의 하루여행 자원봉사자 모집,미래직업재활원,대한민국 경상남도 양산시 물금읍 범어리 935-4,2019-08-23 2019-08-23
4,경상남도 양산시,,, 남자 아쿠아환타지아 활동보조 모집합니다 ,룸비니동산,,2019-08-28 2019-08-28
5,경상남도 양산시,35.3461044,129.0384032, 미용봉사자를 모집합니다,의료법인 인경의료재단 홍익요양병원,대한민국 경상남도 양산시 중앙동 북안남6길 6,2019-07-29 2020-07-29
6,경상남도 양산시,35.3746307,129.1490278, 프로그램 활동 보조 ,웅상장애인주간보호센터,대한민국 경상남도 양산시 덕계동 덕계7길 26,2019-06-10 2019-12-31
7,경상남도 양산시,35.3887516,129.0485268, 시설봉사(세탁청소말벗  목욕 도움),심청실버홈,대한민국 양산시 상북면,2019-04-02 2019-12-31
8,경상남도 양산시,35.3858223,129.1413653, 어르신 이미용 봉사,평산노인요양센터,대한민국 경상남도 양산시 평산동 신명3길 75-7,2019-04-01 2020-12-31
9,경상남도 양산시,35.3358245,129.0032681, <경남 양산시종합사회복지관> 사이맺음활동 멘토 모집,양산시종합사회복지관,대한민국 경상남도 양산시 물금읍 범어리 501,2019-02-26 2019-11-23
10,경상남도 양산시,35.3984931,129.1518508, 보호작업프로그램 자원봉사자 모집,숭인사회복귀시설,대한민국 경상남도 양산시 주진동 산1-2,2019-01-07 2019-12-31
